ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2640136,A,Linaceae,,Anisadenia,,"pubescens",,"","Griff.",Accepted,,M,WCSP (in review),763822,543895-1,"Itin. Pl. Khasyah Mts.","54, 833","","1848"
kew-2640137,A,Linaceae,,Anisadenia,,"saxatilis",,"","Wall. ex Meisn.",Accepted,,M,WCSP (in review),763823,543897-1,"Pl. Vasc. Gen.","96","","1838"
kew-2727913,A,Linaceae,,Cliococca,,"selaginoides",,"","(Lam.) C.M.Rogers & Mildner",Accepted,,M,WCSP (in review),849961,61219-2,"Rhodora","73: 563","","1971"
kew-2779380,A,Linaceae,,Durandea,,"angustifolia",,"","Stapf",Accepted,,M,WCSP (in review),899210,543966-1,"Bull. Misc. Inform. Kew","1908: 11","","1908"
kew-2779381,A,Linaceae,,Durandea,,"deplanchei",,"","Stapf",Accepted,,M,WCSP (in review),899211,543967-1,"Hooker's Icon. Pl.","29: t. 2822","","1909"
kew-2779382,A,Linaceae,,Durandea,,"jenkinsii",,"","(F.Muell.) Stapf",Accepted,,L,WCSP (in review),899212,543968-1,"Hooker's Icon. Pl.","29: t. 2822","","1909"
kew-2779383,A,Linaceae,,Durandea,,"latifolia",,"","(Vieill.) Stapf",Accepted,,M,WCSP (in review),899213,543969-1,"Hooker's Icon. Pl.","29: t. 2822","","1909"
kew-2779387,A,Linaceae,,Durandea,,"oreogena",,"","(Schltr.) Stapf",Accepted,,L,WCSP (in review),899217,543972-1,"Bull. Misc. Inform. Kew","1908: 12","","1908"
kew-2779391,A,Linaceae,,Durandea,,"racemosa",,"","(Vieill.) Stapf",Accepted,,M,WCSP (in review),899221,543976-1,"Hooker's Icon. Pl.","29: t. 2822","","1909"
kew-2779396,A,Linaceae,,Durandea,,"viscosa",,"","Stapf",Accepted,,M,WCSP (in review),899226,543980-1,"Hooker's Icon. Pl.","29: t. 2822","","1909"
kew-2779397,A,Linaceae,,Durandea,,"vitiensis",,"","Stapf",Accepted,,M,WCSP (in review),899227,543981-1,"Hooker's Icon. Pl.","29: t. 2822","","1909"
kew-2840704,A,Linaceae,,Hebepetalum,,"humiriifolia",,"","(Planch.) Benth.",Accepted,,M,WCSP (in review),959821,544169-1,"Gen. Pl.","1: 245","","1862"
kew-2840706,A,Linaceae,,Hebepetalum,,"neblinae",,"","Jardim & P.E.Berry",Accepted,,M,WCSP (in review),959823,319385-2,"Novon","9: 522","","1999 publ. 2000"
kew-2840709,A,Linaceae,,Hebepetalum,,"roraimense",,"","Secco & Manni Silva",Accepted,,M,WCSP (in review),959826,959612-1,"Bol. Mus. Paraense Emilio Goeldi, Bot.","6: 121","","1990 publ. 1991"
tro-18700085,A,Linaceae,,Hesperolinon,,"adenophyllum",,"","(A. Gray) Small",Accepted,,M,TRO,18700085,120935-2,"N. Amer. Fl.","25(1): 85","85","1907"
tro-18700086,A,Linaceae,,Hesperolinon,,"bicarpellatum",,"","(H. Sharsm.) H. Sharsm.",Accepted,,M,TRO,18700086,120936-2,"Univ. Calif. Publ. Bot.","32(4): 297","297","1961"
tro-18700087,A,Linaceae,,Hesperolinon,,"breweri",,"","(A. Gray) Small",Accepted,,M,TRO,18700087,120937-2,"N. Amer. Fl.","25(1): 85","85","1907"
tro-18700088,A,Linaceae,,Hesperolinon,,"californicum",,"","(Benth.) Small",Accepted,,M,TRO,18700088,120938-2,"N. Amer. Fl.","25(1): 86","86","1907"
tro-18700089,A,Linaceae,,Hesperolinon,,"clevelandii",,"","(Greene) Small",Accepted,,M,TRO,18700089,120939-2,"N. Amer. Fl.","25(1): 85","85","1907"
tro-18700090,A,Linaceae,,Hesperolinon,,"congestum",,"","(A. Gray) Small",Accepted,,M,TRO,18700090,120941-2,"N. Amer. Fl.","25(1): 86","86","1907"
tro-18700093,A,Linaceae,,Hesperolinon,,"drymarioides",,"","(Curran) Small",Accepted,,M,TRO,18700093,120944-2,"N. Amer. Fl.","25(1): 84","84","1907"
tro-18700094,A,Linaceae,,Hesperolinon,,"micranthum",,"","(A. Gray) Small",Accepted,,M,TRO,18700094,120945-2,"N. Amer. Fl.","25(1): 85","85","1907"
tro-18700095,A,Linaceae,,Hesperolinon,,"spergulinum",,"","(A. Gray) Small",Accepted,,M,TRO,18700095,120946-2,"N. Amer. Fl.","25(1): 86","86","1907"
kew-2854781,A,Linaceae,,Hugonia,,"afzelii",,"","R.Br. ex Planch.",Accepted,,M,WCSP (in review),973518,544190-1,"London J. Bot.","7: 525","","1848"
kew-2854801,A,Linaceae,,Hugonia,,"gilletii",,"","De Wild.",Accepted,,M,WCSP (in review),973538,544214-1,"Pl. Bequaert.","4: 270","","1927"
kew-2854802,A,Linaceae,,Hugonia,,"gossweileri",,"","Baker f. & Exell",Accepted,,M,WCSP (in review),973539,544215-1,"J. Bot.","65(Suppl. 1): 49","","1927"
kew-2854812,A,Linaceae,,Hugonia,,"macrocarpa",,"","Welw.",Accepted,,M,WCSP (in review),973549,544226-1,"Apont.","585","","1859"
tro-18700177,A,Linaceae,,Hugonia,,"macrophylla",,"","Oliv.",Accepted,,M,TRO,18700177,544227-1,"Fl. Trop. Afr.","1: 271","271","1868"
kew-2854814,A,Linaceae,,Hugonia,,"mayumbensis",,"","Exell",Accepted,,M,WCSP (in review),973551,544228-1,"J. Bot.","65(Suppl. 1): 48","","1927"
kew-2854815,A,Linaceae,,Hugonia,,"micans",,"","Engl.",Accepted,,M,WCSP (in review),973552,544229-1,"Bot. Jahrb. Syst.","32: 104","","1902"
kew-2854822,A,Linaceae,,Hugonia,,"obtusifolia",,"","C.H.Wright",Accepted,,M,WCSP (in review),973559,544237-1,"Bull. Misc. Inform. Kew","1901: 119","","1901"
tro-18700147,A,Linaceae,,Hugonia,,"orientalis",,"","Engl.",Accepted,,M,TRO,18700147,544239-1,"","","",""
kew-2854828,A,Linaceae,,Hugonia,,"planchonii",,"","Hook.f.",Accepted,,M,WCSP (in review),973565,544244-1,"Hooker's Icon. Pl.","8: t. 777","","1848"
kew-2854829,A,Linaceae,,Hugonia,,"platysepala",,"","Welw. ex Oliv.",Accepted,,M,WCSP (in review),973566,544245-1,"Fl. Trop. Afr.","1: 272","","1868"
kew-2854835,A,Linaceae,,Hugonia,,"rufopilis",,"","A.Chev. ex Hutch. & Dalziel",Accepted,,M,WCSP (in review),973572,544253-1,"Fl. W. Trop. Afr.","1: 132","","1927"
kew-2854836,A,Linaceae,,Hugonia,,"sapinii",,"","De Wild.",Accepted,,M,WCSP (in review),973573,544254-1,"Pl. Bequaert.","4: 282","","1927"
tro-18700079,A,Linaceae,,Hugonia,,"sphaerocarpa",,"","Baill.",Accepted,,M,TRO,18700079,544256-1,"Bull. Mens. Soc. Linn. Paris","1: 598","598","1886"
kew-2854846,A,Linaceae,,Hugonia,,"villosa",,"","Engl.",Accepted,,M,WCSP (in review),973583,544263-1,"Bot. Jahrb. Syst.","32: 105","","1902"
tro-100355726,A,Linaceae,,Indorouchera,,"griffithiana",,"","(Planch.) Hallier f.",Accepted,,M,TRO,100355726,,"Beih. Bot. Centralbl.","39(2): 50","50","1921"
tro-18700097,A,Linaceae,,Linum,,"alatum",,"","(Small) H.J.P. Winkl.",Accepted,,M,TRO,18700097,140780-2,"Nat. Pflanzenfam. (ed. 2)","19a: 116","116","1931"
tro-18700154,A,Linaceae,,Linum,,"alexeenkoanum",,"","E. Wulf",Accepted,,M,TRO,18700154,544312-1,"","","",""
kew-2347345,A,Linaceae,,Linum,,"alpinum",,"","Jacq.",Accepted,,M,WCSP (in review),477456,,"Enum. Stirp. Vindob.","229","","1762"
