ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2634725,A,Linderniaceae,,Amphiolanthus,,"arenaroides",,"","Griseb.",Accepted,,M,WCSP (in review),758435,798875-1,"Cat. Pl. Cub.","187","","1866"
kew-2634726,A,Linderniaceae,,Amphiolanthus,,"bryoides",,"","Griseb.",Accepted,,M,WCSP (in review),758436,798876-1,"Cat. Pl. Cub.","186","","1866"
kew-2634727,A,Linderniaceae,,Amphiolanthus,,"longipes",,"","Urb.",Accepted,,M,WCSP (in review),758437,11599-2,"Ark. Bot.","23A(11): 42","","1931"
kew-2653393,A,Linderniaceae,,Artanema,,"bantamense",,"","Backer",Accepted,,M,WCSP (in review),777059,799412-1,"Bull. Jard. Bot. Buitenzorg","II, 12: 37","","1913"
kew-2653395,A,Linderniaceae,,Artanema,,"evrardii",,"","(Bonati) T.Yamaz.",Accepted,,M,WCSP (in review),777061,799414-1,"J. Jap. Bot.","28: 36","","1953"
kew-2653396,A,Linderniaceae,,Artanema,,"fimbriatum",,"","(Hook. ex Graham) D.Don",Accepted,,M,WCSP (in review),777062,140718-3,"Brit. Fl. Gard.","3: t. 234","","1829"
kew-2653397,A,Linderniaceae,,Artanema,,"finetianum",,"","(Bonati) T.Yamaz.",Accepted,,M,WCSP (in review),777063,799416-1,"J. Jap. Bot.","28: 34","","1953"
kew-2653399,A,Linderniaceae,,Artanema,,"longifolium",,"","(L.) Vatke",Accepted,,L,WCSP (in review),777065,799419-1,"Linnaea","43: 307","","1882"
kew-2668382,A,Linderniaceae,,Bampsia,,"lawalreana",,"","Lisowski & Mielcarek",Accepted,,M,WCSP (in review),791958,901557-1,"Bull. Jard. Bot. Natl. Belg.","53: 378","","1983"
kew-2668383,A,Linderniaceae,,Bampsia,,"symoensiana",,"","Lisowski & Mielcarek",Accepted,,M,WCSP (in review),791959,901558-1,"Bull. Jard. Bot. Natl. Belg.","53: 380","","1983"
kew-2742304,A,Linderniaceae,,Craterostigma,,"alatum",,"","Hepper",Accepted,,M,WCSP (in review),864292,933046-1,"Kew Bull.","42: 945","","1987"
kew-2742313,A,Linderniaceae,,Craterostigma,,"hirsutum",,"","S.Moore",Accepted,,M,WCSP (in review),864301,801728-1,"J. Bot.","38: 461","","1900"
kew-2742315,A,Linderniaceae,,Craterostigma,,"lanceolatum",,"","(Engl.) Skan",Accepted,,M,WCSP (in review),864303,801730-1,"Fl. Trop. Afr.","4(2): 331","","1906"
kew-2742319,A,Linderniaceae,,Craterostigma,,"longicarpum",,"","Hepper",Accepted,,M,WCSP (in review),864307,933047-1,"Kew Bull.","42: 945","","1987"
kew-2742325,A,Linderniaceae,,Craterostigma,,"plantagineum",,"","Hochst.",Accepted,,M,WCSP (in review),864313,801738-1,"Flora","24: 669","","1841"
kew-2742326,A,Linderniaceae,,Craterostigma,,"pumilum",,"","Hochst.",Accepted,,M,WCSP (in review),864314,801739-1,"Flora","24: 670","","1841"
kew-2742327,A,Linderniaceae,,Craterostigma,,"purpureum",,"","Lebrun & Touss.",Accepted,,M,WCSP (in review),864315,801740-1,"Bull. Jard. Bot. État","17: 83","","1943"
kew-2742330,A,Linderniaceae,,Craterostigma,,"smithii",,"","S.Moore",Accepted,,M,WCSP (in review),864318,801743-1,"J. Bot.","38: 461","","1900"
kew-2742332,A,Linderniaceae,,Craterostigma,,"wilmsii",,"","Engl.",Accepted,,M,WCSP (in review),864320,801745-1,"Bot. Jahrb. Syst.","26: 122","","1898"
kew-2742691,A,Linderniaceae,,Crepidorhopalon,,"affinis",,"","(De Wild.) Eb.Fisch. ex Govaerts",Accepted,,M,WCSP (in review),864679,1009986-1,"World Checklist Seed Pl.","3(1): 20","","1999"
kew-2742692,A,Linderniaceae,,Crepidorhopalon,,"alatocalycinus",,"","Eb.Fisch.",Accepted,,M,WCSP (in review),864680,938942-1,"Bull. Jard. Bot. Natl. Belg.","59: 454","","1989"
kew-2742693,A,Linderniaceae,,Crepidorhopalon,,"bifolius",,"","(Skan) Eb.Fisch.",Accepted,,L,WCSP (in review),864681,962279-1,"Bull. Jard. Bot. Natl. Belg.","60: 413","","1990"
kew-2742694,A,Linderniaceae,,Crepidorhopalon,,"chironioides",,"","(Moore) Eb.Fisch.",Accepted,,M,WCSP (in review),864682,947528-1,"Feddes Repert.","100: 444","","1989"
