ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2643126,A,Loasaceae,,Aosa,,"gilgiana",,"","(Urb.) Weigend",Accepted,,M,WCSP (in review),766807,1007428-1,"Taxon","55: 464","","2006"
kew-2643127,A,Loasaceae,,Aosa,,"parviflora",,"","(Schrad. ex DC.) Weigend",Accepted,,M,WCSP (in review),766808,1007420-1,"Taxon","55: 464","","2006"
kew-2643128,A,Loasaceae,,Aosa,,"plumieri",,"","(Urb.) Weigend",Accepted,,M,WCSP (in review),766809,1007429-1,"Taxon","55: 464","","2006"
tro-50292699,A,Loasaceae,,Aosa,,"rostrata",,"","(Urb.) Weigend",Accepted,,M,TRO,50292699,1007430-1,"Taxon","55(2): 464","464","2006"
kew-2643129,A,Loasaceae,,Aosa,,"rupestris",,"","(Gardner) Weigend",Accepted,,M,WCSP (in review),766810,1007431-1,"Taxon","55: 464","","2006"
kew-2643130,A,Loasaceae,,Aosa,,"sigmoidea",,"","Weigend",Accepted,,M,WCSP (in review),766811,318444-2,"Nordic J. Bot.","19: 213","","1999"
tro-50299067,A,Loasaceae,,Aosa,,"uleana",,"","(Urb. & Gilg) Weigend",Accepted,,M,TRO,50299067,1007432-1,"Taxon","55(2): 464","464","2006"
kew-2677671,A,Loasaceae,,Blumenbachia,,"catharinensis",,"","Urb. & Gilg",Accepted,,M,WCSP (in review),801040,34012-2,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","76: 355","","1905"
kew-2606452,A,Loasaceae,,Blumenbachia,,"dissecta",,"","(Hook. & Arn.) Weigend & Grau",Accepted,,M,WCSP (in review),730963,77091966-1,"Darwiniana","45: 239","","2007"
kew-2677679,A,Loasaceae,,Blumenbachia,,"espigneera",,"","Gay",Accepted,,M,WCSP (in review),801048,544994-1,"Fl. Chil.","2: 434","","1847"
kew-2677680,A,Loasaceae,,Blumenbachia,,"exalata",,"","Weigend",Accepted,,M,WCSP (in review),801049,1007433-1,"Taxon","55: 464","","2006"
kew-2677682,A,Loasaceae,,Blumenbachia,,"hieronymi",,"","Urb.",Accepted,,M,WCSP (in review),801051,34018-2,"Jahrb. Königl. Bot. Gart. Berlin","3: 249","","1884"
kew-2677683,A,Loasaceae,,Blumenbachia,,"insignis",,"","Schrad.",Accepted,,M,WCSP (in review),801052,544997-1,"Gött. Gel. Anz.","1706","","1825"
kew-2677685,A,Loasaceae,,Blumenbachia,,"latifolia",,"","Cambess.",Accepted,,M,WCSP (in review),801054,545001-1,"Fl. Bras. Merid.","2: 209","","1830"
kew-2690191,A,Loasaceae,,Caiophora,,"aconquijae",,"","Sleumer",Accepted,,M,WCSP (in review),813500,40147-2,"Bot. Jahrb. Syst.","76: 454","","1955"
kew-2690194,A,Loasaceae,,Caiophora,,"andina",,"","Urb. & Gilg",Accepted,,M,WCSP (in review),813503,40150-2,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","76: 287","","1900"
kew-2690197,A,Loasaceae,,Caiophora,,"arechavaletae",,"","(Urb.) Urb.",Accepted,,M,WCSP (in review),813506,40153-2,"Nat. Pflanzenfam.","3(6a): 120","","1894"
kew-2690198,A,Loasaceae,,Caiophora,,"aspera",,"","(Miers) Urb. & Gilg",Accepted,,M,WCSP (in review),813507,40154-2,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","76: 347","","1900"
kew-2690199,A,Loasaceae,,Caiophora,,"boliviana",,"","Urb. & Gilg",Accepted,,M,WCSP (in review),813508,40155-2,"Nat. Pflanzenfam.","3(6a): 119","","1894"
kew-2690200,A,Loasaceae,,Caiophora,,"buraeavi",,"","Urb. & Gilg ex Rusby",Accepted,,M,WCSP (in review),813509,545030-1,"Mem. Torrey Bot. Club","3(3): 37","","1893"
tro-18900279,A,Loasaceae,,Caiophora,,"buraeavii",,"","Urb. & Gilg",Accepted,,M,TRO,18900279,40156-2,"Mem. Torrey Bot. Club","3(3): 37","37","1893"
kew-2690201,A,Loasaceae,,Caiophora,,"canarinoides",,"","(Lenné & K.Koch) Urb. & Gilg",Accepted,,M,WCSP (in review),813510,40157-2,"Nat. Pflanzenfam.","3(6a): 119","","1894"
kew-2690202,A,Loasaceae,,Caiophora,,"carduifolia",,"","C.Presl",Accepted,,M,WCSP (in review),813511,328873-2,"Reliq. Haenk.","2: 41","","1831"
kew-2690203,A,Loasaceae,,Caiophora,,"cernua",,"","(Griseb.) Urb. & Gilg ex Kurtz",Accepted,,M,WCSP (in review),813512,40158-2,"Revista Mus. La Plata, Secc. Bot.","5: 829","","1893"
kew-2690204,A,Loasaceae,,Caiophora,,"chuquisacana",,"","Urb. & Gilg",Accepted,,M,WCSP (in review),813513,40159-2,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","76: 322","","1900"
kew-2690205,A,Loasaceae,,Caiophora,,"chuquitensis",,"","(Meyen) Urb. & Gilg",Accepted,,M,WCSP (in review),813514,40160-2,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","76: 301","","1900"
kew-2690207,A,Loasaceae,,Caiophora,,"cirsiifolia",,"","C.Presl",Accepted,,M,WCSP (in review),813516,328871-2,"Reliq. Haenk.","2: 41","","1831"
kew-2690208,A,Loasaceae,,Caiophora,,"clavata",,"","Urb. & Gilg",Accepted,,M,WCSP (in review),813517,40162-2,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","76: 308","","1900"
kew-2690209,A,Loasaceae,,Caiophora,,"clavata",var.,"dumetorum","(Urb. & Gilg) Sleumer",Accepted,,L,WCSP (in review),813518,40163-2,"Bot. Jahrb. Syst.","76: 452","","1955"
kew-2690210,A,Loasaceae,,Caiophora,,"contorta",,"","(Desr.) C.Presl",Accepted,,M,WCSP (in review),813519,40164-2,"Reliq. Haenk.","2: 41","","1831"
kew-2690211,A,Loasaceae,,Caiophora,,"coronata",,"","(Gillies ex Arnott) Hook. & Arn.",Accepted,,M,WCSP (in review),813520,1056723-2,"Bot. Misc.","3: 327","","1833"
kew-2606493,A,Loasaceae,,Caiophora,,"deserticola",,"","Weigend & Mark.Ackermann",Accepted,,M,WCSP (in review),731004,77090259-1,"Darwiniana","45: 58","","2007"
kew-2690213,A,Loasaceae,,Caiophora,,"dissecta",,"","(Hook. & Arn.) Urb. & Gilg",Accepted,,M,WCSP (in review),813522,40166-2,"Nat. Pflanzenfam.","3(6a): 120","","1894"
kew-2690215,A,Loasaceae,,Caiophora,,"eichleri",,"","(Urb.) Urb.",Accepted,,M,WCSP (in review),813524,40168-2,"Nat. Pflanzenfam.","3(6a): 121","","1894"
kew-2690216,A,Loasaceae,,Caiophora,,"espigneira",,"","(Gay) Urb. & Gilg",Accepted,,M,WCSP (in review),813525,40169-2,"Nat. Pflanzenfam.","3(6a): 121","","1894"
kew-2690218,A,Loasaceae,,Caiophora,,"grandiflora",,"","(G.Don) Weigend & Mark.Ackermann",Accepted,,M,WCSP (in review),813527,1021910-2,"Arnaldoa","10: 84","","2003"
kew-2690223,A,Loasaceae,,Caiophora,,"hibiscifolia",,"","(Griseb.) Urb. & Gilg",Accepted,,M,WCSP (in review),813532,40172-2,"Nat. Pflanzenfam.","3(6a): 119","","1894"
kew-2690229,A,Loasaceae,,Caiophora,,"lateritia",,"","(Hook.) Benth.",Accepted,,M,WCSP (in review),813538,545055-1,"Botanist","t. 119","","1839"
kew-2690232,A,Loasaceae,,Caiophora,,"macrantha",,"","Killip",Accepted,,M,WCSP (in review),813541,40178-2,"J. Wash. Acad. Sci.","18: 94","","1928"
kew-2690235,A,Loasaceae,,Caiophora,,"madrequisa",,"","Killip",Accepted,,M,WCSP (in review),813544,40181-2,"J. Wash. Acad. Sci.","18: 94","","1928"
kew-2690237,A,Loasaceae,,Caiophora,,"mollis",,"","(Griseb.) Urb. & Gilg",Accepted,,L,WCSP (in review),813546,40183-2,"Nat. Pflanzenfam.","3(6a): 119","","1894"
kew-2690238,A,Loasaceae,,Caiophora,,"nivalis",,"","Lillo",Accepted,,M,WCSP (in review),813547,40184-2,"Reunión Nac. Soc. Argent. Ci. Nat.","1: 229","","1919"
kew-2690241,A,Loasaceae,,Caiophora,,"patagonica",,"","(Speg.) Urb. & Gilg",Accepted,,M,WCSP (in review),813550,545069-1,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","76: 341","","1900"
kew-2690244,A,Loasaceae,,Caiophora,,"pedicularifolia",,"","Killip",Accepted,,M,WCSP (in review),813553,40190-2,"J. Wash. Acad. Sci.","18: 95","","1928"
kew-2690245,A,Loasaceae,,Caiophora,,"peduncularis",,"","(C.Presl) Weigend & Mark.Ackermann",Accepted,,M,WCSP (in review),813554,1018813-2,"Arnaldoa","10: 78","","2003"
kew-2690246,A,Loasaceae,,Caiophora,,"pentlandii",,"","(Paxton) G.Don ex Loudon",Accepted,,M,WCSP (in review),813555,1084268-2,"Encycl. Pl.","new ed., Suppl. 2: 1438","","1855"
kew-2690249,A,Loasaceae,,Caiophora,,"prietea",,"","(Gay) Urb. & Gilg",Accepted,,M,WCSP (in review),813558,40193-2,"Nat. Pflanzenfam.","3(6a): 120","","1894"
kew-2690250,A,Loasaceae,,Caiophora,,"pterosperma",,"","(G.Don) Urb. & Gilg",Accepted,,M,WCSP (in review),813559,40194-2,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","76: 324","","1900"
kew-2690254,A,Loasaceae,,Caiophora,,"rosulata",,"","(Wedd.) Urb. & Gilg",Accepted,,M,WCSP (in review),813563,40198-2,"Nat. Pflanzenfam.","3(6a): 119","","1894"
kew-2606494,A,Loasaceae,,Caiophora,,"rosulata",subsp.,"taraxacoides","(Killip) Weigend & Mark.Ackermann",Accepted,,L,WCSP (in review),731005,77090260-1,"Darwiniana","45: 63","","2007"
kew-2690255,A,Loasaceae,,Caiophora,,"rusbyana",,"","Urb. & Gilg ex Rusby",Accepted,,M,WCSP (in review),813564,545084-1,"Mem. Torrey Bot. Club","3(3): 35","","1893"
kew-2690257,A,Loasaceae,,Caiophora,,"scabra",,"","(Miers) Urb.",Accepted,,M,WCSP (in review),813566,40201-2,"Nat. Pflanzenfam.","3(6a): 121","","1894"
kew-2690262,A,Loasaceae,,Caiophora,,"scarlatina",,"","Urb. & Gilg",Accepted,,M,WCSP (in review),813571,40204-2,"Bot. Jahrb. Syst.","45: 470","","1911"
kew-2690265,A,Loasaceae,,Caiophora,,"silvestris",,"","(Poepp.) Urb. & Gilg",Accepted,,M,WCSP (in review),813574,40207-2,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","76: 338","","1900"
kew-2690269,A,Loasaceae,,Caiophora,,"smithii",,"","Killip",Accepted,,M,WCSP (in review),813578,40211-2,"J. Wash. Acad. Sci.","24: 51","","1934"
kew-2690272,A,Loasaceae,,Caiophora,,"stenocarpa",,"","Urb. & Gilg",Accepted,,M,WCSP (in review),813581,40214-2,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","76: 330","","1900"
kew-2690275,A,Loasaceae,,Caiophora,,"tenuis",,"","Killip",Accepted,,M,WCSP (in review),813584,40217-2,"J. Wash. Acad. Sci.","18: 93","","1928"
kew-2690276,A,Loasaceae,,Caiophora,,"tomentosula",,"","Urb. & Gilg",Accepted,,M,WCSP (in review),813585,545098-1,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","76: 340","","1900"
kew-2690278,A,Loasaceae,,Caiophora,,"vargasii",,"","Standl. & F.A.Barkley",Accepted,,M,WCSP (in review),813587,40220-2,"Bull. Torrey Bot. Club","74: 81","","1947"
tro-18900278,A,Loasaceae,,Cajophora,,"andina",,"","Urb. & Gilg",Accepted,,M,TRO,18900278,,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","76: 287","287","1900"
tro-18900280,A,Loasaceae,,Cajophora,,"canarinoides",,"","(Lenné & K. Koch) Urb. & Gilg",Accepted,,M,TRO,18900280,,"Nat. Pflanzenfam.","3(6a): 119","119","1894"
tro-18900283,A,Loasaceae,,Cajophora,,"chuquitensis",,"","(Meyen) Urb. & Gilg",Accepted,,M,TRO,18900283,,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","76: 301","301","1900"
tro-18900043,A,Loasaceae,,Cajophora,,"clavata",,"","Urb. & Gilg",Accepted,,M,TRO,18900043,,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","76: 308","308","1900"
tro-18900288,A,Loasaceae,,Cajophora,,"contorta",,"","(Desr.) C. Presl",Accepted,,M,TRO,18900288,,"Reliq. Haenk.","2(1): 41","41","1836"
tro-18900291,A,Loasaceae,,Cajophora,,"coronata",,"","(Gillies ex Arn.) Hook. & Arn.",Accepted,,M,TRO,18900291,,"Bot. Misc.","3: 327","327","1833"
