ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2643055,A,Loganiaceae,,Antonia,,"ovata",,"","Pohl",Accepted,,M,WCSP (in review),766736,545655-1,"Pl. Bras. Icon. Descr.","2: 13","","1831"
kew-2679564,A,Loganiaceae,,Bonyunia,,"antoniifolia",,"","Progel",Accepted,,M,WCSP (in review),802933,545660-1,"Fl. Bras.","6(1): 288","","1868"
kew-2679565,A,Loganiaceae,,Bonyunia,,"aquatica",,"","Ducke",Accepted,,M,WCSP (in review),802934,34787-2,"Arq. Inst. Biol. Veg.","1: 211","","1935"
kew-2679567,A,Loganiaceae,,Bonyunia,,"minor",,"","N.E.Br.",Accepted,,M,WCSP (in review),802936,34789-2,"Trans. Linn. Soc. London, Bot.","6: 49","","1896"
kew-2679568,A,Loganiaceae,,Bonyunia,,"superba",,"","R.H.Schomb. ex Progel",Accepted,,M,WCSP (in review),802937,545664-1,"Fl. Bras.","6(1): 267","","1868"
tro-19000196,A,Loganiaceae,,Buddleia,,"americana",,"","L.",Accepted,,M,TRO,19000196,,"Sp. Pl.","1: 112","112","1753"
tro-19000779,A,Loganiaceae,,Buddleia,,"davidii",,"","Franch.",Accepted,,M,TRO,19000779,,"Nouv. Arch. Mus. Hist. Nat., sér. 2,","10: 65","65","1887-1888"
tro-19000792,A,Loganiaceae,,Buddleia,,"nitida",,"","Benth.",Accepted,,M,TRO,19000792,,"Prodr.","10: 437","437","1846"
kew-2817269,A,Loganiaceae,,Gardneria,,"angustifolia",,"","Wall.",Accepted,,M,WCSP (in review),936547,546332-1,"Fl. Ind.","1: 318","","1820"
kew-2817271,A,Loganiaceae,,Gardneria,,"distincta",,"","P.T.Li",Accepted,,M,WCSP (in review),936549,546334-1,"Acta Phytotax. Sin.","17(3): 115","","1979"
kew-2817276,A,Loganiaceae,,Gardneria,,"lanceolata",,"","Rehder & E.H.Wilson",Accepted,,M,WCSP (in review),936554,546339-1,"Pl. Wilson.","1: 563","","1913"
kew-2817277,A,Loganiaceae,,Gardneria,,"linifolia",,"","C.Y.Wu & S.Y.Pao",Accepted,,M,WCSP (in review),936555,928645-1,"in Fl. Yunnanica","3: 446","","1983"
kew-2817279,A,Loganiaceae,,Gardneria,,"multiflora",,"","Makino",Accepted,,M,WCSP (in review),936557,546342-1,"Bot. Mag. (Tokyo)","15: 103","","1901"
kew-2817280,A,Loganiaceae,,Gardneria,,"nutans",,"","Siebold & Zucc.",Accepted,,M,WCSP (in review),936558,546343-1,"Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss.","4(3): 165","","1846"
kew-2817281,A,Loganiaceae,,Gardneria,,"ovata",,"","Wall.",Accepted,,M,WCSP (in review),936559,546345-1,"Fl. Ind.","1: 400","","1820"
kew-2818830,A,Loganiaceae,,Geniostoma,,"antherotrichum",,"","Gilg & Benedict",Accepted,,M,WCSP (in review),938105,,"Bot. Jahrb. Syst.","54: 158","","1916"
kew-2818831,A,Loganiaceae,,Geniostoma,,"antherotrichum",var.,"archboldianum","(Merr. & L.M.Perry) B.J.Conn",Accepted,,L,WCSP (in review),938106,,"Blumea","26: 320","","1980"
kew-2818838,A,Loganiaceae,,Geniostoma,,"balansaeanum",,"","Baill.",Accepted,,M,WCSP (in review),938113,546368-1,"Bull. Mens. Soc. Linn. Paris","1: 248","","1880"
kew-2818840,A,Loganiaceae,,Geniostoma,,"biseriale",,"","Rech.",Accepted,,M,WCSP (in review),938115,546370-1,"Repert. Spec. Nov. Regni Veg.","6: 325","","1909"
kew-2818845,A,Loganiaceae,,Geniostoma,,"calcicola",,"","A.C.Sm.",Accepted,,M,WCSP (in review),938120,546375-1,"Sargentia","1: 99","","1942"
kew-2818847,A,Loganiaceae,,Geniostoma,,"celastrineum",,"","Baill.",Accepted,,M,WCSP (in review),938122,546377-1,"Bull. Mens. Soc. Linn. Paris","1: 247","","1880"
kew-2818850,A,Loganiaceae,,Geniostoma,,"clavatum",,"","J.W.Moore",Accepted,,M,WCSP (in review),938125,546379-1,"Bernice P. Bishop Mus. Bull.","102: 38","","1933"
kew-2818861,A,Loganiaceae,,Geniostoma,,"cyrtandrae",,"","Baill.",Accepted,,M,WCSP (in review),938136,546388-1,"Bull. Mens. Soc. Linn. Paris","1: 239","","1880"
kew-2818864,A,Loganiaceae,,Geniostoma,,"densiflora",,"","Baill.",Accepted,,M,WCSP (in review),938139,546391-1,"Bull. Mens. Soc. Linn. Paris","1: 264","","1880"
kew-2818868,A,Loganiaceae,,Geniostoma,,"erythrosperma",,"","Baill.",Accepted,,M,WCSP (in review),938143,546396-1,"Bull. Mens. Soc. Linn. Paris","1: 263","","1880"
kew-2818869,A,Loganiaceae,,Geniostoma,,"fagraeoides",,"","Benth.",Accepted,,M,WCSP (in review),938144,546397-1,"J. Proc. Linn. Soc., Bot.","1: 96","","1857"
kew-2818876,A,Loganiaceae,,Geniostoma,,"gagnae",,"","Fosberg & Sachet",Accepted,,M,WCSP (in review),938151,897803-1,"Smithsonian Contr. Bot.","47: 18","","1981"
kew-2818880,A,Loganiaceae,,Geniostoma,,"glaucescens",,"","Schltr.",Accepted,,M,WCSP (in review),938155,546407-1,"Bot. Jahrb. Syst.","39: 232","","1906"
kew-2818882,A,Loganiaceae,,Geniostoma,,"grandifolium",,"","B.J.Conn",Accepted,,M,WCSP (in review),938157,546409-1,"Blumea","26: 351","","1980"
kew-2818895,A,Loganiaceae,,Geniostoma,,"huttonii",,"","B.J.Conn",Accepted,,M,WCSP (in review),938170,970839-1,"Telopea","5: 301","","1993"
kew-2818907,A,Loganiaceae,,Geniostoma,,"leenhoutsii",,"","B.J.Conn",Accepted,,M,WCSP (in review),938182,546423-1,"Blumea","26: 323","","1980"
kew-2818915,A,Loganiaceae,,Geniostoma,,"macrophyllum",,"","Gillespie",Accepted,,M,WCSP (in review),938190,546429-1,"Bernice P. Bishop Mus. Bull.","91: 25","","1932"
kew-2818924,A,Loganiaceae,,Geniostoma,,"mooreanum",,"","B.J.Conn",Accepted,,M,WCSP (in review),938199,546436-1,"Blumea","26: 342","","1980"
kew-2818930,A,Loganiaceae,,Geniostoma,,"novae-caledoniae",,"","Vieill. ex Baill.",Accepted,,M,WCSP (in review),938205,546439-1,"Bull. Mens. Soc. Linn. Paris","1: 263","","1880"
kew-2818940,A,Loganiaceae,,Geniostoma,,"petiolosum",,"","C.Moore & F.Muell.",Accepted,,M,WCSP (in review),938215,546449-1,"Fragm.","7: 28","","1871"
kew-2818948,A,Loganiaceae,,Geniostoma,,"randianum",,"","Merr. & L.M.Perry",Accepted,,M,WCSP (in review),938223,546457-1,"J. Arnold Arbor.","23: 409","","1942"
kew-2818949,A,Loganiaceae,,Geniostoma,,"rapense",,"","F.Br.",Accepted,,M,WCSP (in review),938224,546458-1,"Bernice P. Bishop Mus. Bull.","130: 226","","1931"
kew-2818950,A,Loganiaceae,,Geniostoma,,"rarotongensis",,"","Fosberg & Sachet",Accepted,,M,WCSP (in review),938225,897804-1,"Smithsonian Contr. Bot.","47: 20","","1981"
kew-2818951,A,Loganiaceae,,Geniostoma,,"remyana",,"","Baill.",Accepted,,M,WCSP (in review),938226,546459-1,"Bull. Mens. Soc. Linn. Paris","1: 240","","1880"
kew-2818954,A,Loganiaceae,,Geniostoma,,"rupestre",,"","J.R.Forst. & G.Forst.",Accepted,,L,WCSP (in review),938229,546463-1,"Char. Gen. Pl.","12","","1775"
kew-2818955,A,Loganiaceae,,Geniostoma,,"rupestre",var.,"australianum","(F.Muell.) B.J.Conn",Accepted,,L,WCSP (in review),938230,,"Blumea","26: 297","","1980"
kew-2818956,A,Loganiaceae,,Geniostoma,,"rupestre",var.,"borbonicum","(Lam.) B.J.Conn",Accepted,,L,WCSP (in review),938231,,"Blumea","26: 305","","1980"
kew-2818957,A,Loganiaceae,,Geniostoma,,"rupestre",var.,"crassifolium","(Benth.) B.J.Conn",Accepted,,L,WCSP (in review),938232,,"Blumea","26: 306","","1980"
kew-2818959,A,Loganiaceae,,Geniostoma,,"rupestre",var.,"floribundum","(Cordem.) B.J.Conn",Accepted,,L,WCSP (in review),938234,,"Blumea","26: 310","","1980"
kew-2818960,A,Loganiaceae,,Geniostoma,,"rupestre",var.,"glaberrimum","(Benth.) B.J.Conn",Accepted,,L,WCSP (in review),938235,,"Blumea","26: 302","","1980"
kew-2818961,A,Loganiaceae,,Geniostoma,,"rupestre",var.,"hoeferi","(Gilg & Benedict) B.J.Conn",Accepted,,L,WCSP (in review),938236,,"Blumea","26: 308","","1980"
kew-2818962,A,Loganiaceae,,Geniostoma,,"rupestre",var.,"lasiostemon","(Blume) ined.",Accepted,,L,WCSP (in review),938237,,"","","",""
kew-2818963,A,Loganiaceae,,Geniostoma,,"rupestre",var.,"ligustrifolium","(A.Cunn.) B.J.Conn",Accepted,,L,WCSP (in review),938238,,"New Zealand J. Bot.","25: 140","","1987"
kew-2818966,A,Loganiaceae,,Geniostoma,,"rupestre",var.,"myrtifolium","(Cordem.) ined.",Accepted,,L,WCSP (in review),938241,,"","","",""
kew-2818981,A,Loganiaceae,,Geniostoma,,"stipulare",,"","A.C.Sm. & B.C.Stone",Accepted,,M,WCSP (in review),938256,546474-1,"Contr. U. S. Natl. Herb.","37: 12","","1962"
kew-2818983,A,Loganiaceae,,Geniostoma,,"sykesii",,"","Fosberg & Sachet",Accepted,,M,WCSP (in review),938258,897805-1,"Smithsonian Contr. Bot.","47: 19","","1981"
kew-2818985,A,Loganiaceae,,Geniostoma,,"trichostylum",,"","B.J.Conn",Accepted,,M,WCSP (in review),938260,546476-1,"Blumea","26: 325","","1980"
kew-2818986,A,Loganiaceae,,Geniostoma,,"umbellatum",,"","B.J.Conn",Accepted,,M,WCSP (in review),938261,546477-1,"Blumea","26: 353","","1980"
kew-2818988,A,Loganiaceae,,Geniostoma,,"vestitum",,"","Baill.",Accepted,,M,WCSP (in review),938263,546479-1,"Bull. Mens. Soc. Linn. Paris","1: 248","","1880"
kew-2818991,A,Loganiaceae,,Geniostoma,,"weinlandii",,"","K.Schum.",Accepted,,M,WCSP (in review),938266,546482-1,"Fl. Schutzgeb. Südsee","Nachtr.: 349","","1905"
tro-19000511,A,Loganiaceae,,Labordia,,"pumila",,"","(Hillebr.) Skottsb.",Accepted,,M,TRO,19000511,546521-1,"Acta Horti Gothob.","10: 160, f. 20a-h","160","1936"
tro-50324497,A,Loganiaceae,,Liesneria,,"faveolata",,"","(Fern. Casas) Fern. Casas",Accepted,,M,TRO,50324497,77089700-1,"Fontqueria","55(58): 460","460","2008"
tro-19000824,A,Loganiaceae,,Logania,,"albiflora",,"","(H. Andrews) Druce",Accepted,,M,TRO,19000824,121824-3,"","","",""
tro-50204226,A,Loganiaceae,,Logania,,"imbricata",,"","(Guillaumin) Steenis & Leenh.",Accepted,,M,TRO,50204226,546607-1,"Bull. Jard. Bot. État Brux.","32: 440","440","1962"
tro-50196972,A,Loganiaceae,,Logania,,"minor",,"","(J.M. Black) B.J. Conn",Accepted,,M,TRO,50196972,984033-1,"Austral. Syst. Bot.","8(4): 616","616","1995"
tro-50196976,A,Loganiaceae,,Logania,,"populifolia",,"","(Lam.) Leeuwenb.",Accepted,,M,TRO,50196976,962697-1,"Revis. Tabernaemontana","204","204","1991"
tro-19001054,A,Loganiaceae,,Mitrasacme,,"indica",,"","Wight",Accepted,,M,TRO,19001054,546663-1,"Icon. Pl. Ind. Orient.","4: 15","15","1850"
tro-19001057,A,Loganiaceae,,Mitrasacme,,"pygmaea",,"","R. Br.",Accepted,,M,TRO,19001057,546693-1,"Prodr.","453","453","1810"
tro-19001059,A,Loganiaceae,,Mitrasacme,,"pygmaea",var.,"grandiflora","(Hemsl.) Leenh.",Accepted,,L,TRO,19001059,,"Bull. Jard. Bot. État Brux.","32: 455","455","1962"
tro-19001058,A,Loganiaceae,,Mitrasacme,,"pygmaea",var.,"pygmaea","",Accepted,,L,TRO,19001058,,"","","",""
tro-19000967,A,Loganiaceae,,Mitreola,,"pedicellata",,"","Benth.",Accepted,,M,TRO,19000967,546719-1,"J. Linn. Soc., Bot.","1: 91","91","1857"
kew-2367552,A,Loganiaceae,,Mitreola,,"petiolata",,"","(J.F.Gmel.) Torr. & A.Gray",Accepted,,M,WCSP (in review),497423,546721-1,"Fl. N. Amer.","2: 45","","1841"
tro-19001047,A,Loganiaceae,,Mitreola,,"petiolatoides",,"","P.T. Li",Accepted,,M,TRO,19001047,546722-1,"Acta Phytotax. Sin.","17(3): 116, pl. 2","116","1979"
tro-19001048,A,Loganiaceae,,Mitreola,,"reticulata",,"","Tirel",Accepted,,M,TRO,19001048,546723-1,"Adansonia, n.s.","9(2): 119-121","119","1969"
tro-19000043,A,Loganiaceae,,Mitreola,,"turgida",,"","Jovet",Accepted,,M,TRO,19000043,546729-1,"Bull. Mus. Natl. Hist. Nat., sér. 2","6: 296, t. 2","296","1934"
tro-1806235,A,Loganiaceae,,Neuburgia,,"corynocarpa",,"","(A. Gray) Leenh.",Accepted,,L,TRO,1806235,546787-1,"Fl. Malesiana, Ser. 1, Spermatoph.","6: 365","365","1963"
kew-2868002,A,Loganiaceae,,Neuburgia,,"tuberculata",,"","Blume",Accepted,,M,WCSP (in review),986553,80480-1,"Mus. Bot.","1: 157","","1850"
kew-2873031,A,Loganiaceae,,Spigelia,,"amazonica",,"","Fern.Casas",Accepted,,M,WCSP (in review),479194,60434593-2,"Fontqueria","55: 163","","2004"
tro-50264700,A,Loganiaceae,,Spigelia,,"andina",,"","Fern. Casas",Accepted,,M,TRO,50264700,330744-2,"Fontqueria","55(23): 133-137, t. viii-ix","133","2004"
kew-2598653,A,Loganiaceae,,Spigelia,,"anthelmia",,"","L.",Accepted,,M,WCSP (in review),723385,318920-2,"Sp. Pl.","149","","1753"
tro-19000213,A,Loganiaceae,,Spigelia,,"beccabungoides",,"","Kraenzl.",Accepted,,M,TRO,19000213,242177-2,"Bot. Jahrb. Syst.","40: 307","307","1908"
tro-50258800,A,Loganiaceae,,Spigelia,,"blanchetiana",,"","DC.",Accepted,,M,TRO,50258800,546919-1,"Prodr.","9: 4","4","1845"
tro-50202742,A,Loganiaceae,,Spigelia,,"breviflora",,"","(Chodat & Hassl.) H.H. Hurley",Accepted,,M,TRO,50202742,,"Fontqueria","55(5): 27","27","2001"
kew-2598679,A,Loganiaceae,,Spigelia,,"caaguazuensis",,"","Kraenzl.",Accepted,,M,WCSP (in review),723411,242182-2,"Repert. Spec. Nov. Regni Veg.","14: 293","","1916"
tro-19000220,A,Loganiaceae,,Spigelia,,"carnosa",,"","Standl. & Steyerm.",Accepted,,M,TRO,19000220,242183-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","23(2): 72-73","72","1944"
tro-19000222,A,Loganiaceae,,Spigelia,,"catarinensis",,"","Guimaraes & Fontella",Accepted,,M,TRO,19000222,242185-2,"Loefgrenia","30: 3, f. 1E-G","3","1969"
tro-50159252,A,Loganiaceae,,Spigelia,,"chiapensis",,"","K.R. Gould",Accepted,,M,TRO,50159252,319214-2,"Brittonia","51(4): 410-411, f. 3-4","410","1999"
tro-50264699,A,Loganiaceae,,Spigelia,,"dolichostachya",,"","Fern. Casas",Accepted,,M,TRO,50264699,330743-2,"Fontqueria","55(23): 129-133, t. iv, f. b-c; v-vii","129","2004"
tro-19000225,A,Loganiaceae,,Spigelia,,"dusenii",,"","L.B. Sm.",Accepted,,M,TRO,19000225,242188-2,"Sellowia","13: 203","203","1961"
tro-19000364,A,Loganiaceae,,Spigelia,,"flemmingiana",,"","Cham. & Schltdl.",Accepted,,M,TRO,19000364,546932-1,"Linnaea","1(2): 203","203","1826"
kew-2597975,A,Loganiaceae,,Spigelia,,"guianensis",,"","(Aubl.) Lemée",Accepted,,M,WCSP (in review),722708,546940-1,"Fl. Guyane Franc.","3: 271","","1954"
