ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2620602,A,Loranthaceae,,Actinanthella,,"menyharthii",,"","(Engl. & Schinz) Balle",Accepted,,M,WCSP (in review),744470,547638-1,"Bull. Séances Inst. Roy. Colon. Belge","25: 1626","","1954"
kew-2620603,A,Loranthaceae,,Actinanthella,,"wyliei",,"","(Sprague) Wiens",Accepted,,M,WCSP (in review),744471,547639-1,"Bothalia","12: 423","","1978"
kew-2624607,A,Loranthaceae,,Aetanthus,,"andreanus",,"","(Tiegh.) Engl.",Accepted,,M,WCSP (in review),748462,6070-2,"Nat. Pflanzenfam.","Nachtr. 1: 136","","1897"
kew-2624608,A,Loranthaceae,,Aetanthus,,"cauliflorus",,"","Ule",Accepted,,M,WCSP (in review),748463,6071-2,"Verh. Bot. Vereins Prov. Brandenburg","48: 153","","1906"
kew-2624609,A,Loranthaceae,,Aetanthus,,"colombianus",,"","A.C.Sm.",Accepted,,M,WCSP (in review),748464,6072-2,"Bull. Torrey Bot. Club","59: 513","","1932"
kew-2624610,A,Loranthaceae,,Aetanthus,,"coriaceus",,"","Pacz.",Accepted,,M,WCSP (in review),748465,,"Bot. Jahrb. Syst.","45: 437","","1911"
kew-2624611,A,Loranthaceae,,Aetanthus,,"dichotomus",,"","(Ruiz & Pav.) Kuijt",Accepted,,M,WCSP (in review),748466,1122323-2,"in Fl. Ecuador","24(32C): 167","","1986"
kew-2624612,A,Loranthaceae,,Aetanthus,,"engelsii",,"","(Tiegh.) Engl.",Accepted,,L,WCSP (in review),748467,6074-2,"Nat. Pflanzenfam.","Nachtr. 1: 136","","1897"
kew-2624613,A,Loranthaceae,,Aetanthus,,"holtonii",,"","(Eichler) Engl.",Accepted,,M,WCSP (in review),748468,6075-2,"Nat. Pflanzenfam.","Nachtr. 1: 136","","1897"
kew-2624614,A,Loranthaceae,,Aetanthus,,"macranthus",,"","(Hook.) Kuijt",Accepted,,M,WCSP (in review),748469,271791-2,"in Fl. Ecuador","24(32C): 169","","1986"
kew-2624615,A,Loranthaceae,,Aetanthus,,"mutisii",,"","(Kunth) Engl.",Accepted,,M,WCSP (in review),748470,6076-2,"Nat. Pflanzenfam.","3(1): 128","","1889"
kew-2624616,A,Loranthaceae,,Aetanthus,,"nodosus",,"","(Desr.) Engl.",Accepted,,M,WCSP (in review),748471,6077-2,"Nat. Pflanzenfam.","Nachtr. 1: 136","","1897"
kew-2624618,A,Loranthaceae,,Aetanthus,,"ornatus",,"","K.Krause",Accepted,,M,WCSP (in review),748473,6078-2,"Notizbl. Bot. Gart. Berlin-Dahlem","8: 206","","1922"
kew-2624619,A,Loranthaceae,,Aetanthus,,"ovalis",,"","Rusby",Accepted,,M,WCSP (in review),748474,6079-2,"Descr. S. Amer. Pl.","13","","1920"
kew-2624620,A,Loranthaceae,,Aetanthus,,"paxianus",,"","Pacz.",Accepted,,M,WCSP (in review),748475,,"Bot. Jahrb. Syst.","45: 437","","1911"
kew-2624621,A,Loranthaceae,,Aetanthus,,"subandinus",,"","Ule",Accepted,,M,WCSP (in review),748476,6081-2,"Verh. Bot. Vereins Prov. Brandenburg","48: 154","","1907"
tro-50274448,A,Loranthaceae,,Aetanthus,,"verticillatus",,"","(A.C. Sm.) Kuijt",Accepted,,M,TRO,50274448,,"","","",""
kew-2626063,A,Loranthaceae,,Agelanthus,,"atrocoronatus",,"","Polhill & Wiens",Accepted,,M,WCSP (in review),749911,1003130-1,"Mistletoes Africa","179","","1998"
kew-2626064,A,Loranthaceae,,Agelanthus,,"bipartitus",,"","Balle ex Polhill & Wiens",Accepted,,M,WCSP (in review),749912,997530-1,"Novon","7: 274","","1997"
kew-2626065,A,Loranthaceae,,Agelanthus,,"brunneus",,"","(Engl.) Tiegh.",Accepted,,M,WCSP (in review),749913,547653-1,"Bull. Soc. Bot. France","42: 246","","1895"
kew-2626066,A,Loranthaceae,,Agelanthus,,"combreticola",,"","(Lebrun & L.Touss.) Polhill & Wiens",Accepted,,M,WCSP (in review),749914,969261-1,"Énum. Pl. Fl. Afr. Trop.","2: 163","","1992"
kew-2626067,A,Loranthaceae,,Agelanthus,,"copaiferae",,"","(Sprague) Polhill & Wiens",Accepted,,M,WCSP (in review),749915,969262-1,"Énum. Pl. Fl. Afr. Trop.","2: 163","","1992"
kew-2626068,A,Loranthaceae,,Agelanthus,,"crassifolius",,"","(Wiens) Polhill & Wiens",Accepted,,M,WCSP (in review),749916,1003128-1,"Mistletoes Africa","172","","1998"
kew-2626069,A,Loranthaceae,,Agelanthus,,"deltae",,"","(Baker & Sprague) Polhill & Wiens",Accepted,,M,WCSP (in review),749917,969263-1,"Énum. Pl. Fl. Afr. Trop.","2: 163","","1992"
kew-2626070,A,Loranthaceae,,Agelanthus,,"dichrous",,"","(Danser) Polhill & Wiens",Accepted,,M,WCSP (in review),749918,969264-1,"Énum. Pl. Fl. Afr. Trop.","2: 163","","1992"
kew-2626071,A,Loranthaceae,,Agelanthus,,"discolor",,"","(Schinz) Balle",Accepted,,M,WCSP (in review),749919,547654-1,"Mitt. Bot. Staatssamml. München","7: 157","","1968"
kew-2626072,A,Loranthaceae,,Agelanthus,,"djurensis",,"","(Engl.) Polhill & Wiens",Accepted,,M,WCSP (in review),749920,969265-1,"Énum. Pl. Fl. Afr. Trop.","2: 163","","1992"
kew-2626073,A,Loranthaceae,,Agelanthus,,"dodoneifolius",,"","(DC.) Polhill & Wiens",Accepted,,M,WCSP (in review),749921,,"Énum. Pl. Fl. Afr. Trop.","2: 163","","1992"
kew-2626074,A,Loranthaceae,,Agelanthus,,"elegantulus",,"","(Engl.) Polhill & Wiens",Accepted,,M,WCSP (in review),749922,969267-1,"Énum. Pl. Fl. Afr. Trop.","2: 163","","1992"
kew-2626075,A,Loranthaceae,,Agelanthus,,"entebbensis",,"","(Sprague) Polhill & Wiens",Accepted,,M,WCSP (in review),749923,969268-1,"Énum. Pl. Fl. Afr. Trop.","2: 163","","1992"
kew-2626076,A,Loranthaceae,,Agelanthus,,"falcifolius",,"","(Sprague) Polhill & Wiens",Accepted,,M,WCSP (in review),749924,969269-1,"Énum. Pl. Fl. Afr. Trop.","2: 163","","1992"
kew-2626078,A,Loranthaceae,,Agelanthus,,"flammeus",,"","Polhill & Wiens",Accepted,,M,WCSP (in review),749926,1003126-1,"Mistletoes Africa","169","","1998"
