ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-256025,A,Lowiaceae,,Orchidantha,,"borneensis",,"","N.E.Br.",Accepted,,H,WCSP,256025,585007-1,"Gard. Chron.","n.s., 26: 519","","1886"
kew-256027,A,Lowiaceae,,Orchidantha,,"chinensis",,"","T.L.Wu",Accepted,,H,WCSP,256027,552616-1,"Acta Phytotax. Sin.","9: 340","","1964"
kew-256029,A,Lowiaceae,,Orchidantha,,"chinensis",var.,"longisepala","(D.Fang) T.L.Wu",Accepted,,L,WCSP,256029,999505-1,"Novon","7: 440","","1997 publ. 1998"
kew-256030,A,Lowiaceae,,Orchidantha,,"fimbriata",,"","Holttum",Accepted,,H,WCSP,256030,552617-1,"Gard. Bull. Singapore","25: 243","","1970"
kew-256031,A,Lowiaceae,,Orchidantha,,"foetida",,"","Jenjitt. & K.Larsen",Accepted,,H,WCSP,256031,70028610-1,"Nordic J. Bot.","22: 405","","2002 publ. 2003"
kew-256032,A,Lowiaceae,,Orchidantha,,"grandiflora",,"","Mood & L.B.Pedersen",Accepted,,H,WCSP,256032,20002457-1,"Nordic J. Bot.","21: 126","","2001"
kew-256033,A,Lowiaceae,,Orchidantha,,"holttumii",,"","K.Larsen",Accepted,,H,WCSP,256033,972951-1,"Nordic J. Bot.","13: 285","","1993"
kew-256034,A,Lowiaceae,,Orchidantha,,"inouei",,"","Nagam. & S.Sakai",Accepted,,H,WCSP,256034,1008678-1,"Nordic J. Bot.","19: 149","","1999"
kew-256035,A,Lowiaceae,,Orchidantha,,"insularis",,"","T.L.Wu",Accepted,,H,WCSP,256035,552618-1,"Acta Phytotax. Sin.","9: 340","","1964"
kew-256036,A,Lowiaceae,,Orchidantha,,"laotica",,"","K.Larsen",Accepted,,H,WCSP,256036,552619-1,"Bot. Tidsskr.","56: 349","","1961"
kew-256037,A,Lowiaceae,,Orchidantha,,"longiflora",,"","(Scort.) Ridl.",Accepted,,H,WCSP,256037,585010-1,"Fl. Malay Penins.","4: 292","","1924"
kew-256039,A,Lowiaceae,,Orchidantha,,"maxillarioides",,"","(Ridl.) K.Schum.",Accepted,,H,WCSP,256039,585011-1,"Pflanzenr.","IV, 45: 42","","1900"
kew-256040,A,Lowiaceae,,Orchidantha,,"quadricolor",,"","L.B.Pedersen & A.L.Lamb",Accepted,,H,WCSP,256040,20002456-1,"Nordic J. Bot.","21: 124","","2001"
kew-256041,A,Lowiaceae,,Orchidantha,,"sabahensis",,"","A.L.Lamb & L.B.Pedersen",Accepted,,H,WCSP,256041,20002455-1,"Nordic J. Bot.","21: 123","","2001"
kew-256042,A,Lowiaceae,,Orchidantha,,"siamensis",,"","K.Larsen",Accepted,,H,WCSP,256042,552620-1,"Bot. Tidsskr.","56: 348","","1961"
kew-256043,A,Lowiaceae,,Orchidantha,,"suratii",,"","L.B.Pedersen, J.Linton & A.L.Lamb",Accepted,,H,WCSP,256043,20002454-1,"Nordic J. Bot.","21: 122","","2001"
kew-256044,A,Lowiaceae,,Orchidantha,,"vietnamica",,"","K.Larsen",Accepted,,H,WCSP,256044,552621-1,"Adansonia","n.s., 13: 481","","1973 publ. 1974"
