ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2621392,A,Lythraceae,,Adenaria,,"floribunda",,"","Kunth",Accepted,,M,WCSP (in review),745255,30023859-2,"Nov. Gen. Sp.","6: 188","","1823"
kew-2633639,A,Lythraceae,,Ammannia,,"aegyptiaca",,"","Willd.",Accepted,,M,WCSP (in review),757350,552648-1,"Hort. Berol.","t. 6","","1809"
kew-2633642,A,Lythraceae,,Ammannia,,"alternifolia",,"","H.Perrier",Accepted,,M,WCSP (in review),757353,552651-1,"Notul. Syst. (Paris)","14: 308","","1953"
kew-2633653,A,Lythraceae,,Ammannia,,"auriculata",,"","Willd.",Accepted,,M,WCSP (in review),757364,552658-1,"Hort. Berol.","1: 7","","1806"
kew-2633655,A,Lythraceae,,Ammannia,,"auriculata",var.,"bojeriana","Koehne",Accepted,,L,WCSP (in review),757366,,"Bot. Jahrb. Syst.","1: 246","","1880"
kew-2633666,A,Lythraceae,,Ammannia,,"baccifera",,"","L.",Accepted,,L,WCSP (in review),757377,552663-1,"Sp. Pl.","120","","1753"
kew-2633687,A,Lythraceae,,Ammannia,,"coccinea",,"","Rottb.",Accepted,,M,WCSP (in review),757398,552672-1,"Pl. Hort. Univ. Rar. Prog.","7","","1773"
kew-2633690,A,Lythraceae,,Ammannia,,"coccinea",subsp.,"pubiflora","Koehne",Accepted,,L,WCSP (in review),757401,,"Bot. Jahrb. Syst.","1: 250","","1881"
tro-19200229,A,Lythraceae,,Ammannia,,"cryptantha",,"","Baker",Accepted,,M,TRO,19200229,552677-1,"J. Linn. Soc., Bot.","21: 315","315","1884"
kew-2633703,A,Lythraceae,,Ammannia,,"desertorum",,"","Blatt. & Hallb.",Accepted,,M,WCSP (in review),757414,552683-1,"J. Bombay Nat. Hist. Soc.","26: 213","","1918"
kew-2633708,A,Lythraceae,,Ammannia,,"elata",,"","A.Fern.",Accepted,,M,WCSP (in review),757419,552688-1,"Bol. Soc. Brot.","II, 48: 125","","1974 publ. 1975"
kew-2633720,A,Lythraceae,,Ammannia,,"gracilis",,"","Guill. & Perr.",Accepted,,M,WCSP (in review),757431,552700-1,"Fl. Seneg. Tent.","301","","1833"
kew-2633736,A,Lythraceae,,Ammannia,,"latifolia",,"","L.",Accepted,,M,WCSP (in review),757447,552714-1,"Sp. Pl.","119","","1753"
kew-2633740,A,Lythraceae,,Ammannia,,"linearipetala",,"","A.Fern. & Diniz",Accepted,,M,WCSP (in review),757451,552718-1,"Bol. Soc. Brot.","II, 33: 22","","1959"
kew-2633749,A,Lythraceae,,Ammannia,,"microcarpa",,"","DC.",Accepted,,M,WCSP (in review),757460,552727-1,"Mém. Soc. Phys. Genève","3(2): 93","","1825"
kew-2633752,A,Lythraceae,,Ammannia,,"multiflora",,"","Roxb.",Accepted,,M,WCSP (in review),757463,109713-3,"Fl. Ind.","1: 447","","1820"
kew-2633756,A,Lythraceae,,Ammannia,,"myriophylloides",,"","Dunn",Accepted,,M,WCSP (in review),757467,552732-1,"J. Bot.","47: 199","","1909"
kew-2633757,A,Lythraceae,,Ammannia,,"nagpurensis",,"","T.Mathew & M.P.Nayar",Accepted,,M,WCSP (in review),757468,974001-1,"Bull. Bot. Surv. India","31: 158","","1989 publ. 1992"
kew-2633762,A,Lythraceae,,Ammannia,,"octandra",,"","L.f.",Accepted,,M,WCSP (in review),757473,332080-2,"Suppl. Pl.","127","","1782"
kew-2633774,A,Lythraceae,,Ammannia,,"prieuriana",,"","Guill. & Perr.",Accepted,,M,WCSP (in review),757485,552750-1,"Fl. Seneg. Tent.","303","","1833"
kew-2633781,A,Lythraceae,,Ammannia,,"quadriciliata",,"","H.Perrier",Accepted,,M,WCSP (in review),757492,552757-1,"Notul. Syst. (Paris)","14: 309","","1953"
kew-2633791,A,Lythraceae,,Ammannia,,"robusta",,"","Heer & Regel",Accepted,,M,WCSP (in review),757502,552767-1,"Index Seminum (Z)","1842: s.p.","","1842"
kew-2633809,A,Lythraceae,,Ammannia,,"schaeferi",,"","Koehne ex Engl.",Accepted,,M,WCSP (in review),757519,552782-1,"Veg. Erde","9(III 2): 646","","1921"
kew-2633810,A,Lythraceae,,Ammannia,,"senegalensis",,"","Lam.",Accepted,,M,WCSP (in review),757520,552783-1,"Tabl. Encycl.","1: 312","","1792"
kew-2633835,A,Lythraceae,,Ammannia,,"triflora",,"","R.Br. ex Benth.",Accepted,,M,WCSP (in review),757545,552793-1,"Fl. Austral.","3: 297","","1867"
kew-2633837,A,Lythraceae,,Ammannia,,"uniflora",,"","Meijden",Accepted,,M,WCSP (in review),757547,552796-1,"Blumea","14: 245","","1966"
kew-2633838,A,Lythraceae,,Ammannia,,"urceolata",,"","Hiern",Accepted,,M,WCSP (in review),757548,552797-1,"Fl. Trop. Afr.","2: 478","","1871"
