ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-50328786,A,Magnoliaceae,,Lirianthe,,"fujianensis",,"","N.H. Xia & C.Y. Wu",Accepted,,M,TRO,50328786,77097578-1,"Fl. China","7: 64","64","2008"
kew-113846,A,Magnoliaceae,,Liriodendron,,"chinense",,"","(Hemsl.) Sarg.",Accepted,,H,WCSP,113846,554609-1,"Trees & Shrubs","1: 103","","1903"
kew-113859,A,Magnoliaceae,,Liriodendron,,"tulipifera",,"","L.",Accepted,,H,WCSP,113859,30197364-2,"Sp. Pl.","535","","1753"
kew-117423,A,Magnoliaceae,,Magnolia,,"acuminata",,"","(L.) L.",Accepted,,H,WCSP,117423,554627-1,"Syst. Nat. ed. 10","2: 1082","","1759"
kew-345308,A,Magnoliaceae,,Magnolia,,"acuminata",var.,"acuminata","",Accepted,,L,WCSP,345308,,"Unknown","","",""
kew-117434,A,Magnoliaceae,,Magnolia,,"acuminata",var.,"subcordata","(Spach) Dandy",Accepted,,L,WCSP,117434,149270-2,"Amer. J. Bot.","51: 1056","","1964"
kew-117436,A,Magnoliaceae,,Magnolia,,"albosericea",,"","Chun & C.H.Tsoong",Accepted,,H,WCSP,117436,554629-1,"Acta Phytotax. Sin.","9: 117","","1964"
kew-117438,A,Magnoliaceae,,Magnolia,,"allenii",,"","Standl.",Accepted,,H,WCSP,117438,149271-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","22: 331","","1940"
kew-117439,A,Magnoliaceae,,Magnolia,,"amazonica",,"","(Ducke) Govaerts",Accepted,,H,WCSP,117439,991403-1,"World Checklist Bibliogr. Magnoliaceae","25","","1996"
kew-117440,A,Magnoliaceae,,Magnolia,,"amoena",,"","W.C.Cheng",Accepted,,H,WCSP,117440,554632-1,"Contrib. Biol. Lab. Chin. Assoc. Advancem. Sci., Sect. Bot.","9: 280","","1934"
kew-117443,A,Magnoliaceae,,Magnolia,,"angatensis",,"","Blanco",Accepted,,H,WCSP,117443,554634-1,"Fl. Filip.","859","","1837"
kew-252904,A,Magnoliaceae,,Magnolia,,"angustioblonga",,"","(Y.W.Law & Y.F.Wu) Figlar",Accepted,,H,WCSP,252904,20011681-1,"Proc. Int. Symp. Magnoliac.","21","","2000"
kew-117445,A,Magnoliaceae,,Magnolia,,"annamensis",,"","Dandy",Accepted,,H,WCSP,117445,554636-1,"J. Bot.","68: 209","","1930"
kew-117448,A,Magnoliaceae,,Magnolia,,"arcabucoana",,"","(Lozano) Govaerts",Accepted,,H,WCSP,117448,991404-1,"World Checklist Bibliogr. Magnoliaceae","25","","1996"
kew-117449,A,Magnoliaceae,,Magnolia,,"argyrothricha",,"","(Lozano) Govaerts",Accepted,,H,WCSP,117449,,"World Checklist Bibliogr. Magnoliaceae","26","","1996"
kew-344354,A,Magnoliaceae,,Magnolia,,"aromatica",,"","(Dandy) V.S.Kumar",Accepted,,H,WCSP,344354,77074646-1,"Kew Bull.","61: 183","","2006"
kew-117451,A,Magnoliaceae,,Magnolia,,"ashtonii",,"","Dandy ex Noot.",Accepted,,H,WCSP,117451,933059-1,"Blumea","32: 363","","1987"
kew-117462,A,Magnoliaceae,,Magnolia,,"baillonii",,"","Pierre",Accepted,,H,WCSP,117462,554644-1,"Fl. Forest. Cochinch.","2","","1880"
kew-117463,A,Magnoliaceae,,Magnolia,,"balansae",,"","A.DC.",Accepted,,H,WCSP,117463,554645-1,"Bull. Herb. Boissier","II, 4: 294","","1904"
kew-252906,A,Magnoliaceae,,Magnolia,,"banghamii",,"","(Noot.) Figlar & Noot.",Accepted,,H,WCSP,252906,60433086-2,"Blumea","49: 96","","2004"
kew-351099,A,Magnoliaceae,,Magnolia,,"beccarii",,"","(Ridl.) ined.",Accepted,,H,WCSP,351099,,"Unknown","","",""
kew-117464,A,Magnoliaceae,,Magnolia,,"betongensis",,"","(Craib) H.Keng",Accepted,,H,WCSP,117464,554646-1,"Gard. Bull. Singapore","31: 129","","1978"
kew-117466,A,Magnoliaceae,,Magnolia,,"bintuluensis",,"","(A.Agostini) Noot.",Accepted,,H,WCSP,117466,944630-1,"Blumea","32: 362","","1987"
kew-117467,A,Magnoliaceae,,Magnolia,,"biondii",,"","Pamp.",Accepted,,H,WCSP,117467,554647-1,"Nuovo Giorn. Bot. Ital.","n.s., 7: 275","","1910"
kew-117475,A,Magnoliaceae,,Magnolia,,"blaoensis",,"","(Gagnep.) Dandy",Accepted,,H,WCSP,117475,554649-1,"World Pollen Spore Fl.","3(Magnoliaceae): 5","","1974"
kew-117476,A,Magnoliaceae,,Magnolia,,"blumei",,"","Prantl",Accepted,,H,WCSP,117476,554650-1,"Nat. Pflanzenfam.","3(2): 16","","1888"
kew-252907,A,Magnoliaceae,,Magnolia,,"blumei",var.,"sumatrana","(Miq.) Figlar & Noot.",Accepted,,L,WCSP,252907,60433080-2,"Blumea","49: 95","","2004"
kew-117477,A,Magnoliaceae,,Magnolia,,"boliviana",,"","(M.Nee) Govaerts",Accepted,,H,WCSP,117477,991471-1,"World Checklist Bibliogr. Magnoliaceae","26","","1996"
kew-117479,A,Magnoliaceae,,Magnolia,,"borneensis",,"","Noot.",Accepted,,H,WCSP,117479,933060-1,"Blumea","32: 366","","1987"
kew-252908,A,Magnoliaceae,,Magnolia,,"braianensis",,"","(Gagnep.) Figlar",Accepted,,H,WCSP,252908,20011682-1,"Proc. Int. Symp. Magnoliac.","21","","2000"
kew-117484,A,Magnoliaceae,,Magnolia,,"calimaensis",,"","(Lozano) Govaerts",Accepted,,H,WCSP,117484,991406-1,"World Checklist Bibliogr. Magnoliaceae","26","","1996"
