ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2609550,A,Malvaceae,,Abelmoschus,,"angulosus",,"","Wall. ex Wight & Arn.",Accepted,,M,WCSP (in review),733895,557984-1,"Prodr. Fl. Ind. Orient.","53","","1834"
kew-2609567,A,Malvaceae,,Abelmoschus,,"crinitus",,"","Wall.",Accepted,,M,WCSP (in review),733913,557999-1,"Pl. Asiat. Rar.","1: 39","","1830"
kew-2609574,A,Malvaceae,,Abelmoschus,,"esculentus",,"","(L.) Moench",Accepted,,M,WCSP (in review),733920,558006-1,"Methodus","617","","1794"
kew-2609577,A,Malvaceae,,Abelmoschus,,"ficulneus",,"","(L.) Wight & Arn.",Accepted,,L,WCSP (in review),733923,20008221-1,"Cat. Ind. Pl.","14","","1833"
kew-2609583,A,Malvaceae,,Abelmoschus,,"hostilis",,"","(Wall. ex Mast.) M.S.Khan & M.S.Hussain",Accepted,,L,WCSP (in review),733929,60432215-2,"Bangladesh J. Pl. Taxon.","8: 115","","2001"
kew-2609588,A,Malvaceae,,Abelmoschus,,"magnificus",,"","Wall.",Accepted,,M,WCSP (in review),733934,558019-1,"Numer. List","87, 1919","","1829"
kew-2609589,A,Malvaceae,,Abelmoschus,,"manihot",,"","(L.) Medik.",Accepted,,M,WCSP (in review),733935,52118-3,"Malvenfam.","46","","1787"
tro-19603418,A,Malvaceae,,Abelmoschus,,"manihot",var.,"manihot","",Accepted,,L,TRO,19603418,,"","","",""
kew-2609593,A,Malvaceae,,Abelmoschus,,"manihot",var.,"pungens","(Roxb.) Hochr.",Accepted,,L,WCSP (in review),733939,,"Annuaire Conserv. Jard. Bot. Genève","4: 155","","1900"
kew-2609595,A,Malvaceae,,Abelmoschus,,"manihot",subsp.,"tetraphyllus","(Roxb. ex Hornem.) Borss.Waalk.",Accepted,,L,WCSP (in review),733941,52130-3,"Blumea","14: 97","","1966"
kew-2609599,A,Malvaceae,,Abelmoschus,,"moschatus",,"","Medik.",Accepted,,L,WCSP (in review),733945,558023-1,"Malvenfam.","46","","1787"
kew-2609601,A,Malvaceae,,Abelmoschus,,"moschatus",subsp.,"biakensis","(Hochr.) Borss.Waalk.",Accepted,,L,WCSP (in review),733947,,"Blumea","14: 93","","1966"
kew-2609605,A,Malvaceae,,Abelmoschus,,"moschatus",subsp.,"tuberosus","(Span.) Borss.Waalk.",Accepted,,L,WCSP (in review),733951,52158-3,"Blumea","14: 93","","1966"
kew-2609606,A,Malvaceae,,Abelmoschus,,"muliensis",,"","K.M.Feng",Accepted,,M,WCSP (in review),733952,899045-1,"Acta Bot. Yunnan.","4: 28","","1982"
kew-2609626,A,Malvaceae,,Abelmoschus,,"sagittifolius",,"","(Kurz) Merr.",Accepted,,M,WCSP (in review),733972,558042-1,"Lingnaam Agric. Rev.","2: 40","","1924"
kew-2610167,A,Malvaceae,,Abroma,,"augusta",,"","(L.) L.f.",Accepted,,M,WCSP (in review),734038,822006-1,"Suppl. Pl.","341","","1782"
kew-2610431,A,Malvaceae,,Abutilon,,"abutiloides",,"","(Jacq.) Garcke ex Hochr.",Accepted,,M,WCSP (in review),734302,1055043-2,"Annuaire Conserv. Jard. Bot. Genève","6: 22","","1902"
tro-50226374,A,Malvaceae,,Abutilon,,"abutilon",,"","(L.) Shafer",Accepted,,M,TRO,50226374,558063-1,"Ann. Carnegie Mus.","1: 32","32","1901"
kew-2610434,A,Malvaceae,,Abutilon,,"affine",,"","(Spreng.) G.Don",Accepted,,M,WCSP (in review),734305,1130542-2,"Gen. Hist.","1: 503","","1831"
kew-2610435,A,Malvaceae,,Abutilon,,"agnesiae",,"","Borzí",Accepted,,M,WCSP (in review),734306,558067-1,"Boll. Reale Orto Bot. Palermo","10: 129","","1911"
kew-2610440,A,Malvaceae,,Abutilon,,"alii",,"","Abedin",Accepted,,M,WCSP (in review),734311,323437-2,"Pakistan J. Bot.","7: 193","","1975"
kew-2610443,A,Malvaceae,,Abutilon,,"amoenum",,"","K.Schum.",Accepted,,M,WCSP (in review),734314,171-2,"Fl. Bras.","12(3): 411","","1891"
kew-2610447,A,Malvaceae,,Abutilon,,"amplum",,"","Benth.",Accepted,,M,WCSP (in review),734318,558080-1,"Fl. Austral.","1: 200","","1863"
kew-2610449,A,Malvaceae,,Abutilon,,"andrewsianum",,"","W.Fitzg.",Accepted,,M,WCSP (in review),734320,558082-1,"J. Proc. Roy. Soc. Western Australia","3: 172","","1918"
kew-2610450,A,Malvaceae,,Abutilon,,"andrieuxii",,"","Hemsl.",Accepted,,M,WCSP (in review),734321,323440-2,"Diagn. Pl. Nov. Mexic.","24","","1879"
