ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-218432,A,Marantaceae,,Afrocalathea,,"rhizantha",,"","(K.Schum.) K.Schum.",Accepted,,H,WCSP,218432,564955-1,"Pflanzenr.","IV, 48: 51","","1902"
kew-221028,A,Marantaceae,,Ataenidia,,"conferta",,"","(Benth.) Milne-Redh.",Accepted,,H,WCSP,221028,564957-1,"Kew Bull.","7: 168","","1952"
kew-222925,A,Marantaceae,,Calathea,,"ackermannii",,"","Körn.",Accepted,,H,WCSP,222925,795758-1,"Bull. Soc. Imp. Naturalistes Moscou","35(1): 133","","1862"
kew-222926,A,Marantaceae,,Calathea,,"acuminata",,"","Steyerm.",Accepted,,H,WCSP,222926,40962-2,"Fieldiana, Bot.","28: 161","","1951"
kew-222927,A,Marantaceae,,Calathea,,"aemula",,"","Körn.",Accepted,,H,WCSP,222927,795759-1,"Bull. Soc. Imp. Naturalistes Moscou","35(1): 131","","1862"
kew-222928,A,Marantaceae,,Calathea,,"affinis",,"","Fenzl ex Regel",Accepted,,H,WCSP,222928,795760-1,"Gartenflora","28: 294","","1879"
kew-222929,A,Marantaceae,,Calathea,,"albertii",,"","(Pynaert & Van Geert) L.H.Bailey & Raffill",Accepted,,H,WCSP,222929,,"Stand. Cycl. Hort.","2: 621","","1914"
kew-222931,A,Marantaceae,,Calathea,,"albovaginata",,"","(K.Koch & Linden) K.Schum.",Accepted,,H,WCSP,222931,40966-2,"Pflanzenr.","IV, 48: 99","","1902"
kew-222932,A,Marantaceae,,Calathea,,"allenii",,"","Woodson",Accepted,,H,WCSP,222932,40967-2,"Ann. Missouri Bot. Gard.","29: 331","","1942"
kew-222934,A,Marantaceae,,Calathea,,"allouia",,"","(Aubl.) Lindl.",Accepted,,H,WCSP,222934,795765-1,"Edwards's Bot. Reg.","14: t. 1210","","1829"
kew-222936,A,Marantaceae,,Calathea,,"altissima",,"","(Poepp. & Endl.) Horan.",Accepted,,H,WCSP,222936,795766-1,"Prodr. Monogr. Scitam.","13","","1862"
kew-222937,A,Marantaceae,,Calathea,,"amazonica",,"","H.A.Kenn.",Accepted,,H,WCSP,222937,300667-2,"Selbyana","15: 63","","1994"
kew-222939,A,Marantaceae,,Calathea,,"anderssonii",,"","H.A.Kenn.",Accepted,,H,WCSP,222939,273640-2,"Canad. J. Bot.","63: 1145","","1985"
kew-222940,A,Marantaceae,,Calathea,,"angustifolia",,"","Körn.",Accepted,,H,WCSP,222940,795768-1,"Gartenflora","7: 87","","1858"
kew-222941,A,Marantaceae,,Calathea,,"annae",,"","H.A.Kenn. & Marcelo",Accepted,,H,WCSP,222941,1001035-1,"Phytologia","82: 96","","1997"
kew-222942,A,Marantaceae,,Calathea,,"anulque",,"","H.A.Kenn.",Accepted,,H,WCSP,222942,273641-2,"in Fl. Ecuador","32(224): 38","","1988"
kew-222943,A,Marantaceae,,Calathea,,"applicata",,"","Jacob-Makoy ex E.Morren",Accepted,,H,WCSP,222943,795769-1,"Ann. Hort. Belge Étrangère","24: 228","","1874"
kew-222944,A,Marantaceae,,Calathea,,"argyraea",,"","Körn.",Accepted,,H,WCSP,222944,795770-1,"Bull. Soc. Imp. Naturalistes Moscou","35(1): 142","","1862"
kew-222945,A,Marantaceae,,Calathea,,"argyrophylla",,"","(Linden ex K.Koch) L.H.Bailey & Raffill",Accepted,,H,WCSP,222945,,"Stand. Cycl. Hort.","2: 624","","1914"
kew-222946,A,Marantaceae,,Calathea,,"arrabidae",,"","Körn.",Accepted,,H,WCSP,222946,,"Bull. Soc. Imp. Naturalistes Moscou","35(1): 144","","1862"
kew-222948,A,Marantaceae,,Calathea,,"asplundii",,"","H.A.Kenn.",Accepted,,H,WCSP,222948,273642-2,"in Fl. Ecuador","32(224): 53","","1988"
kew-222949,A,Marantaceae,,Calathea,,"atropurpurea",,"","Matuda",Accepted,,H,WCSP,222949,40975-2,"Anales Inst. Biol. Univ. Nac. México","27: 359","","1957"
kew-222950,A,Marantaceae,,Calathea,,"attenuata",,"","H.A.Kenn.",Accepted,,H,WCSP,222950,273643-2,"Nordic J. Bot.","6: 146","","1986"
kew-222951,A,Marantaceae,,Calathea,,"bachemiana",,"","E.Morren",Accepted,,H,WCSP,222951,40976-2,"Ann. Bot. Hort.","25: 271","","1875"
kew-222953,A,Marantaceae,,Calathea,,"bantae",,"","H.A.Kenn.",Accepted,,H,WCSP,222953,273644-2,"Canad. J. Bot.","64: 1321","","1986"
kew-222954,A,Marantaceae,,Calathea,,"baraquinii",,"","(Lem.) Regel",Accepted,,H,WCSP,222954,795776-1,"Gartenflora","18: 99","","1869"
kew-222955,A,Marantaceae,,Calathea,,"barbata",,"","Petersen",Accepted,,H,WCSP,222955,40980-2,"Fl. Bras.","3(3): 110","","1890"
kew-222957,A,Marantaceae,,Calathea,,"bella",,"","(W.Bull) Regel",Accepted,,H,WCSP,222957,795778-1,"Gartenflora","28: 297","","1879"
kew-222958,A,Marantaceae,,Calathea,,"bellula",,"","Linden",Accepted,,H,WCSP,222958,795779-1,"Cat. Gén.","89: 2","","1872"
kew-222961,A,Marantaceae,,Calathea,,"blanda",,"","(Nees) Steud.",Accepted,,H,WCSP,222961,795781-1,"Nomencl. Bot.","ed. 2, 1: 253","","1840"
kew-222962,A,Marantaceae,,Calathea,,"bracteosa",,"","Rusby",Accepted,,H,WCSP,222962,40982-2,"Mem. New York Bot. Gard.","7: 220","","1927"
kew-222963,A,Marantaceae,,Calathea,,"brasiliensis",,"","Körn.",Accepted,,H,WCSP,222963,795782-1,"Bull. Soc. Imp. Naturalistes Moscou","35(1): 118","","1862"
kew-222964,A,Marantaceae,,Calathea,,"brenesii",,"","Standl.",Accepted,,H,WCSP,222964,40984-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","18: 192","","1937"
kew-222965,A,Marantaceae,,Calathea,,"brevipes",,"","Körn.",Accepted,,H,WCSP,222965,795783-1,"Bull. Soc. Imp. Naturalistes Moscou","35(1): 140","","1862"
kew-222966,A,Marantaceae,,Calathea,,"brunnescens",,"","(K.Koch) K.Schum.",Accepted,,H,WCSP,222966,40986-2,"Pflanzenr.","IV, 48: 99","","1902"
kew-222967,A,Marantaceae,,Calathea,,"buchtienii",,"","Pax",Accepted,,H,WCSP,222967,40987-2,"Repert. Spec. Nov. Regni Veg.","7: 107","","1909"
kew-222969,A,Marantaceae,,Calathea,,"burle-marxii",,"","H.A.Kenn.",Accepted,,H,WCSP,222969,40989-2,"Canad. J. Bot.","60: 2365","","1982"
kew-222971,A,Marantaceae,,Calathea,,"caesariata",,"","H.A.Kenn.",Accepted,,H,WCSP,222971,40990-2,"Bot. Not.","129: 350","","1977"
