ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-19800079,A,Marcgraviaceae,,Marcgravia,,"atropunctata",,"","de Roon",Accepted,,M,TRO,19800079,152973-2,"Acta Bot. Neerl.","18(1): 197-200, pl. 2","197","1969"
kew-2506056,A,Marcgraviaceae,,Marcgravia,,"brownei",,"","(Triana & Planch.) Krug & Urb.",Accepted,,M,WCSP (in review),633602,152975-2,"Symb. Antill.","1: 367","","1899"
tro-19800001,A,Marcgraviaceae,,Marcgravia,,"caudata",,"","Triana & Planch.",Accepted,,M,TRO,19800001,829042-1,"Ann. Sci. Nat., Bot., sér. 4","17: 362-363","362","1862"
kew-2505685,A,Marcgraviaceae,,Marcgravia,,"coriacea",,"","Vahl",Accepted,,M,WCSP (in review),633231,829045-1,"Eclog. Amer.","2: 39","","1798"
tro-19800181,A,Marcgraviaceae,,Marcgravia,,"crassiflora",,"","Sleumer",Accepted,,M,TRO,19800181,152981-2,"Notizbl. Bot. Gart. Berlin-Dahlem","15: 376","376","1941"
tro-19800005,A,Marcgraviaceae,,Marcgravia,,"crenata",,"","Poepp. ex Wittm.",Accepted,,M,TRO,19800005,829048-1,"Fl. Bras.","12(1): 223-224, t. 41, f. 3","223","1878"
kew-2505647,A,Marcgraviaceae,,Marcgravia,,"eichleriana",,"","Wittm.",Accepted,,M,WCSP (in review),633193,829055-1,"Fl. Bras.","12(1): 230","","1878"
tro-19800112,A,Marcgraviaceae,,Marcgravia,,"flagellaris",,"","(Poepp. ex Wittm.) Poepp. ex Gilg & Werderm.",Accepted,,M,TRO,19800112,,"Nat. Pflanzenfam. (ed. 2)","21: 105","105","1925"
tro-19800122,A,Marcgraviaceae,,Marcgravia,,"gentlei",,"","Lundell",Accepted,,M,TRO,19800122,152991-2,"Contr. Univ. Michigan Herb.","6: 46","46","1941"
tro-50220284,A,Marcgraviaceae,,Marcgravia,,"goudotiana",,"","(Triana & Planch.) de Roon",Accepted,,M,TRO,50220284,152992-2,"Acta Bot. Neerl.","15(3): 588","588","1967"
