ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2741351,A,Martyniaceae,,Craniolaria,,"annua",,"","L.",Accepted,,M,WCSP (in review),863342,675800-1,"Sp. Pl.","618","","1753"
kew-2741352,A,Martyniaceae,,Craniolaria,,"argentina",,"","Speg.",Accepted,,M,WCSP (in review),863343,67701-2,"Pl. Nov. Argent.","3: 1","","1897"
kew-2741356,A,Martyniaceae,,Craniolaria,,"integrifolia",,"","Cham.",Accepted,,M,WCSP (in review),863347,675805-1,"Linnaea","7: 725","","1832"
kew-2852476,A,Martyniaceae,,Holoregmia,,"viscida",,"","Nees",Accepted,,M,WCSP (in review),971529,327210-2,"Flora","4: 300","","1821"
kew-2859962,A,Martyniaceae,,Ibicella,,"lutea",,"","(Lindl.) Van Eselt.",Accepted,,M,WCSP (in review),978596,565368-1,"Techn. Bull. New York Agric. Exp. Sta., Geneva","149: 34","","1929"
tro-50279273,A,Martyniaceae,,Ibicella,,"nelsoniana",,"","(Barb. Rodr.) Van Eselt.",Accepted,,M,TRO,50279273,127284-2,"Techn. Bull. New York Agric. Exp. Sta., Geneva","149: 32-33, f. 13a-f","32","1929"
kew-2859964,A,Martyniaceae,,Ibicella,,"parodii",,"","Abbiatti",Accepted,,M,WCSP (in review),978598,127285-2,"Notas Mus. La Plata, Bot.","4: 458","","1939"
tro-19900001,A,Martyniaceae,,Martynia,,"annua",,"","L.",Accepted,,M,TRO,19900001,675840-1,"Sp. Pl.","2: 618","618","1753"
tro-50327102,A,Martyniaceae,,Martynia,,"jussieui",,"","(Schmidel) J.T. Howell",Accepted,,M,TRO,50327102,153747-2,"Leafl. W. Bot.","1: 40","40","1933"
tro-50177222,A,Martyniaceae,,Martynia,,"palmeri",,"","S. Watson",Accepted,,M,TRO,50177222,153752-2,"Proc. Amer. Acad. Arts","24: 66","66","1889"
tro-19900003,A,Martyniaceae,,Proboscidea,,"altheifolia",,"","(Benth.) Decne.",Accepted,,M,TRO,19900003,,"Ann. Sci. Nat., Bot., sér. 4","3: 324","324","1865"
tro-19900004,A,Martyniaceae,,Proboscidea,,"arenaria",,"","(Engelm.) Decne.",Accepted,,M,TRO,19900004,675894-1,"Ann. Sci. Nat., Bot., sér. 5","3: 326","326","1865"
tro-19900005,A,Martyniaceae,,Proboscidea,,"fragrans",,"","(Lindl.) Decne.",Accepted,,M,TRO,19900005,1048012-2,"Ann. Sci. Nat., Bot., sér. 5","3: 326","326","1865"
tro-19900021,A,Martyniaceae,,Proboscidea,,"louisiana",,"","(Mill.) Wooton & Standl.",Accepted,,M,TRO,19900021,210336-2,"Contr. U.S. Natl. Herb.","19: 602","602","1915"
tro-19900006,A,Martyniaceae,,Proboscidea,,"louisianica",,"","Thell.",Accepted,,M,TRO,19900006,,"Mém. Soc. Sci. Nat. Cherbourg","38: 480","480","1912"
tro-19900007,A,Martyniaceae,,Proboscidea,,"parviflora",,"","(Wooton) Wooton & Standl.",Accepted,,M,TRO,19900007,210338-2,"Contr. U.S. Natl. Herb.","19: 602","602","1915"
tro-50288391,A,Martyniaceae,,Proboscidea,,"parviflora",subsp.,"gracillima","(Hevly) Bretting",Accepted,,L,TRO,50288391,283782-2,"Southw. Naturalist","30(1): 150","150","1985"
tro-50288394,A,Martyniaceae,,Proboscidea,,"parviflora",subsp.,"sinaloensis","(Van Eselt.) Bretting",Accepted,,L,TRO,50288394,283783-2,"Southw. Naturalist","30: 151","151","1985"
tro-19900022,A,Martyniaceae,,Proboscidea,,"triloba",,"","(Schltdl. & Cham.) Decne.",Accepted,,M,TRO,19900022,675906-1,"Ann. Sci. Nat., Bot., sér. 5","3: 326-327","326","1865"
tro-100001049,A,Martyniaceae,,Proboscidea,,"triloba",subsp.,"diversifolia","(Hevly) Bretting",Accepted,,L,TRO,100001049,283785-2,"Southw. Naturalist","30(1): 150","150","1985"
