ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-298995,A,Melanthiaceae,,Amianthium,,"muscitoxicum",,"","(Walter) A.Gray",Accepted,,L,WCSP,298995,,"Ann. Lyceum Nat. Hist. New York","4: 122","","1837"
kew-299838,A,Melanthiaceae,,Anticlea,,"elegans",,"","(Pursh) Rydb.",Accepted,,H,WCSP,299838,15844-2,"Bull. Torrey Bot. Club","30: 273","","1903"
kew-299840,A,Melanthiaceae,,Anticlea,,"frigida",,"","(Schltdl. & Cham.) Zomlefer & Judd",Accepted,,H,WCSP,299840,1176699-2,"Novon","12: 303","","2002"
kew-299843,A,Melanthiaceae,,Anticlea,,"hintoniorum",,"","(B.L.Turner) Zomlefer & Judd",Accepted,,H,WCSP,299843,1065353-2,"Novon","12: 303","","2002"
kew-299847,A,Melanthiaceae,,Anticlea,,"mogollonensis",,"","(W.J.Hess & Sivinski) Zomlefer & Judd",Accepted,,H,WCSP,299847,1122523-2,"Novon","12: 303","","2002"
kew-299849,A,Melanthiaceae,,Anticlea,,"neglecta",,"","(Espejo, López-Ferr. & Ceja) Zomlefer & Judd",Accepted,,H,WCSP,299849,1080495-2,"Novon","12: 303","","2002"
kew-299851,A,Melanthiaceae,,Anticlea,,"occidentalis",,"","(A.Gray) Zomlefer & Judd",Accepted,,H,WCSP,299851,1159301-2,"Novon","12: 303","","2002"
kew-299853,A,Melanthiaceae,,Anticlea,,"sachalinensis",,"","(F.Schmidt) Zomlefer & Judd",Accepted,,H,WCSP,299853,1113524-2,"Novon","12: 303","","2002"
kew-299854,A,Melanthiaceae,,Anticlea,,"sibirica",,"","(L.) Kunth",Accepted,,H,WCSP,299854,530824-1,"Enum. Pl.","4: 191","","1843"
kew-299855,A,Melanthiaceae,,Anticlea,,"vaginata",,"","Rydb.",Accepted,,H,WCSP,299855,15850-2,"Bull. Torrey Bot. Club","34: 108","","1912"
kew-299856,A,Melanthiaceae,,Anticlea,,"virescens",,"","(Kunth) Rydb.",Accepted,,H,WCSP,299856,15851-2,"Bull. Torrey Bot. Club","30: 273","","1903"
kew-299857,A,Melanthiaceae,,Anticlea,,"volcanica",,"","(Benth.) Baker",Accepted,,H,WCSP,299857,530827-1,"J. Linn. Soc., Bot.","17: 482","","1880"
kew-302082,A,Melanthiaceae,,Chamaelirium,,"luteum",,"","(L.) A.Gray",Accepted,,H,WCSP,302082,532651-1,"Manual","ed. 5: 527","","1867"
