ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2626162,A,Meliaceae,,Aglaia,,"agglomerata",,"","Merr. & L.M.Perry",Accepted,,M,WCSP (in review),750010,576952-1,"J. Arnold Arbor.","21: 322","","1940"
kew-2626164,A,Meliaceae,,Aglaia,,"aherniana",,"","G.Perkins",Accepted,,M,WCSP (in review),750012,576954-1,"Fragm. Fl. Philipp.","1: 32","","1904"
kew-2626167,A,Meliaceae,,Aglaia,,"amplexicaulis",,"","A.C.Sm.",Accepted,,M,WCSP (in review),750015,576957-1,"Bernice P. Bishop Mus. Bull.","141: 78","","1936"
kew-2626171,A,Meliaceae,,Aglaia,,"angustifolia",,"","(Miq.) Miq.",Accepted,,L,WCSP (in review),750019,576961-1,"Ann. Mus. Bot. Lugduno-Batavi","4: 55","","1868"
kew-2626176,A,Meliaceae,,Aglaia,,"apiocarpa",,"","(Thwaites) Hiern",Accepted,,M,WCSP (in review),750024,576966-1,"Fl. Brit. India","1: 555","","1875"
kew-2626181,A,Meliaceae,,Aglaia,,"archboldiana",,"","A.C.Sm.",Accepted,,M,WCSP (in review),750029,576971-1,"Sargentia","1: 44","","1942"
kew-2626182,A,Meliaceae,,Aglaia,,"argentea",,"","Blume",Accepted,,M,WCSP (in review),750030,576972-1,"Bijdr.","170","","1825"
kew-2626183,A,Meliaceae,,Aglaia,,"aspera",,"","Teijsm. & Binn.",Accepted,,M,WCSP (in review),750031,576973-1,"Natuurw. Tijdschr. Ned.-Indië","27: 42","","1864"
kew-2626185,A,Meliaceae,,Aglaia,,"australiensis",,"","Pannell",Accepted,,M,WCSP (in review),750033,968383-1,"Kew Bull., Addit. Ser.","16: 63","","1992"
kew-2626192,A,Meliaceae,,Aglaia,,"barbanthera",,"","C.DC.",Accepted,,M,WCSP (in review),750040,576981-1,"Nova Guinea","8: 1016","","1914"
kew-2626195,A,Meliaceae,,Aglaia,,"basiphylla",,"","A.Gray",Accepted,,M,WCSP (in review),750043,576984-1,"U.S. Expl. Exped., Phan.","1: 237","","1854"
kew-2626199,A,Meliaceae,,Aglaia,,"beccarii",,"","C.DC.",Accepted,,M,WCSP (in review),750047,576988-1,"Bull. Herb. Boissier","2: 579","","1894"
kew-2626208,A,Meliaceae,,Aglaia,,"bourdillonii",,"","Gamble",Accepted,,M,WCSP (in review),750056,576996-1,"Bull. Misc. Inform. Kew","1915: 346","","1915"
kew-2626210,A,Meliaceae,,Aglaia,,"brassii",,"","Merr. & L.M.Perry",Accepted,,M,WCSP (in review),750058,576998-1,"J. Arnold Arbor.","21: 325","","1940"
kew-2626214,A,Meliaceae,,Aglaia,,"brownii",,"","Pannell",Accepted,,M,WCSP (in review),750062,968393-1,"Kew Bull., Addit. Ser.","16: 327","","1992"
kew-2626215,A,Meliaceae,,Aglaia,,"bullata",,"","Pannell",Accepted,,M,WCSP (in review),750063,60435860-2,"Kew Bull.","59: 87","","2004"
kew-2626230,A,Meliaceae,,Aglaia,,"ceramica",,"","(Miq.) Pannell",Accepted,,M,WCSP (in review),750078,969257-1,"Kew Bull., Addit. Ser.","16: 262","","1991"
kew-2626234,A,Meliaceae,,Aglaia,,"chittagonga",,"","Miq.",Accepted,,L,WCSP (in review),750082,577019-1,"Ann. Mus. Bot. Lugduno-Batavi","4: 44","","1868"
kew-2626242,A,Meliaceae,,Aglaia,,"conferta",,"","Merr. & L.M.Perry",Accepted,,M,WCSP (in review),750090,577027-1,"J. Arnold Arbor.","21: 322","","1940"
kew-2606176,A,Meliaceae,,Aglaia,,"cooperae",,"","Pannell",Accepted,,M,WCSP (in review),730788,77092725-1,"J. Adelaide Bot. Gard.","22: 69","","2008"
kew-2626247,A,Meliaceae,,Aglaia,,"coriacea",,"","Korth. ex Miq.",Accepted,,M,WCSP (in review),750095,577031-1,"Ann. Mus. Bot. Lugduno-Batavi","4: 57","","1868"
kew-2626248,A,Meliaceae,,Aglaia,,"costata",,"","Merr.",Accepted,,M,WCSP (in review),750096,577032-1,"Philipp. J. Sci., C","3: 146","","1908"
kew-2626249,A,Meliaceae,,Aglaia,,"crassinervia",,"","Kurz ex Hiern",Accepted,,M,WCSP (in review),750097,577033-1,"Fl. Brit. India","1: 556","","1875"
kew-2626250,A,Meliaceae,,Aglaia,,"cremea",,"","Merr. & L.M.Perry",Accepted,,M,WCSP (in review),750098,577034-1,"J. Arnold Arbor.","21: 319","","1940"
kew-2626251,A,Meliaceae,,Aglaia,,"cucullata",,"","(Roxb.) Pellegr.",Accepted,,M,WCSP (in review),750099,577035-1,"Fl. Indo-Chine","1: 771","","1911"
kew-2626252,A,Meliaceae,,Aglaia,,"cumingiana",,"","Turcz.",Accepted,,M,WCSP (in review),750100,577036-1,"Bull. Soc. Imp. Naturalistes Moscou","31(1): 409","","1858"
kew-2626257,A,Meliaceae,,Aglaia,,"cuspidata",,"","C.DC.",Accepted,,M,WCSP (in review),750105,577041-1,"Nova Guinea","8: 426","","1910"
kew-2626262,A,Meliaceae,,Aglaia,,"densisquama",,"","Pannell",Accepted,,M,WCSP (in review),750110,968389-1,"Kew Bull., Addit. Ser.","16: 133","","1992"
kew-2626263,A,Meliaceae,,Aglaia,,"densitricha",,"","Pannell",Accepted,,M,WCSP (in review),750111,968386-1,"Kew Bull., Addit. Ser.","16: 90","","1992"
