ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2675088,A,Melianthaceae,,Bersama,,"abyssinica",,"","Fresen.",Accepted,,M,WCSP (in review),798547,782127-1,"Mus. Senckenberg.","2: 281","","1837"
kew-2675091,A,Melianthaceae,,Bersama,,"abyssinica",subsp.,"paullinioides","(Planch.) Verdc.",Accepted,,L,WCSP (in review),798550,,"Kew Bull.","5: 237","","1950"
kew-2675092,A,Melianthaceae,,Bersama,,"abyssinica",subsp.,"rosea","(Hoyle) Mikkelsen",Accepted,,L,WCSP (in review),798551,,"Pl. Syst. Evol.","227: 176","","2001"
kew-2675120,A,Melianthaceae,,Bersama,,"lucens",,"","(Hochst.) Szyszyl.",Accepted,,M,WCSP (in review),798579,782136-1,"Polypet. Discifl. Rehman.","2: 50","","1888"
kew-2675133,A,Melianthaceae,,Bersama,,"palustris",,"","L.Touss.",Accepted,,M,WCSP (in review),798592,580013-1,"Bull. Jard. Bot. État","29: 71","","1959"
kew-2675140,A,Melianthaceae,,Bersama,,"stayneri",,"","Phillips",Accepted,,M,WCSP (in review),798599,580018-1,"Bothalia","1: 37","","1921"
kew-2675143,A,Melianthaceae,,Bersama,,"swinnyi",,"","Phillips",Accepted,,M,WCSP (in review),798602,580021-1,"Bothalia","1: 36","","1921"
kew-2675144,A,Melianthaceae,,Bersama,,"swynnertonii",,"","Baker f.",Accepted,,M,WCSP (in review),798603,580022-1,"J. Bot.","45: 14","","1907"
kew-2675147,A,Melianthaceae,,Bersama,,"tysoniana",,"","Oliv.",Accepted,,M,WCSP (in review),798606,782141-1,"Hooker's Icon. Pl.","23: t. 2267","","1894"
kew-2814017,A,Melianthaceae,,Francoa,,"appendiculata",,"","Cav.",Accepted,,M,WCSP (in review),933327,791180-1,"Anales Ci. Nat.","4: 237","","1801"
kew-2814022,A,Melianthaceae,,Francoa,,"ramosa",,"","D.Don",Accepted,,M,WCSP (in review),933332,791183-1,"Edinburgh New Philos. J.","Oct.-Dec.: 52","","1828"
kew-2814024,A,Melianthaceae,,Francoa,,"sonchifolia",,"","Cav.",Accepted,,M,WCSP (in review),933334,791185-1,"Icon.","6: 77","","1801"
kew-2833516,A,Melianthaceae,,Greyia,,"flanaganii",,"","Bolus",Accepted,,M,WCSP (in review),952722,783194-1,"Hooker's Icon. Pl.","24: t. 2349","","1894"
kew-2833517,A,Melianthaceae,,Greyia,,"radlkoferi",,"","Szyszyl.",Accepted,,M,WCSP (in review),952723,783196-1,"Polypet. Discifl. Rehman.","2: 49","","1888"
kew-2833518,A,Melianthaceae,,Greyia,,"sutherlandii",,"","Hook. & Harv.",Accepted,,M,WCSP (in review),952724,783197-1,"Proc. Dublin Univ. Zool. Bot. Assoc.","1: 138","","1859"
