ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2610359,A,Menispermaceae,,Abuta,,"acutifolia",,"","Miers",Accepted,,M,WCSP (in review),734230,580032-1,"Ann. Mag. Nat. Hist.","III, 14: 259","","1864"
kew-2610361,A,Menispermaceae,,Abuta,,"antioquiana",,"","Krukoff & Barneby",Accepted,,M,WCSP (in review),734232,131-2,"Mem. New York Bot. Gard.","20(2): 24","","1970"
kew-2610362,A,Menispermaceae,,Abuta,,"aristeguietae",,"","Kurkoff & Barneby",Accepted,,M,WCSP (in review),734233,,"Mem. New York Bot. Gard.","20(2): 21","","1970"
kew-2610363,A,Menispermaceae,,Abuta,,"barbata",,"","Miers",Accepted,,M,WCSP (in review),734234,580036-1,"Ann. Mag. Nat. Hist.","III, 14: 258","","1864"
kew-2610365,A,Menispermaceae,,Abuta,,"brevifolia",,"","Krukoff & Moldenke",Accepted,,M,WCSP (in review),734236,134-2,"Bull. Torrey Bot. Club","69: 160","","1942"
kew-2610367,A,Menispermaceae,,Abuta,,"bullata",,"","Moldenke",Accepted,,M,WCSP (in review),734238,136-2,"Brittonia","3: 52","","1938"
kew-2610369,A,Menispermaceae,,Abuta,,"candollei",,"","Triana & Planch.",Accepted,,M,WCSP (in review),734240,580043-1,"Ann. Sci. Nat., Bot.","IV, 17: 47","","1862"
kew-2610370,A,Menispermaceae,,Abuta,,"chiapasensis",,"","Krukoff & Barneby",Accepted,,M,WCSP (in review),734241,139-2,"Mem. New York Bot. Gard.","20(2): 23","","1970"
kew-2610371,A,Menispermaceae,,Abuta,,"chocoensis",,"","Krukoff & Barneby",Accepted,,M,WCSP (in review),734242,140-2,"Phytologia","50: 96","","1982"
kew-2610372,A,Menispermaceae,,Abuta,,"colombiana",,"","Moldenke",Accepted,,M,WCSP (in review),734243,580045-1,"Brittonia","3: 58","","1938"
kew-2610377,A,Menispermaceae,,Abuta,,"dwyeriana",,"","Krukoff & Barneby",Accepted,,M,WCSP (in review),734248,143-2,"Mem. New York Bot. Gard.","20(2): 73","","1970"
kew-2610379,A,Menispermaceae,,Abuta,,"fluminum",,"","Krukoff & Barneby",Accepted,,M,WCSP (in review),734250,145-2,"Phytologia","25: 38","","1972"
kew-2610381,A,Menispermaceae,,Abuta,,"grandifolia",,"","(Mart.) Sandwith",Accepted,,M,WCSP (in review),734252,147-2,"Bull. Misc. Inform. Kew","1937: 37","","1937"
kew-2610382,A,Menispermaceae,,Abuta,,"grisebachii",,"","Triana & Planch.",Accepted,,M,WCSP (in review),734253,580056-1,"Ann. Sci. Nat., Bot.","IV, 17: 47","","1862"
kew-2610385,A,Menispermaceae,,Abuta,,"imene",,"","(Mart.) Eichler",Accepted,,M,WCSP (in review),734256,580059-1,"Flora","47: 389","","1864"
kew-2610388,A,Menispermaceae,,Abuta,,"longa",,"","Krukoff & Barneby",Accepted,,M,WCSP (in review),734259,149-2,"Mem. New York Bot. Gard.","20(2): 21","","1970"
kew-2610392,A,Menispermaceae,,Abuta,,"mycetandra",,"","Krukoff & Barneby",Accepted,,M,WCSP (in review),734263,152-2,"Mem. New York Bot. Gard.","22(2): 45","","1971"
kew-2610396,A,Menispermaceae,,Abuta,,"obovata",,"","Diels",Accepted,,M,WCSP (in review),734267,154-2,"Notizbl. Bot. Gart. Berlin-Dahlem","13: 299","","1936"
kew-2610397,A,Menispermaceae,,Abuta,,"pahni",,"","(Mart.) Krukoff & Barneby",Accepted,,M,WCSP (in review),734268,155-2,"Mem. New York Bot. Gard.","22(2): 43","","1971"
kew-2610398,A,Menispermaceae,,Abuta,,"panamensis",,"","(Standl.) Krukoff & Barneby",Accepted,,M,WCSP (in review),734269,156-2,"Mem. New York Bot. Gard.","20(2): 22","","1970"
kew-2610399,A,Menispermaceae,,Abuta,,"panurensis",,"","Eichler",Accepted,,M,WCSP (in review),734270,580073-1,"Flora","47: 390","","1864"
kew-2610401,A,Menispermaceae,,Abuta,,"platyphylla",,"","Mart. ex Eichler",Accepted,,M,WCSP (in review),734272,580075-1,"Fl. Bras.","13(1): 200","","1864"
kew-2610403,A,Menispermaceae,,Abuta,,"racemosa",,"","Triana & Planch.",Accepted,,M,WCSP (in review),734274,580077-1,"Ann. Sci. Nat., Bot.","IV, 17: 48","","1862"
kew-2610404,A,Menispermaceae,,Abuta,,"rufescens",,"","Aubl.",Accepted,,M,WCSP (in review),734275,580080-1,"Hist. Pl. Guiane","1: 618","","1775"
kew-2610407,A,Menispermaceae,,Abuta,,"sandwithiana",,"","Krukoff & Barneby",Accepted,,M,WCSP (in review),734278,580081-1,"Mem. New York Bot. Gard.","20(2): 18","","1970"
tro-50061225,A,Menispermaceae,,Abuta,,"schomburgkii",,"","Barneby & Krukoff",Accepted,,M,TRO,50061225,,"Mem. New York Bot. Gard.","22(2): 80","80","1971"
kew-2610409,A,Menispermaceae,,Abuta,,"seemannii",,"","Triana & Planch.",Accepted,,M,WCSP (in review),734280,580083-1,"Ann. Sci. Nat., Bot.","IV, 17: 50","","1862"
kew-2610410,A,Menispermaceae,,Abuta,,"selloana",,"","Eichler",Accepted,,M,WCSP (in review),734281,315597-2,"Flora","47: 389","","1864"
kew-2610411,A,Menispermaceae,,Abuta,,"solimoesensis",,"","Krukoff & Barneby",Accepted,,M,WCSP (in review),734282,159-2,"Mem. New York Bot. Gard.","20(2): 18, 73","","1970"
kew-2610412,A,Menispermaceae,,Abuta,,"soukupii",,"","Moldenke",Accepted,,M,WCSP (in review),734283,160-2,"Bull. Torrey Bot. Club","74: 380","","1947"
kew-2610413,A,Menispermaceae,,Abuta,,"spicata",,"","(Thunb.) Triana & Planch.",Accepted,,M,WCSP (in review),734284,580087-1,"Ann. Sci. Nat., Bot.","IV, 17: 42","","1862"
kew-2610415,A,Menispermaceae,,Abuta,,"steyermarkii",,"","(Standl.) Standl.",Accepted,,M,WCSP (in review),734286,162-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","23: 156","","1944"
kew-2610422,A,Menispermaceae,,Abuta,,"vaupesensis",,"","Krukoff & Barneby",Accepted,,M,WCSP (in review),734293,164-2,"Mem. New York Bot. Gard.","20(2): 19","","1970"
kew-2610423,A,Menispermaceae,,Abuta,,"velutina",,"","Gleason",Accepted,,M,WCSP (in review),734294,165-2,"Bull. Torrey Bot. Club","58: 361","","1931"
kew-2627185,A,Menispermaceae,,Albertisia,,"apiculata",,"","(Troupin) Forman",Accepted,,M,WCSP (in review),751011,580102-1,"Kew Bull.","30: 83","","1975"
kew-2627186,A,Menispermaceae,,Albertisia,,"capituliflora",,"","(Diels) Forman",Accepted,,L,WCSP (in review),751012,580103-1,"Kew Bull.","30: 83","","1975"
kew-2627187,A,Menispermaceae,,Albertisia,,"cordifolia",,"","(Mangenot & Miege) Forman",Accepted,,M,WCSP (in review),751013,580104-1,"Kew Bull.","30: 83","","1975"
kew-2627188,A,Menispermaceae,,Albertisia,,"crassa",,"","Forman",Accepted,,M,WCSP (in review),751014,580105-1,"Kew Bull.","30: 85","","1975"
kew-2627189,A,Menispermaceae,,Albertisia,,"cuneata",,"","(Keay) Forman",Accepted,,M,WCSP (in review),751015,580106-1,"Kew Bull.","30: 83","","1975"
kew-2627190,A,Menispermaceae,,Albertisia,,"delagoensis",,"","(N.E.Br.) Forman",Accepted,,M,WCSP (in review),751016,580107-1,"Kew Bull.","30: 83","","1975"
kew-2627191,A,Menispermaceae,,Albertisia,,"exelliana",,"","(Troupin) Forman",Accepted,,M,WCSP (in review),751017,580108-1,"Kew Bull.","30: 83","","1975"
kew-2627192,A,Menispermaceae,,Albertisia,,"ferruginea",,"","(Diels) Forman",Accepted,,M,WCSP (in review),751018,580109-1,"Kew Bull.","30: 83","","1975"
kew-2627193,A,Menispermaceae,,Albertisia,,"glabra",,"","(Diels ex Troupin) Forman",Accepted,,M,WCSP (in review),751019,580110-1,"Kew Bull.","30: 83","","1975"
kew-2627194,A,Menispermaceae,,Albertisia,,"laurifolia",,"","Yamam.",Accepted,,M,WCSP (in review),751020,580111-1,"Enum. Menisp. Hainan","70","","1942"
kew-2627195,A,Menispermaceae,,Albertisia,,"mangenotii",,"","(Guillaumin & Debray) Forman",Accepted,,M,WCSP (in review),751021,580112-1,"Kew Bull.","30: 688","","1975 publ. 1976"
kew-2627196,A,Menispermaceae,,Albertisia,,"mecistophylla",,"","(Miers) Forman",Accepted,,M,WCSP (in review),751022,580113-1,"Kew Bull.","30: 84","","1975"
kew-2627197,A,Menispermaceae,,Albertisia,,"megacarpa",,"","Diels ex Forman",Accepted,,M,WCSP (in review),751023,580114-1,"Kew Bull.","30: 85","","1975"
kew-2627198,A,Menispermaceae,,Albertisia,,"papuana",,"","Becc.",Accepted,,M,WCSP (in review),751024,580115-1,"Malesia","1: 162","","1877"
kew-2627202,A,Menispermaceae,,Albertisia,,"porcata",,"","Breteler",Accepted,,M,WCSP (in review),751028,958278-1,"Bull. Jard. Bot. Natl. Belg.","60: 405","","1990"
kew-2627203,A,Menispermaceae,,Albertisia,,"puberula",,"","Forman",Accepted,,M,WCSP (in review),751029,939080-1,"Kew Bull.","45: 100","","1990"
kew-2627204,A,Menispermaceae,,Albertisia,,"scandens",,"","(Mangenot & Miege) Forman",Accepted,,M,WCSP (in review),751030,580117-1,"Kew Bull.","30: 83","","1975"
kew-2627205,A,Menispermaceae,,Albertisia,,"triplinervis",,"","Forman",Accepted,,M,WCSP (in review),751031,994568-1,"Checklist Fl. Pl. Gymn. Brunei","439","","1996 publ. 1997"
kew-2627206,A,Menispermaceae,,Albertisia,,"undulata",,"","(Hiern) Forman",Accepted,,M,WCSP (in review),751032,580118-1,"Kew Bull.","30: 83","","1975"
kew-2627207,A,Menispermaceae,,Albertisia,,"villosa",,"","(Exell) Forman",Accepted,,L,WCSP (in review),751033,580119-1,"Kew Bull.","30: 84","","1975"
kew-2636192,A,Menispermaceae,,Anamirta,,"cocculus",,"","(L.) Wight & Arn.",Accepted,,L,WCSP (in review),759988,580121-1,"Prodr. Fl. Ind. Orient.","1: 446","","1834"
kew-2640174,A,Menispermaceae,,Anisocycla,,"blepharosepala",,"","Diels",Accepted,,M,WCSP (in review),763860,580150-1,"Pflanzenr.","IV, 94: 93","","1910"
kew-2640177,A,Menispermaceae,,Anisocycla,,"cymosa",,"","Troupin",Accepted,,M,WCSP (in review),763863,580152-1,"Bull. Jard. Bot. État","19: 416","","1949"
kew-2640179,A,Menispermaceae,,Anisocycla,,"grandidieri",,"","Baill.",Accepted,,M,WCSP (in review),763865,580154-1,"Hist. Phys. Madagascar","49A","","1886"
