ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-50123538,A,Menyanthaceae,,Limnanthemum,,"senegalense",,"","(G. Don) N.E. Br.",Accepted,,M,TRO,50123538,369857-1,"Fl. Trop. Afr.","4(1): 586","586","1904"
tro-100357066,A,Menyanthaceae,,Liparophyllum,,"capitatum",,"","(Nees) Tippery & Les",Accepted,,M,TRO,100357066,77105257-1,"Novon","19(3): 408","408","2009"
tro-100357067,A,Menyanthaceae,,Liparophyllum,,"congestiflorum",,"","(F. Mueller) Tippery & Les",Accepted,,M,TRO,100357067,77105258-1,"Novon","19(3): 408","408","2009"
tro-100357068,A,Menyanthaceae,,Liparophyllum,,"exaltatum",,"","(Sol. ex Sims) Tippery & Les",Accepted,,M,TRO,100357068,77105259-1,"Novon","19(3): 408","408","2009"
tro-100357070,A,Menyanthaceae,,Liparophyllum,,"exiguum",,"","(F. Muell.) Tippery & Les",Accepted,,M,TRO,100357070,77105260-1,"Novon","19(3): 408","408","2009"
tro-100357071,A,Menyanthaceae,,Liparophyllum,,"lasiospermum",,"","(F. Mueller) Tippery & Les",Accepted,,M,TRO,100357071,77105261-1,"Novon","19(3): 408","408","2009"
tro-100357072,A,Menyanthaceae,,Liparophyllum,,"latifolium",,"","(Benth.) Tippery & Les",Accepted,,M,TRO,100357072,77105262-1,"Novon","19(3): 409","409","2009"
tro-100357073,A,Menyanthaceae,,Liparophyllum,,"violifolium",,"","(F. Muell.) Tippery & Les",Accepted,,M,TRO,100357073,77105263-1,"Novon","19(3): 409","409","2009"
tro-20800053,A,Menyanthaceae,,Menyanthes,,"trifoliata",,"","L.",Accepted,,M,TRO,20800053,370147-1,"Sp. Pl.","1: 145","145","1753"
tro-20801011,A,Menyanthaceae,,Nephrophyllidium,,"crista-galli",,"","(Menzies ex Hook.) Gilg",Accepted,,M,TRO,20801011,169585-2,"Nat. Pflanzenfam.","4(2): 106","106","1895"
tro-20800567,A,Menyanthaceae,,Nymphoides,,"aquatica",,"","(J.F. Gmel.) Kuntze",Accepted,,M,TRO,20800567,171236-2,"Revis. Gen. Pl.","2: 429","429","1891"
tro-20801224,A,Menyanthaceae,,Nymphoides,,"aquaticum",,"","Kuntze",Accepted,,M,TRO,20801224,,"","","",""
tro-20803181,A,Menyanthaceae,,Nymphoides,,"aurantiaca",,"","(Dalzell) Kuntze",Accepted,,M,TRO,20803181,370189-1,"Revis. Gen. Pl.","2: 429","429","1891"
kew-2385129,A,Menyanthaceae,,Nymphoides,,"brevipedicellata",,"","(Vatke) A.Raynal",Accepted,,M,WCSP (in review),514482,581697-1,"Mitt. Bot. Staatssamml. München","10: 125","","1971"
tro-20801223,A,Menyanthaceae,,Nymphoides,,"cordata",,"","(Elliott) Fernald",Accepted,,M,TRO,20801223,171238-2,"Rhodora","40(477): 338","338","1938"
tro-20800131,A,Menyanthaceae,,Nymphoides,,"coreana",,"","(H. Lév.) H. Hara",Accepted,,M,TRO,20800131,370213-1,"J. Jap. Bot.","13(1): 26","26","1937"
tro-50326744,A,Menyanthaceae,,Nymphoides,,"crenata",,"","(F. Muell.) Kuntze",Accepted,,M,TRO,50326744,370190-1,"Revis. Gen. Pl.","2: 429","429","1891"
tro-20800133,A,Menyanthaceae,,Nymphoides,,"cristata",,"","(Roxb.) Kuntze",Accepted,,M,TRO,20800133,370191-1,"Revis. Gen. Pl.","2: 429","429","1891"
tro-50326745,A,Menyanthaceae,,Nymphoides,,"eckloniana",,"","(Griseb.) Kuntze",Accepted,,M,TRO,50326745,370192-1,"Revis. Gen. Pl.","2: 429","429","1891"
tro-20801969,A,Menyanthaceae,,Nymphoides,,"elegans",,"","A. Raynal",Accepted,,M,TRO,20801969,581698-1,"Mitt. Bot. Staatssamml. München","10: 126","126","1971"
tro-50326747,A,Menyanthaceae,,Nymphoides,,"exiliflora",,"","(F. Muell.) Kuntze",Accepted,,M,TRO,50326747,370194-1,"Revis. Gen. Pl.","2: 429","429","1891"
kew-2385073,A,Menyanthaceae,,Nymphoides,,"fallax",,"","Ornduff",Accepted,,M,WCSP (in review),514426,171240-2,"Brittonia","21: 348","","1970"
kew-2385079,A,Menyanthaceae,,Nymphoides,,"forbesiana",,"","(Griseb.) Kuntze",Accepted,,M,WCSP (in review),514432,370195-1,"Revis. Gen. Pl.","2: 429","","1891"
tro-50326748,A,Menyanthaceae,,Nymphoides,,"geminata",,"","(R. Br.) Kuntze",Accepted,,M,TRO,50326748,370196-1,"Revis. Gen. Pl.","2: 429","429","1891"
