ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2621760,A,Molluginaceae,,Adenogramma,,"asparagoides",,"","Adamson",Accepted,,M,WCSP (in review),745623,360450-1,"J. S. African Bot.","21: 88","","1955"
kew-2621761,A,Molluginaceae,,Adenogramma,,"capillaris",,"","(Eckl. & Zeyh.) Druce",Accepted,,M,WCSP (in review),745624,676165-1,"Rep. Bot. Soc. Exch. Club Brit. Isles","4: 603","","1916 publ. 1917"
kew-2621762,A,Molluginaceae,,Adenogramma,,"congesta",,"","Adamson",Accepted,,M,WCSP (in review),745625,360451-1,"J. S. African Bot.","21: 91","","1955"
kew-2621766,A,Molluginaceae,,Adenogramma,,"glomerata",,"","(L.f.) Druce",Accepted,,M,WCSP (in review),745629,676167-1,"Rep. Bot. Soc. Exch. Club Brit. Isles","4: 603","","1916 publ. 1917"
kew-2621768,A,Molluginaceae,,Adenogramma,,"lichtensteiniana",,"","(Schult.) Druce",Accepted,,M,WCSP (in review),745631,676168-1,"Rep. Bot. Soc. Exch. Club Brit. Isles","4: 603","","1916 publ. 1917"
kew-2621769,A,Molluginaceae,,Adenogramma,,"littoralis",,"","Adamson",Accepted,,M,WCSP (in review),745632,360455-1,"J. S. African Bot.","21: 92","","1955"
kew-2621770,A,Molluginaceae,,Adenogramma,,"mollugo",,"","Rchb.",Accepted,,M,WCSP (in review),745633,360456-1,"Iconogr. Bot. Exot.","2: 3","","1828"
kew-2621772,A,Molluginaceae,,Adenogramma,,"physocalyx",,"","Fenzl",Accepted,,M,WCSP (in review),745635,360458-1,"Ann. Wiener Mus. Naturgesch.","2: 276","","1840"
kew-2621773,A,Molluginaceae,,Adenogramma,,"rigida",,"","(Bartl.) Sond.",Accepted,,M,WCSP (in review),745636,360459-1,"Fl. Cap.","4(1): 149","","1905"
kew-2621774,A,Molluginaceae,,Adenogramma,,"sylvatica",,"","(Eckl. & Zeyh.) Fenzl",Accepted,,M,WCSP (in review),745637,360460-1,"Ann. Wiener Mus. Naturgesch.","2: 275, 255","","1840"
kew-2621775,A,Molluginaceae,,Adenogramma,,"teretifolia",,"","(Thunb.) Adamson",Accepted,,M,WCSP (in review),745638,57115-1,"J. S. African Bot.","23: 13","","1957"
