ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2666706,A,Monimiaceae,,Austromatthaea,,"elegans",,"","L.B.Sm.",Accepted,,M,WCSP (in review),790331,581766-1,"Contr. Queensland Herb.","6: 6","","1969"
kew-2701140,A,Monimiaceae,,Carnegieodoxa,,"eximia",,"","(Perkins) G.Perkins",Accepted,,M,WCSP (in review),824223,581775-1,"Nat. Pflanzenfam.","Nachtr. 4: 94","","1914"
kew-2758680,A,Monimiaceae,,Decarydendron,,"helenae",,"","Danguy",Accepted,,M,WCSP (in review),880077,581863-1,"Bull. Mus. Natl. Hist. Nat.","34: 279","","1928"
kew-2758682,A,Monimiaceae,,Decarydendron,,"lamii",,"","Cavaco",Accepted,,M,WCSP (in review),880079,581864-1,"Blumea, Suppl.","4: 28","","1958"
kew-2758683,A,Monimiaceae,,Decarydendron,,"perrieri",,"","Cavaco",Accepted,,M,WCSP (in review),880080,581865-1,"Bull. Soc. Bot. France","105: 38","","1958"
kew-2758684,A,Monimiaceae,,Decarydendron,,"ranomafanensis",,"","Lorence & Razafim.",Accepted,,M,WCSP (in review),880081,20006702-1,"Adansonia","III, 24: 108","","2002"
kew-2789893,A,Monimiaceae,,Ephippiandra,,"domatiata",,"","Lorence",Accepted,,L,WCSP (in review),909499,907764-1,"Ann. Missouri Bot. Gard.","72: 85","","1985"
kew-2789894,A,Monimiaceae,,Ephippiandra,,"madagascariensis",,"","(Danguy) Lorence",Accepted,,L,WCSP (in review),909500,914990-1,"Ann. Missouri Bot. Gard.","72: 85","","1985"
kew-2789895,A,Monimiaceae,,Ephippiandra,,"masoalensis",,"","Lorence",Accepted,,M,WCSP (in review),909501,1008491-1,"Adansonia","III, 21: 134","","1999"
kew-2789896,A,Monimiaceae,,Ephippiandra,,"microphylla",,"","(Perkins) Cavaco",Accepted,,M,WCSP (in review),909502,581872-1,"Kew Bull.","12: 228","","1957"
kew-2789897,A,Monimiaceae,,Ephippiandra,,"myrtoidea",,"","Decne.",Accepted,,M,WCSP (in review),909503,581873-1,"Ann. Sci. Nat., Bot.","IV, 9: 278","","1858"
kew-2789898,A,Monimiaceae,,Ephippiandra,,"perrieri",,"","(Cavaco) Lorence",Accepted,,L,WCSP (in review),909504,914991-1,"Ann. Missouri Bot. Gard.","72: 86","","1985"
kew-2789899,A,Monimiaceae,,Ephippiandra,,"tsaratanensis",,"","(Cavaco) Lorence",Accepted,,L,WCSP (in review),909505,914992-1,"Ann. Missouri Bot. Gard.","72: 84","","1985"
kew-2807569,A,Monimiaceae,,Faika,,"villosa",,"","(Kaneh. & Hatus.) Philipson",Accepted,,L,WCSP (in review),927007,915019-1,"Blumea","30: 420","","1985"
kew-2607260,A,Monimiaceae,,Grazielanthus,,"arkeocarpus",,"","Peixoto & Per.-Moura",Accepted,,M,WCSP (in review),731744,77090348-1,"Kew Bull.","63: 138","","2008"
kew-2840812,A,Monimiaceae,,Hedycarya,,"arborea",,"","J.R.Forst. & G.Forst.",Accepted,,M,WCSP (in review),959925,581882-1,"Char. Gen. Pl.","64","","1775"
kew-2840827,A,Monimiaceae,,Hedycarya,,"dorstenioides",,"","A.Gray",Accepted,,M,WCSP (in review),959940,581895-1,"J. Bot.","4: 83","","1866"
kew-2845684,A,Monimiaceae,,Hennecartia,,"omphalandra",,"","Poiss.",Accepted,,M,WCSP (in review),964787,581922-1,"Bull. Soc. Bot. France","32: 41","","1885"
tro-50324248,A,Monimiaceae,,Kibara,,"coriacea",,"","(Blume) Hook. f. & A. Thomps.",Accepted,,L,TRO,50324248,,"Fl. Ind.","1(2): 166","166","1855"
tro-50324241,A,Monimiaceae,,Kibara,,"macrophylla",,"","(A. Cunn.) Benth.",Accepted,,M,TRO,50324241,581960-1,"Fl. Austral.","5: 288","288","1870"
tro-21200353,A,Monimiaceae,,Kibaropsis,,"caledonica",,"","(Guillaumin) J. Jeremie",Accepted,,M,TRO,21200353,581991-1,"Adansonia","17(1): 80","80","1977"
tro-50220196,A,Monimiaceae,,Macropeplus,,"dentatus",,"","(Perkins) I. Santos & Peixoto",Accepted,,M,TRO,50220196,70027834-1,"Rodriguésia","52(81): 86","86","2001"
kew-2501525,A,Monimiaceae,,Macropeplus,,"friburgensis",,"","(Perkins) I.Santos & Peixoto",Accepted,,M,WCSP (in review),629077,70027835-1,"Rodriguésia","52(81): 91","","2001"
tro-21200014,A,Monimiaceae,,Macropeplus,,"ligustrinus",,"","(Tul.) Perkins",Accepted,,M,TRO,21200014,149037-2,"Bot. Jahrb. Syst.","25: 558","558","1898"
kew-2501523,A,Monimiaceae,,Macropeplus,,"schwackeanus",,"","(Perkins) I.Santos & Peixoto",Accepted,,M,WCSP (in review),629075,70027837-1,"Rodriguésia","52(81): 97","","2001"
tro-21200019,A,Monimiaceae,,Mollinedia,,"argyrogyna",,"","Perkins",Accepted,,M,TRO,21200019,582038-1,"Bot. Jahrb. Syst.","27(5): 661-662","661","1900"
