ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2724993,A,Montiaceae,,Claytonia,,"acutifolia",,"","Pall. ex Schult.",Accepted,,M,WCSP (in review),847042,,"Syst. Veg.","5: 436","","1819"
kew-2725007,A,Montiaceae,,Claytonia,,"arctica",,"","Adam",Accepted,,M,WCSP (in review),847056,323283-2,"Mém. Soc. Imp. Naturalistes Moscou","5: 94","","1817"
kew-2725040,A,Montiaceae,,Claytonia,,"caroliniana",,"","Michx.",Accepted,,M,WCSP (in review),847089,59887-2,"Fl. Bor.-Amer.","1: 160","","1803"
kew-2725045,A,Montiaceae,,Claytonia,,"caroliniana",var.,"lewisii","McNeill",Accepted,,L,WCSP (in review),847094,59892-2,"Canad. J. Bot.","53: 801","","1975"
kew-2725068,A,Montiaceae,,Claytonia,,"cordifolia",,"","S.Watson",Accepted,,M,WCSP (in review),847117,59912-2,"Proc. Amer. Acad. Arts","17: 365","","1882"
kew-2725092,A,Montiaceae,,Claytonia,,"eschscholtzii",,"","Cham.",Accepted,,M,WCSP (in review),847141,698693-1,"Linnaea","6: 561","","1831"
kew-2725093,A,Montiaceae,,Claytonia,,"exigua",,"","Torr. & A.Gray",Accepted,,M,WCSP (in review),847142,59932-2,"Fl. N. Amer.","1: 200","","1838"
tro-26200738,A,Montiaceae,,Claytonia,,"exigua",subsp.,"exigua","",Accepted,,L,TRO,26200738,,"","","",""
kew-2725094,A,Montiaceae,,Claytonia,,"exigua",subsp.,"glauca","(Torr. & A.Gray) J.M.Mill. & K.L.Chambers",Accepted,,L,WCSP (in review),847143,1141027-2,"Novon","3: 272","","1993"
kew-2725117,A,Montiaceae,,Claytonia,,"gypsophiloides",,"","Fisch. & C.A.Mey.",Accepted,,M,WCSP (in review),847166,698716-1,"Index Seminum (LE)","2: 33","","1836"
kew-2725125,A,Montiaceae,,Claytonia,,"joanneana",,"","Schult.",Accepted,,M,WCSP (in review),847174,698723-1,"Syst. Veg.","5: 434","","1819"
kew-2725127,A,Montiaceae,,Claytonia,,"lanceolata",,"","Pursh",Accepted,,M,WCSP (in review),847176,59958-2,"Fl. Amer. Sept.","1: 175","","1813"
kew-2725131,A,Montiaceae,,Claytonia,,"lanceolata",var.,"chrysantha","(Greene) Hitchc.",Accepted,,L,WCSP (in review),847180,59961-2,"Vasc. Pl. Pacific Northw.","2: 229","","1964"
