ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2642230,A,Moraceae,,Antiaris,,"toxicaria",,"","Lesch.",Accepted,,M,WCSP (in review),765916,850341-1,"Ann. Mus. Hist. Nat.","16: 478","","1810"
kew-2642232,A,Moraceae,,Antiaris,,"toxicaria",subsp.,"africana","(Engl.) C.C.Berg",Accepted,,L,WCSP (in review),765918,,"Bull. Jard. Bot. Natl. Belg.","47: 310","","1977"
kew-2642233,A,Moraceae,,Antiaris,,"toxicaria",subsp.,"humbertii","(Leandri) C.C.Berg",Accepted,,L,WCSP (in review),765919,,"Bull. Jard. Bot. Natl. Belg.","47: 321","","1977"
kew-2642235,A,Moraceae,,Antiaris,,"toxicaria",subsp.,"macrophylla","(R.Br.) C.C.Berg",Accepted,,L,WCSP (in review),765921,,"Bull. Jard. Bot. Natl. Belg.","47: 309","","1977"
kew-2642236,A,Moraceae,,Antiaris,,"toxicaria",subsp.,"madagascariensis","(H.Perrier) C.C.Berg",Accepted,,L,WCSP (in review),765922,,"Bull. Jard. Bot. Natl. Belg.","47: 318","","1977"
kew-2642237,A,Moraceae,,Antiaris,,"toxicaria",var.,"usambarensis","(Engl.) C.C.Berg",Accepted,,L,WCSP (in review),765923,,"Bull. Jard. Bot. Natl. Belg.","47: 318","","1977"
kew-2642239,A,Moraceae,,Antiaris,,"toxicaria",subsp.,"welwitschii","(Engl.) C.C.Berg",Accepted,,L,WCSP (in review),765925,,"Bull. Jard. Bot. Natl. Belg.","48: 466","","1978"
kew-2642245,A,Moraceae,,Antiaropsis,,"decipiens",,"","K.Schum.",Accepted,,M,WCSP (in review),765931,850346-1,"Fl. Kais. Wilh. Land","40","","1889"
kew-2642247,A,Moraceae,,Antiaropsis,,"uniflora",,"","C.C.Berg",Accepted,,M,WCSP (in review),765933,77069523-1,"Blumea","50: 539","","2005"
kew-2653918,A,Moraceae,,Artocarpus,,"albobrunneus",,"","C.C.Berg",Accepted,,M,WCSP (in review),777583,77069524-1,"Blumea","50: 541","","2005"
kew-2653919,A,Moraceae,,Artocarpus,,"altilis",,"","(Parkinson ex F.A.Zorn) Fosberg",Accepted,,L,WCSP (in review),777584,582598-1,"J. Wash. Acad. Sci.","31: 95","","1941"
kew-2653922,A,Moraceae,,Artocarpus,,"altissimus",,"","(Miq.) J.J.Sm.",Accepted,,L,WCSP (in review),777587,582600-1,"Icon. Bogor.","3: 233","","1907"
kew-2653923,A,Moraceae,,Artocarpus,,"anisophyllus",,"","Miq.",Accepted,,M,WCSP (in review),777588,850354-1,"Fl. Ned. Ind., Eerste Bijv.","422","","1861"
kew-2653925,A,Moraceae,,Artocarpus,,"annulatus",,"","F.M.Jarrett",Accepted,,M,WCSP (in review),777590,582601-1,"Blumea","22: 409","","1975"
kew-2653928,A,Moraceae,,Artocarpus,,"avatifolius",,"","Merr.",Accepted,,M,WCSP (in review),777593,,"Philipp. J. Sci., C","9: 268","","1914"
kew-2653933,A,Moraceae,,Artocarpus,,"blancoi",,"","(Elmer) Merr.",Accepted,,M,WCSP (in review),777598,582604-1,"Enum. Philipp. Fl. Pl.","2: 40","","1923"
kew-2653938,A,Moraceae,,Artocarpus,,"brevipedunculatus",,"","(F.M.Jarrett) C.C.Berg",Accepted,,M,WCSP (in review),777603,77069526-1,"Blumea","50: 541","","2005"
kew-2653942,A,Moraceae,,Artocarpus,,"camansi",,"","Blanco",Accepted,,M,WCSP (in review),777607,850363-1,"Fl. Filip.","670","","1837"
kew-2653948,A,Moraceae,,Artocarpus,,"chaplasha",,"","Roxb.",Accepted,,M,WCSP (in review),777613,,"Fl. Ind. ed. 1832","3: 525","","1832"
kew-2653953,A,Moraceae,,Artocarpus,,"corneri",,"","Kochummen",Accepted,,M,WCSP (in review),777618,1006543-1,"Gard. Bull. Singapore","50: 197","","1998"
kew-2653957,A,Moraceae,,Artocarpus,,"dadah",,"","Miq.",Accepted,,M,WCSP (in review),777622,850373-1,"Fl. Ned. Ind., Eerste Bijv.","420","","1861"
kew-2653963,A,Moraceae,,Artocarpus,,"elasticus",,"","Reinw. ex Blume",Accepted,,M,WCSP (in review),777628,,"Bijdr.","481","","1825"
kew-2653967,A,Moraceae,,Artocarpus,,"excelsus",,"","F.M.Jarrett",Accepted,,M,WCSP (in review),777632,582613-1,"Blumea","22: 409","","1975"
kew-2653972,A,Moraceae,,Artocarpus,,"fretessii",,"","Teijsm. & Binn. ex Hassk.",Accepted,,M,WCSP (in review),777637,,"Abh. Naturf. Ges. Halle","9: 189","","1866"
kew-2653974,A,Moraceae,,Artocarpus,,"fulvicortex",,"","F.M.Jarrett",Accepted,,M,WCSP (in review),777639,582617-1,"J. Arnold Arbor.","41: 116","","1960"
kew-2653976,A,Moraceae,,Artocarpus,,"glaucus",,"","Blume",Accepted,,M,WCSP (in review),777641,850386-1,"Bijdr.","483","","1825"
kew-2653977,A,Moraceae,,Artocarpus,,"gomezianus",,"","Wall. ex Trécul",Accepted,,M,WCSP (in review),777642,850388-1,"Ann. Sci. Nat., Bot.","III, 8: 118","","1847"
kew-2653980,A,Moraceae,,Artocarpus,,"gongshanensis",,"","S.K.Wu ex C.Y.Wu & S.S.Chang",Accepted,,M,WCSP (in review),777645,936875-1,"Acta Bot. Yunnan.","11: 29","","1989"
kew-2653982,A,Moraceae,,Artocarpus,,"heterophyllus",,"","Lam.",Accepted,,M,WCSP (in review),777647,850389-1,"Encycl.","3: 29","","1789"
kew-2653984,A,Moraceae,,Artocarpus,,"hirsutus",,"","Lam.",Accepted,,M,WCSP (in review),777649,850390-1,"Encycl.","3: 211","","1789"
kew-2653985,A,Moraceae,,Artocarpus,,"hispidus",,"","F.M.Jarrett",Accepted,,M,WCSP (in review),777650,582619-1,"J. Arnold Arbor.","40: 149","","1959"
kew-2653986,A,Moraceae,,Artocarpus,,"horridus",,"","F.M.Jarrett",Accepted,,M,WCSP (in review),777651,582620-1,"J. Arnold Arbor.","40: 306","","1959"
kew-2653988,A,Moraceae,,Artocarpus,,"hypargyreus",,"","Hance ex Benth.",Accepted,,M,WCSP (in review),777653,850393-1,"Fl. Hongk.","325","","1861"
kew-2653995,A,Moraceae,,Artocarpus,,"integer",,"","(Thunb.) Merr.",Accepted,,L,WCSP (in review),777660,,"Interpr. Herb. Amboin.","190","","1917"
kew-2654000,A,Moraceae,,Artocarpus,,"jarrettiae",,"","Kochummen",Accepted,,M,WCSP (in review),777665,1006544-1,"Gard. Bull. Singapore","50: 198","","1998"
kew-2654001,A,Moraceae,,Artocarpus,,"kemando",,"","Miq.",Accepted,,M,WCSP (in review),777666,850399-1,"Fl. Ned. Ind., Eerste Bijv.","418","","1861"
kew-2654007,A,Moraceae,,Artocarpus,,"lakoocha",,"","Roxb.",Accepted,,M,WCSP (in review),777672,850405-1,"Fl. Ind. ed. 1832","3: 524","","1832"
kew-2654010,A,Moraceae,,Artocarpus,,"lanceifolius",,"","Roxb.",Accepted,,M,WCSP (in review),777675,,"Fl. Ind. ed. 1832","3: 527","","1832"
kew-2654017,A,Moraceae,,Artocarpus,,"longifolius",,"","Becc.",Accepted,,M,WCSP (in review),777682,850410-1,"Nelle Forest. Borneo","629","","1902"
kew-2654019,A,Moraceae,,Artocarpus,,"lowii",,"","King",Accepted,,M,WCSP (in review),777684,850411-1,"Fl. Brit. India","5: 542","","1888"
