ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-243303,A,Musaceae,,Ensete,,"glaucum",,"","(Roxb.) Cheesman",Accepted,,H,WCSP,243303,584796-1,"Kew Bull.","2: 101","","1947 publ. 1948"
kew-243305,A,Musaceae,,Ensete,,"homblei",,"","(Bequaert ex De Wild.) Cheesman",Accepted,,H,WCSP,243305,584798-1,"Kew Bull.","2: 103","","1947 publ. 1948"
kew-243306,A,Musaceae,,Ensete,,"lasiocarpum",,"","(Franch.) Cheesman",Accepted,,H,WCSP,243306,584799-1,"Kew Bull.","2: 102","","1947 publ. 1948"
kew-243308,A,Musaceae,,Ensete,,"livingstonianum",,"","(J.Kirk) Cheesman",Accepted,,H,WCSP,243308,584801-1,"Kew Bull.","2: 101","","1947 publ. 1948"
kew-243309,A,Musaceae,,Ensete,,"perrieri",,"","(Claverie) Cheesman",Accepted,,H,WCSP,243309,584802-1,"Kew Bull.","2: 103","","1947 publ. 1948"
kew-243315,A,Musaceae,,Ensete,,"superbum",,"","(Roxb.) Cheesman",Accepted,,H,WCSP,243315,584808-1,"Kew Bull.","2: 100","","1947 publ. 1948"
kew-243317,A,Musaceae,,Ensete,,"ventricosum",,"","(Welw.) Cheesman",Accepted,,H,WCSP,243317,584810-1,"Kew Bull.","2: 101","","1947 publ. 1948"
kew-243319,A,Musaceae,,Ensete,,"wilsonii",,"","(Tutcher) Cheesman",Accepted,,H,WCSP,243319,584811-1,"Kew Bull.","2: 103","","1947 publ. 1948"
kew-254739,A,Musaceae,,Musa,,"acuminata",,"","Colla",Accepted,,H,WCSP,254739,,"Mem. Reale Accad. Sci. Torino","25: 394","","1820"
kew-254740,A,Musaceae,,Musa,,"acuminata",subsp.,"acuminata","",Accepted,,L,WCSP,254740,,"Unknown","","",""
kew-254742,A,Musaceae,,Musa,,"acuminata",subsp.,"burmanica","N.W.Simmonds",Accepted,,L,WCSP,254742,,"Kew Bull.","11: 468","","1956 publ. 1957"
kew-254743,A,Musaceae,,Musa,,"acuminata",subsp.,"errans","(Blanco) R.V.Valmayor",Accepted,,L,WCSP,254743,1132100-2,"Philipp. Agric. Sci.","84: 328","","2001"
kew-370983,A,Musaceae,,Musa,,"acuminata",subsp.,"halabanensis","(Meijer) M.Hotta",Accepted,,L,WCSP,370983,,"Occas. Pap. Kagoshima Univ. Res. Center S. Pacific","16: 67","","1989"
kew-254744,A,Musaceae,,Musa,,"acuminata",subsp.,"malaccensis","(Ridl.) N.W.Simmonds",Accepted,,L,WCSP,254744,,"Kew Bull.","11: 466","","1956 publ. 1957"
kew-254745,A,Musaceae,,Musa,,"acuminata",subsp.,"microcarpa","(Becc.) N.W.Simmonds",Accepted,,L,WCSP,254745,,"Kew Bull.","11: 467","","1956 publ. 1957"
kew-371381,A,Musaceae,,Musa,,"acuminata",var.,"sumatrana","(Becc.) Nasution",Accepted,,L,WCSP,371381,77091218-1,"Mem. Tokyo Univ. Agric.","32: 80","","1991"
kew-371382,A,Musaceae,,Musa,,"acuminata",var.,"tomentosa","(Warb. ex K.Schum.) Nasution",Accepted,,L,WCSP,371382,77091210-1,"Mem. Tokyo Univ. Agric.","32: 82","","1991"
kew-254747,A,Musaceae,,Musa,,"acuminata",subsp.,"truncata","(Ridl.) Kiew",Accepted,,L,WCSP,254747,20003402-1,"Ann. Bot. (U.K.)","88: 1025","","2001"
kew-254750,A,Musaceae,,Musa,×,"alinsanaya",,"","R.V.Valmayor",Accepted,,H,WCSP,254750,327929-2,"Philipp. Agric. Sci.","87: 117","","2004"
kew-254758,A,Musaceae,,Musa,,"aurantiaca",,"","G.Mann ex Baker",Accepted,,H,WCSP,254758,797533-1,"Ann. Bot. (Oxford)","7: 222","","1893"
kew-335567,A,Musaceae,,Musa,,"azizii",,"","Häkkinen",Accepted,,H,WCSP,335567,77067075-1,"Acta Phytotax. Geobot.","56: 29","","2005"
kew-254761,A,Musaceae,,Musa,,"bakeri",,"","Hook.f.",Accepted,,H,WCSP,254761,797535-1,"Bot. Mag.","124: t. 7627","","1898"
kew-254762,A,Musaceae,,Musa,,"balbisiana",,"","Colla",Accepted,,H,WCSP,254762,,"Mem. Reale Accad. Sci. Torino","25: 384","","1820"
