ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-332413,A,Myodocarpaceae,,Delarbrea,,"balansae",,"","(Baill.) Lowry & G.M.Plunkett",Accepted,,H,WCSP,332413,60437576-2,"Adansonia","III, 26: 254","","2004"
kew-56903,A,Myodocarpaceae,,Delarbrea,,"collina",,"","Vieill.",Accepted,,H,WCSP,56903,90197-1,"Bull. Soc. Linn. Normandie","9: 342","","1865"
kew-56904,A,Myodocarpaceae,,Delarbrea,,"harmsii",,"","R.Vig.",Accepted,,H,WCSP,56904,90199-1,"J. Bot. (Morot)","II, 3: 52","","1925"
kew-56906,A,Myodocarpaceae,,Delarbrea,,"longicarpa",,"","R.Vig.",Accepted,,H,WCSP,56906,90201-1,"J. Bot. (Morot)","II, 3: 53","","1925"
kew-56907,A,Myodocarpaceae,,Delarbrea,,"michieana",,"","(F.Muell.) F.Muell.",Accepted,,H,WCSP,56907,107010-3,"Syst. Census Austral. Pl.","2: 105","","1889"
kew-56908,A,Myodocarpaceae,,Delarbrea,,"montana",,"","R.Vig.",Accepted,,H,WCSP,56908,90203-1,"J. Bot. (Morot)","II, 3: 53","","1925"
kew-56909,A,Myodocarpaceae,,Delarbrea,,"montana",subsp.,"arborea","(R.Vig.) Lowry",Accepted,,L,WCSP,56909,952768-1,"Allertonia","4: 196","","1986"
kew-56912,A,Myodocarpaceae,,Delarbrea,,"paradoxa",,"","Vieill.",Accepted,,H,WCSP,56912,90205-1,"Bull. Soc. Linn. Normandie","9: 343","","1865"
kew-56916,A,Myodocarpaceae,,Delarbrea,,"paradoxa",subsp.,"paradoxa","",Accepted,,L,WCSP,56916,,"Unknown","","",""
kew-130753,A,Myodocarpaceae,,Myodocarpus,,"crassifolius",,"","Dubard & R.Vig.",Accepted,,H,WCSP,130753,91054-1,"Agric. Prat. Pays Chauds","3: 711","","1904"
kew-130757,A,Myodocarpaceae,,Myodocarpus,,"fraxinifolius",,"","Brongn. & Gris",Accepted,,H,WCSP,130757,91057-1,"Bull. Soc. Bot. France","12: 270","","1865"
kew-130762,A,Myodocarpaceae,,Myodocarpus,,"gracilis",,"","(Dubard & R.Vig.) Lowry",Accepted,,H,WCSP,130762,60427048-2,"World Checklist Bibliogr. Araliaceae","221","","2003 publ. 2004"
kew-130763,A,Myodocarpaceae,,Myodocarpus,,"involucratus",,"","Dubard & R.Vig.",Accepted,,H,WCSP,130763,91059-1,"Agric. Prat. Pays Chauds","3: 714","","1904"
kew-130765,A,Myodocarpaceae,,Myodocarpus,,"lanceolatus",,"","Dubard & R.Vig. ex Guillaumin",Accepted,,H,WCSP,130765,,"Bull. Mus. Natl. Hist. Nat.","25: 271","","1919"
kew-130767,A,Myodocarpaceae,,Myodocarpus,,"pinnatus",,"","Brongn. & Gris",Accepted,,H,WCSP,130767,91062-1,"Bull. Soc. Bot. France","8: 123","","1861"
kew-130768,A,Myodocarpaceae,,Myodocarpus,,"simplicifolius",,"","Brongn. & Gris",Accepted,,H,WCSP,130768,91063-1,"Bull. Soc. Bot. France","8: 123","","1861"
kew-130769,A,Myodocarpaceae,,Myodocarpus,,"vieillardii",,"","Brongn. & Gris",Accepted,,H,WCSP,130769,91064-1,"Bull. Soc. Bot. France","12: 270","","1865"
