ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2695726,A,Myricaceae,,Canacomyrica,,"monticola",,"","Guillaumin",Accepted,,M,WCSP (in review),818848,585446-1,"Bull. Soc. Bot. France","87: 300","","1941"
kew-2733828,A,Myricaceae,,Comptonia,,"peregrina",,"","(L.) Coult.",Accepted,,M,WCSP (in review),855852,64014-2,"Mem. Torrey Bot. Club","5: 127","","1894"
tro-100352188,A,Myricaceae,,Morella,,"adenophora",,"","(Hance) J.Herb.",Accepted,,M,TRO,100352188,60439342-2,"Novon","15(2): 293-294","293","2005"
tro-50148086,A,Myricaceae,,Morella,,"brevifolia",,"","(E. Mey. ex C. DC.) Killick",Accepted,,M,TRO,50148086,1004890-1,"Kew Bull.","53: 994","994","1998"
tro-50201383,A,Myricaceae,,Morella,,"chevalieri",,"","Parra-O.",Accepted,,M,TRO,50201383,320979-2,"Brittonia","52(4): 321-323, f. 1","321","2000"
tro-50148087,A,Myricaceae,,Morella,,"cordifolia",,"","(L.) Killick",Accepted,,M,TRO,50148087,1004891-1,"Kew Bull.","53: 994","994","1998"
tro-50148082,A,Myricaceae,,Morella,,"diversifolia",,"","(Adamson) Killick",Accepted,,M,TRO,50148082,1004888-1,"Kew Bull.","53: 994","994","1998"
tro-50149233,A,Myricaceae,,Morella,,"faya",,"","(Aiton) Wilbur",Accepted,,M,TRO,50149233,979228-1,"Sida","16(1): 103","103","1994"
kew-2501817,A,Myricaceae,,Morella,,"funckii",,"","(A.Chev.) Parra-Os.",Accepted,,M,WCSP (in review),629369,1035923-2,"Brittonia","54: 324","","2002 publ. 2003"
tro-50189605,A,Myricaceae,,Morella,,"holdridgeana",,"","(Lundell) Wilbur",Accepted,,M,TRO,50189605,1020738-1,"Rhodora","103(913): 121","121","2001"
