ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2675757,A,Myristicaceae,,Bicuiba,,"oleifera",,"","(Schott) J.J.de Wilde",Accepted,,M,WCSP (in review),799210,1010820-2,"Beitr. Biol. Pflanzen","66: 121","","1991"
kew-2683465,A,Myristicaceae,,Brochoneura,,"acuminata",,"","(Lam.) Warb.",Accepted,,M,WCSP (in review),806801,585632-1,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","68: 237","","1897"
kew-2683466,A,Myristicaceae,,Brochoneura,,"chapelieri",,"","(Baill.) H.Perrier",Accepted,,M,WCSP (in review),806802,585633-1,"Rev. Int. Bot. Appl. Agric. Trop.","29: 409","","1949"
kew-2683467,A,Myristicaceae,,Brochoneura,,"dardainii",,"","Heckel",Accepted,,M,WCSP (in review),806803,585634-1,"Ann. Inst. Bot.-Géol. Colon. Marseille","II, 6: 271","","1908"
kew-2683469,A,Myristicaceae,,Brochoneura,,"humblotii",,"","H.Perrier",Accepted,,M,WCSP (in review),806805,585636-1,"Rev. Int. Bot. Appl. Agric. Trop.","29: 410","","1949"
kew-2683472,A,Myristicaceae,,Brochoneura,,"rarabe",,"","H.Perrier",Accepted,,M,WCSP (in review),806808,585638-1,"Rev. Int. Bot. Appl. Agric. Trop.","29: 411","","1949"
kew-2709727,A,Myristicaceae,,Cephalosphaera,,"usambarensis",,"","(Warb.) Warb.",Accepted,,M,WCSP (in review),832046,585640-1,"Bot. Jahrb. Syst.","33: 383","","1903"
kew-2730243,A,Myristicaceae,,Coelocaryon,,"botryoides",,"","Vermoesen",Accepted,,M,WCSP (in review),852274,585641-1,"Man. Ess. Forest. Congo","59","","1923"
kew-2730247,A,Myristicaceae,,Coelocaryon,,"oxycarpum",,"","Stapf",Accepted,,M,WCSP (in review),852278,585645-1,"Bull. Misc. Inform. Kew","1909: 188","","1909"
kew-2730248,A,Myristicaceae,,Coelocaryon,,"preussii",,"","Warb.",Accepted,,M,WCSP (in review),852279,585646-1,"Ber. Deutsch. Bot. Ges.","13: 85","","1895"
kew-2730249,A,Myristicaceae,,Coelocaryon,,"sphaerocarpum",,"","Fouilloy",Accepted,,M,WCSP (in review),852280,585647-1,"Adansonia","n.s., 12: 548","","1972 publ. 1973"
kew-2733793,A,Myristicaceae,,Compsoneura,,"anoriensis",,"","Janovec & A.K.Neill",Accepted,,M,WCSP (in review),855817,326808-2,"Brittonia","54: 254","","2002 publ. 2003"
kew-2733794,A,Myristicaceae,,Compsoneura,,"atopa",,"","(A.C.Sm.) A.C.Sm.",Accepted,,M,WCSP (in review),855818,64003-2,"Amer. J. Bot.","43: 573","","1956"
kew-2733795,A,Myristicaceae,,Compsoneura,,"capitellata",,"","(A.DC.) Warb.",Accepted,,M,WCSP (in review),855819,64004-2,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","68: 146","","1897"
kew-2733796,A,Myristicaceae,,Compsoneura,,"claroensis",,"","Janovec & A.K.Neill",Accepted,,M,WCSP (in review),855820,326809-2,"Brittonia","54: 257","","2002 publ. 2003"
kew-2733798,A,Myristicaceae,,Compsoneura,,"cuatrecasasii",,"","A.C.Sm.",Accepted,,M,WCSP (in review),855822,64006-2,"Contr. U. S. Natl. Herb.","29: 318","","1950"
kew-2733799,A,Myristicaceae,,Compsoneura,,"debilis",,"","(Spruce ex A.DC.) Warb.",Accepted,,M,WCSP (in review),855823,585653-1,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","68: 144","","1897"
kew-2733800,A,Myristicaceae,,Compsoneura,,"diazii",,"","Janovec",Accepted,,M,WCSP (in review),855824,324842-2,"Novon","12: 366","","2002"
kew-2733801,A,Myristicaceae,,Compsoneura,,"excelsa",,"","A.C.Sm.",Accepted,,M,WCSP (in review),855825,64007-2,"Brittonia","2: 413","","1938"
kew-2733802,A,Myristicaceae,,Compsoneura,,"lapidiflora",,"","T.S.Jaram. & Balslev",Accepted,,M,WCSP (in review),855826,323791-2,"Nordic J. Bot.","21: 561","","2001 publ. 2002"
kew-2733803,A,Myristicaceae,,Compsoneura,,"mexicana",,"","(Hemsl.) Janovec",Accepted,,M,WCSP (in review),855827,1085435-2,"Syst. Bot.","27: 668","","2002"
kew-2733804,A,Myristicaceae,,Compsoneura,,"mutisii",,"","A.C.Sm.",Accepted,,M,WCSP (in review),855828,64008-2,"Brittonia","2: 415","","1938"
kew-2733805,A,Myristicaceae,,Compsoneura,,"racemosa",,"","Ducke",Accepted,,M,WCSP (in review),855829,64009-2,"Notizbl. Bot. Gart. Berlin-Dahlem","11: 582","","1932"
kew-2733806,A,Myristicaceae,,Compsoneura,,"rigidifolia",,"","W.A.Rodrigues",Accepted,,M,WCSP (in review),855830,274848-2,"Brittonia","41: 160","","1989"
kew-2733807,A,Myristicaceae,,Compsoneura,,"schultesiana",,"","W.A.Rodrigues",Accepted,,M,WCSP (in review),855831,274849-2,"Brittonia","41: 161","","1989"
kew-2733808,A,Myristicaceae,,Compsoneura,,"sprucei",,"","(A.DC.) Warb.",Accepted,,M,WCSP (in review),855832,64010-2,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","68: 143","","1897"
