ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-1638,A,Myrtaceae,,Acca,,"lanuginosa",,"","(Ruiz & Pav. ex G.Don) McVaugh",Accepted,,H,WCSP,1638,1731-2,"Taxon","5: 136","","1956"
kew-1639,A,Myrtaceae,,Acca,,"macrostema",,"","(Ruiz & Pav. ex G.Don) McVaugh",Accepted,,H,WCSP,1639,1732-2,"Taxon","5: 136","","1956"
kew-1641,A,Myrtaceae,,Acca,,"sellowiana",,"","(O.Berg) Burret",Accepted,,H,WCSP,1641,1733-2,"Repert. Spec. Nov. Regni Veg.","50: 59","","1941"
kew-1645,A,Myrtaceae,,Accara,,"elegans",,"","(DC.) Landrum",Accepted,,H,WCSP,1645,271507-2,"Syst. Bot.","15: 221","","1990"
kew-2734,A,Myrtaceae,,Actinodium,,"cunninghamii",,"","Schauer ex Lindl.",Accepted,,H,WCSP,2734,590556-1,"Intr. Nat. Syst. Bot.","ed. 2: 440","","1836"
kew-372117,A,Myrtaceae,,Agonis,,"baxteri",,"","(Benth.) J.R.Wheeler & N.G.Marchant",Accepted,,H,WCSP,372117,77091389-1,"Nuytsia","16: 398","","2007"
kew-4777,A,Myrtaceae,,Agonis,,"flexuosa",,"","(Muhl. ex Willd.) Sweet",Accepted,,H,WCSP,4777,907823-1,"Hort. Brit.","ed. 2: 209","","1830"
kew-351136,A,Myrtaceae,,Agonis,,"flexuosa",var.,"flexuosa","",Accepted,,L,WCSP,351136,,"Unknown","","",""
kew-4779,A,Myrtaceae,,Agonis,,"flexuosa",var.,"latifolia","(Otto & A.Dietr.) Schauer",Accepted,,L,WCSP,4779,94761-3,"Pl. Preiss.","1: 117","","1845"
kew-4783,A,Myrtaceae,,Agonis,,"grandiflora",,"","Benth.",Accepted,,H,WCSP,4783,590570-1,"Fl. Austral.","3: 100","","1867"
kew-4798,A,Myrtaceae,,Agonis,,"theiformis",,"","Schauer",Accepted,,H,WCSP,4798,590583-1,"Pl. Preiss.","2: 223","","1848"
kew-4799,A,Myrtaceae,,Agonis,,"undulata",,"","Benth.",Accepted,,H,WCSP,4799,590584-1,"Fl. Austral.","3: 100","","1867"
kew-343511,A,Myrtaceae,,Algrizea,,"macrochlamys",,"","(DC.) Proença & NicLugh.",Accepted,,H,WCSP,343511,77073445-1,"Syst. Bot.","31: 321","","2006"
kew-6227,A,Myrtaceae,,Allosyncarpia,,"ternata",,"","S.T.Blake",Accepted,,H,WCSP,6227,590599-1,"Austrobaileya","1: 44","","1977"
kew-7174,A,Myrtaceae,,Aluta,,"appressa",,"","(C.R.P.Andrews) Rye & Trudgen",Accepted,,H,WCSP,7174,1015600-1,"Nuytsia","13: 351","","2000"
kew-7175,A,Myrtaceae,,Aluta,,"aspera",,"","(E.Pritz.) Rye & Trudgen",Accepted,,H,WCSP,7175,1015601-1,"Nuytsia","13: 352","","2000"
kew-7179,A,Myrtaceae,,Aluta,,"maisonneuvei",,"","(F.Muell.) Rye & Trudgen",Accepted,,H,WCSP,7179,1015604-1,"Nuytsia","13: 358","","2000"
kew-7180,A,Myrtaceae,,Aluta,,"maisonneuvei",subsp.,"auriculata","(F.Muell.) Rye & Trudgen",Accepted,,L,WCSP,7180,,"Nuytsia","13: 360","","2000"
kew-7182,A,Myrtaceae,,Aluta,,"quadrata",,"","Rye & Trudgen",Accepted,,H,WCSP,7182,1015606-1,"Nuytsia","13: 361","","2000"
kew-7183,A,Myrtaceae,,Aluta,,"teres",,"","Rye & Trudgen",Accepted,,H,WCSP,7183,1015607-1,"Nuytsia","13: 364","","2000"
kew-8040,A,Myrtaceae,,Amomyrtella,,"guilii",,"","(Speg.) Kausel",Accepted,,H,WCSP,8040,11396-2,"Ark. Bot.","a.s., 3: 515","","1956"
kew-8042,A,Myrtaceae,,Amomyrtus,,"luma",,"","(Molina) D.Legrand & Kausel",Accepted,,H,WCSP,8042,11397-2,"Lilloa","13: 146","","1947"
kew-8043,A,Myrtaceae,,Amomyrtus,,"meli",,"","(Phil.) D.Legrand & Kausel",Accepted,,H,WCSP,8043,11398-2,"Lilloa","13: 146","","1947"
