ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-294676,A,Nartheciaceae,,Aletris,,"alpestris",,"","Diels",Accepted,,H,WCSP,294676,429519-1,"Bot. Jahrb. Syst.","36(82): 20","","1905"
kew-294679,A,Nartheciaceae,,Aletris,,"aurea",,"","Walter",Accepted,,H,WCSP,294679,429522-1,"Fl. Carol.","121","","1788"
kew-294683,A,Nartheciaceae,,Aletris,,"bracteata",,"","Northr.",Accepted,,H,WCSP,294683,8311-2,"Mem. Torrey Bot. Club","12: 27","","1902"
kew-294685,A,Nartheciaceae,,Aletris,,"capitata",,"","F.T.Wang & Tang",Accepted,,H,WCSP,294685,527488-1,"in Fl. Reipubl. Popul. Sin.","15: 254","","1978"
kew-294687,A,Nartheciaceae,,Aletris,,"cinerascens",,"","F.T.Wang & Tang",Accepted,,H,WCSP,294687,527489-1,"in Fl. Reipubl. Popul. Sin.","15: 254","","1978"
kew-294692,A,Nartheciaceae,,Aletris,,"farinosa",,"","L.",Accepted,,H,WCSP,294692,319064-2,"Sp. Pl.","319","","1753"
kew-294695,A,Nartheciaceae,,Aletris,,"foliata",,"","(Maxim.) Makino & Nemoto",Accepted,,H,WCSP,294695,527495-1,"Fl. Japan","ed. 2: 1534","","1931"
kew-294696,A,Nartheciaceae,,Aletris,,"foliolosa",,"","Stapf",Accepted,,H,WCSP,294696,429535-1,"Trans. Linn. Soc. London, Bot.","4: 240","","1894"
kew-294697,A,Nartheciaceae,,Aletris,,"foliosa",,"","(Maxim.) Bureau & Franch.",Accepted,,H,WCSP,294697,429536-1,"J. Bot. (Morot)","5: 156","","1891"
kew-294700,A,Nartheciaceae,,Aletris,,"glabra",,"","Bureau & Franch.",Accepted,,H,WCSP,294700,429538-1,"J. Bot. (Morot)","5: 156","","1891"
kew-294701,A,Nartheciaceae,,Aletris,,"glandulifera",,"","Bureau & Franch.",Accepted,,H,WCSP,294701,429539-1,"J. Bot. (Morot)","5: 156","","1891"
kew-294704,A,Nartheciaceae,,Aletris,,"gracilis",,"","Rendle",Accepted,,H,WCSP,294704,527498-1,"J. Bot.","44: 41","","1906"
kew-294712,A,Nartheciaceae,,Aletris,,"laxiflora",,"","Bureau & Franch.",Accepted,,H,WCSP,294712,429549-1,"J. Bot. (Morot)","5: 155","","1891"
kew-294717,A,Nartheciaceae,,Aletris,,"lutea",,"","Small",Accepted,,H,WCSP,294717,8312-2,"Bull. New York Bot. Gard.","1: 278","","1899"
kew-294721,A,Nartheciaceae,,Aletris,,"megalantha",,"","F.T.Wang & Tang",Accepted,,H,WCSP,294721,527502-1,"Acta Phytotax. Sin.","1: 119","","1951"
kew-294722,A,Nartheciaceae,,Aletris,,"nana",,"","S.C.Chen",Accepted,,H,WCSP,294722,896877-1,"Acta Phytotax. Sin.","19: 503","","1981"
kew-294724,A,Nartheciaceae,,Aletris,,"obovata",,"","Nash",Accepted,,H,WCSP,294724,429555-1,"Torreya","3: 102","","1903"
kew-294725,A,Nartheciaceae,,Aletris,,"pauciflora",,"","(Klotzsch) Hand.-Mazz.",Accepted,,H,WCSP,294725,527503-1,"Symb. Sin.","7: 1220","","1936"
kew-294726,A,Nartheciaceae,,Aletris,,"pauciflora",var.,"khasiana","(Hook.f.) F.T.Wang & Tang",Accepted,,L,WCSP,294726,886103-1,"in Fl. Reipubl. Popul. Sin.","15: 172","","1978"
kew-311144,A,Nartheciaceae,,Aletris,,"pauciflora",var.,"pauciflora","",Accepted,,L,WCSP,311144,,"Unknown","","",""
