ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2610183,A,Nyctaginaceae,,Abronia,×,"alba",,"","Eastw.",Accepted,,M,WCSP (in review),734054,51-2,"Proc. Calif. Acad. Sci.","III, 1: 97","","1898"
kew-2610185,A,Nyctaginaceae,,Abronia,,"alpina",,"","Brandegee",Accepted,,M,WCSP (in review),734056,53-2,"Bot. Gaz.","27: 456","","1899"
kew-2610186,A,Nyctaginaceae,,Abronia,,"ameliae",,"","Lundell",Accepted,,M,WCSP (in review),734057,54-2,"Wrightia","1: 54","","1945"
kew-2610187,A,Nyctaginaceae,,Abronia,,"ammophila",,"","Greene",Accepted,,M,WCSP (in review),734058,292697-2,"Pittonia","4: 22","","1900"
kew-2610189,A,Nyctaginaceae,,Abronia,,"angustifolia",,"","Greene",Accepted,,M,WCSP (in review),734060,56-2,"Pittonia","3: 34","","1897"
kew-2610193,A,Nyctaginaceae,,Abronia,,"argillosa",,"","S.L.Welsh & Goodrich",Accepted,,M,WCSP (in review),734064,58-2,"Great Basin Naturalist","40: 78","","1880"
kew-2610197,A,Nyctaginaceae,,Abronia,,"bigelovii",,"","Heimerl",Accepted,,M,WCSP (in review),734068,62-2,"Smithsonian Misc. Collect.","52: 197","","1909"
kew-2610198,A,Nyctaginaceae,,Abronia,,"bolackii",,"","N.D.Atwood, S.L.Welsh & K.D.Heil",Accepted,,M,WCSP (in review),734069,323857-2,"Novon","12: 167","","2002"
kew-2610202,A,Nyctaginaceae,,Abronia,,"carnea",,"","Greene",Accepted,,M,WCSP (in review),734073,65-2,"Pittonia","3: 343","","1898"
kew-2610203,A,Nyctaginaceae,,Abronia,,"carnea",var.,"wootonii","(Standl.) Govaerts",Accepted,,L,WCSP (in review),734074,1007790-2,"World Checklist Seed Pl.","1(1): 6","","1995"
kew-2610207,A,Nyctaginaceae,,Abronia,,"crux-maltae",,"","Kellogg",Accepted,,M,WCSP (in review),734078,68-2,"Proc. Calif. Acad. Sci.","2: 16","","1863"
kew-2610209,A,Nyctaginaceae,,Abronia,,"elliptica",,"","A.Nelson",Accepted,,M,WCSP (in review),734080,326890-2,"Bull. Torrey Bot. Club","26: 7","","1899"
kew-2610213,A,Nyctaginaceae,,Abronia,,"fragrans",,"","Nutt. ex Hook.",Accepted,,M,WCSP (in review),734084,326889-2,"Hooker's J. Bot. Kew Gard. Misc.","5: 261","","1853"
kew-2610222,A,Nyctaginaceae,,Abronia,,"gracilis",,"","Benth.",Accepted,,M,WCSP (in review),734093,603987-1,"Bot. Voy. Sulphur","44","","1844"
kew-2610226,A,Nyctaginaceae,,Abronia,,"latifolia",,"","Eschsch.",Accepted,,M,WCSP (in review),734097,326895-2,"Mém. Acad. Imp. Sci. St. Pétersbourg Hist. Acad.","5: 281","","1826"
kew-2610229,A,Nyctaginaceae,,Abronia,,"macrocarpa",,"","L.A.Galloway",Accepted,,M,WCSP (in review),734100,84-2,"Brittonia","24: 148","","1972"
kew-2610230,A,Nyctaginaceae,,Abronia,,"maritima",,"","Nutt. ex S.Watson",Accepted,,M,WCSP (in review),734101,326891-2,"Bot. California","2: 44","","1880"
kew-2610232,A,Nyctaginaceae,,Abronia,,"mellifera",,"","Douglas ex Hook.",Accepted,,M,WCSP (in review),734103,88-2,"Bot. Mag.","56: t. 2879","","1829"
