ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2669761,A,Nymphaeaceae,,Barclaya,,"longifolia",,"","Wall.",Accepted,,M,WCSP (in review),793262,605259-1,"Trans. Linn. Soc. London","15: 442","","1827"
kew-2669762,A,Nymphaeaceae,,Barclaya,,"motleyi",,"","Hook.f.",Accepted,,L,WCSP (in review),793263,605260-1,"Trans. Linn. Soc. London","23: 157","","1862"
tro-50085337,A,Nymphaeaceae,,Castalia,,"reniformis",,"","(Walter) Nash",Accepted,,M,TRO,50085337,605323-1,"Bull. Torrey Bot. Club","22(4): 147","147","1895"
kew-2805127,A,Nymphaeaceae,,Euryale,,"ferox",,"","Salisb.",Accepted,,M,WCSP (in review),924565,605350-1,"Ann. Bot. (König & Sims)","2: 74","","1805"
tro-22600158,A,Nymphaeaceae,,Nuphar,,"advena",,"","R. Br.",Accepted,,M,TRO,22600158,,"","","",""
tro-50041939,A,Nymphaeaceae,,Nuphar,,"advena",var.,"erthryaeum","(G.S. Mill. & Standl.) Standl.",Accepted,,L,TRO,50041939,,"Publ. Field Columbian Mus., Bot. Ser.","8(5): 310","310","1931"
tro-50227443,A,Nymphaeaceae,,Nuphar,,"advena",subsp.,"orbiculata","(Small) Padgett",Accepted,,L,TRO,50227443,1084887-2,"Sida","18(3): 824","824","1999"
tro-50318744,A,Nymphaeaceae,,Nuphar,,"advena",subsp.,"ozarkana","(G.S. Mill. & Standl.) Padgett",Accepted,,L,TRO,50318744,1140140-2,"Sida","18(3): 825","825","1999"
tro-50214905,A,Nymphaeaceae,,Nuphar,,"advena",subsp.,"ulvacea","(G.S. Mill. & Standl.) Padgett",Accepted,,L,TRO,50214905,1135045-2,"Sida","18(3): 825","825","1999"
tro-50041950,A,Nymphaeaceae,,Nuphar,,"bombycina",,"","(G.S. Mill. & Standl.) Standl.",Accepted,,M,TRO,50041950,171069-2,"Publ. Field Columbian Mus., Bot. Ser.","8(5): 311","311","1931"
tro-50041944,A,Nymphaeaceae,,Nuphar,,"chartacea",,"","(G.S. Mill. & Standl.) Standl.",Accepted,,M,TRO,50041944,171070-2,"Publ. Field Columbian Mus., Bot. Ser.","8(5): 310","310","1931"
tro-22600159,A,Nymphaeaceae,,Nuphar,×,"intermedia",,"","Ledeb.",Accepted,,M,TRO,22600159,605439-1,"","","",""
