ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2621389,A,Ochnaceae,,Adenarake,,"macrocarpa",,"","Sastre",Accepted,,M,WCSP (in review),745252,316455-2,"Novon","8: 301","","1998"
kew-2621390,A,Ochnaceae,,Adenarake,,"muriculata",,"","Maguire & Wurdack",Accepted,,M,WCSP (in review),745253,4245-2,"Mem. New York Bot. Gard.","10(4): 15","","1961"
kew-2677148,A,Ochnaceae,,Blastemanthus,,"gemmiflorus",,"","(Mart.) Planch.",Accepted,,M,WCSP (in review),800517,605802-1,"London J. Bot.","5: 645","","1846"
kew-2873147,A,Ochnaceae,,Blastemanthus,,"gemmiflorus",subsp.,"sprucei","(Tiegh.) Sastre",Accepted,,L,WCSP (in review),580443,,"Mém. Soc. Biogéogr.","IV, 3: 7","","1994"
kew-2677149,A,Ochnaceae,,Blastemanthus,,"grandiflorus",,"","Spruce ex Engl.",Accepted,,M,WCSP (in review),800518,605803-1,"Fl. Bras.","12(2): 355","","1876"
kew-2681737,A,Ochnaceae,,Brackenridgea,,"alboserrata",,"","(Engl.) Tiegh.",Accepted,,L,WCSP (in review),805095,605806-1,"J. Bot. (Morot)","16: 47","","1902"
kew-2681738,A,Ochnaceae,,Brackenridgea,,"arenaria",,"","(De Wild. & T.Durand) N.Robson",Accepted,,M,WCSP (in review),805096,605807-1,"Bol. Soc. Brot.","II, 36: 37","","1962"
kew-2681743,A,Ochnaceae,,Brackenridgea,,"elegantissima",,"","(Wall.) Kanis",Accepted,,M,WCSP (in review),805101,605812-1,"Blumea","16: 50","","1968"
kew-2681744,A,Ochnaceae,,Brackenridgea,,"fascicularis",,"","(Blanco) Fern.-Vill.",Accepted,,M,WCSP (in review),805102,605813-1,"Fl. Filip., ed. 3","4(13A): 40","","1880"
kew-2681745,A,Ochnaceae,,Brackenridgea,,"fascicularis",subsp.,"mindanaensis","(Merr.) Kanis",Accepted,,L,WCSP (in review),805103,,"Blumea","16: 44","","1968"
