ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-360127,A,Oleaceae,,Abeliophyllum,,"distichum",,"","Nakai",Accepted,,H,WCSP,360127,608603-1,"Bot. Mag. (Tokyo)","33: 153","","1919"
kew-367332,A,Oleaceae,,Chionanthus,,"acunae",,"","(Borhidi & O.Muñiz) Borhidi",Accepted,,H,WCSP,367332,56604-2,"Acta Bot. Acad. Sci. Hung.","26: 262","","1980 publ. 1981"
kew-367333,A,Oleaceae,,Chionanthus,,"adamsii",,"","Stearn",Accepted,,H,WCSP,367333,56605-2,"Bot. Not.","132: 58","","1979"
kew-367335,A,Oleaceae,,Chionanthus,,"africanus",,"","(Knobl.) Stearn",Accepted,,H,WCSP,367335,608699-1,"Bot. J. Linn. Soc.","80: 197","","1980"
kew-367336,A,Oleaceae,,Chionanthus,,"albidiflorus",,"","Thwaites",Accepted,,H,WCSP,367336,608700-1,"Enum. Pl. Zeyl.","189","","1860"
kew-367337,A,Oleaceae,,Chionanthus,,"amblirrhinus",,"","P.S.Green",Accepted,,H,WCSP,367337,992380-1,"Kew Bull.","51: 765","","1996"
kew-367340,A,Oleaceae,,Chionanthus,,"avilensis",,"","(Steyerm.) P.S.Green",Accepted,,H,WCSP,367340,977389-1,"Kew Bull.","49: 264","","1994"
kew-367341,A,Oleaceae,,Chionanthus,,"axillaris",,"","R.Br.",Accepted,,H,WCSP,367341,608702-1,"Prodr. Fl. Nov. Holl.","523","","1810"
kew-367343,A,Oleaceae,,Chionanthus,,"axilliflorus",,"","(Griseb.) Stearn",Accepted,,H,WCSP,367343,56606-2,"Ann. Missouri Bot. Gard.","63: 357","","1976 publ. 1977"
kew-372455,A,Oleaceae,,Chionanthus,,"axilliflorus",subsp.,"moncadae","(Borhidi & O.Muñiz) P.A.González",Accepted,,L,WCSP,372455,,"in Fl. Rep. Cuba","Ser. A., 14(2): 15","","2008"
kew-367344,A,Oleaceae,,Chionanthus,,"ayresii",,"","A.J.Scott",Accepted,,H,WCSP,367344,608705-1,"Kew Bull.","33: 570","","1979"
kew-367345,A,Oleaceae,,Chionanthus,,"bakeri",,"","(Urb.) Stearn",Accepted,,H,WCSP,367345,56607-2,"Ann. Missouri Bot. Gard.","63: 357","","1976 publ. 1977"
kew-367346,A,Oleaceae,,Chionanthus,,"balgooyana",,"","Kiew",Accepted,,H,WCSP,367346,20006385-1,"Tree Fl. Sabah & Sarawak","4: 347","","2002"
kew-367347,A,Oleaceae,,Chionanthus,,"battiscombei",,"","(Hutch.) Stearn",Accepted,,H,WCSP,367347,608707-1,"Bot. J. Linn. Soc.","80: 197","","1980"
kew-367348,A,Oleaceae,,Chionanthus,,"beccarii",,"","(Stapf) Kiew",Accepted,,H,WCSP,367348,1004294-1,"Blumea","43: 471","","1998"
kew-367349,A,Oleaceae,,Chionanthus,,"boutonii",,"","A.J.Scott",Accepted,,H,WCSP,367349,608708-1,"Kew Bull.","33: 570","","1979"
kew-367350,A,Oleaceae,,Chionanthus,,"brachystachys",,"","(Schltr.) P.S.Green",Accepted,,H,WCSP,367350,1004165-1,"in Fl. Nouv.-Caléd.","22: 49","","1998"
kew-367351,A,Oleaceae,,Chionanthus,,"brachythyrsus",,"","(Merr.) P.S.Green",Accepted,,H,WCSP,367351,983143-1,"Kew Bull.","50: 326","","1995"
kew-367352,A,Oleaceae,,Chionanthus,,"brassii",,"","(Kobuski) Kiew",Accepted,,H,WCSP,367352,1004295-1,"Blumea","43: 471","","1998"
kew-367353,A,Oleaceae,,Chionanthus,,"broomeanus",,"","(Horne ex Oliv.) A.J.Scott",Accepted,,H,WCSP,367353,608709-1,"Kew Bull.","33: 570","","1979"
kew-371495,A,Oleaceae,,Chionanthus,,"broomeanus",var.,"broomeanus","",Accepted,,L,WCSP,371495,,"Unknown","","",""
kew-367354,A,Oleaceae,,Chionanthus,,"broomeanus",var.,"cordemoyanus","(Knobl.) A.J.Scott",Accepted,,L,WCSP,367354,,"Kew Bull.","33: 570","","1979"
kew-367355,A,Oleaceae,,Chionanthus,,"broomeanus",var.,"cyanocarpus","(Cordem.) A.J.Scott",Accepted,,L,WCSP,367355,,"Kew Bull.","33: 570","","1979"
kew-367356,A,Oleaceae,,Chionanthus,,"bumelioides",,"","(Griseb.) Stearn",Accepted,,H,WCSP,367356,56608-2,"Ann. Missouri Bot. Gard.","63: 357","","1976 publ. 1977"
kew-371496,A,Oleaceae,,Chionanthus,,"bumelioides",subsp.,"bumelioides","",Accepted,,L,WCSP,371496,,"Unknown","","",""
kew-372456,A,Oleaceae,,Chionanthus,,"bumelioides",subsp.,"cubensis","(P.Wilson) P.A.González",Accepted,,L,WCSP,372456,,"in Fl. Rep. Cuba","Ser. A., 14(2): 22","","2008"
kew-367357,A,Oleaceae,,Chionanthus,,"bumelioides",var.,"lanceolatus","(Knobl.) Alain",Accepted,,L,WCSP,367357,,"Phytologia","63: 66","","1987"
kew-367358,A,Oleaceae,,Chionanthus,,"bumelioides",subsp.,"obovalis","(Borhidi & O.Muñiz) Borhidi",Accepted,,L,WCSP,367358,,"Acta Bot. Acad. Sci. Hung.","26: 262","","1980 publ. 1981"
kew-367361,A,Oleaceae,,Chionanthus,,"calcicola",,"","(Kerr) Kiew",Accepted,,H,WCSP,367361,608711-1,"Malaysian Forester","42: 265","","1979"
kew-367362,A,Oleaceae,,Chionanthus,,"callophylloides",,"","Kiew",Accepted,,H,WCSP,367362,20006386-1,"Tree Fl. Sabah & Sarawak","4: 347","","2002"
kew-367363,A,Oleaceae,,Chionanthus,,"callophyllus",,"","Blume",Accepted,,H,WCSP,367363,608712-1,"Mus. Bot.","1: 319","","1851"
kew-367364,A,Oleaceae,,Chionanthus,,"camptoneurus",,"","(Gilg & G.Schellenb.) Stearn",Accepted,,H,WCSP,367364,608713-1,"Bot. J. Linn. Soc.","80: 198","","1980"
kew-367367,A,Oleaceae,,Chionanthus,,"caudifolius",,"","(Ridl.) Kiew",Accepted,,H,WCSP,367367,608715-1,"Malaysian Forester","42: 266","","1979"
kew-367368,A,Oleaceae,,Chionanthus,,"caymanensis",,"","Stearn",Accepted,,H,WCSP,367368,56611-2,"Bot. Not.","132: 58","","1979"
kew-367370,A,Oleaceae,,Chionanthus,,"celebicus",,"","Koord.",Accepted,,H,WCSP,367370,608717-1,"Meded. Lands Plantentuin","19: 637","","1898"
kew-367372,A,Oleaceae,,Chionanthus,,"clementis",,"","(Quisumb. & Merr.) Kiew",Accepted,,H,WCSP,367372,1004296-1,"Blumea","43: 472","","1998"
kew-346399,A,Oleaceae,,Chionanthus,,"colonchensis",,"","Cornejo & Bonifaz",Accepted,,H,WCSP,346399,77076196-1,"Fl. Bosque Garúa","160","","2004"
kew-367373,A,Oleaceae,,Chionanthus,,"compactus",,"","Sw.",Accepted,,H,WCSP,367373,301087-2,"Prodr. Veg. Ind. Occ.","13","","1788"
kew-367375,A,Oleaceae,,Chionanthus,,"cordifolius",,"","Labat, Marc Pignal & O.Pascal",Accepted,,H,WCSP,367375,1006662-1,"Novon","9: 68","","1999"
kew-367376,A,Oleaceae,,Chionanthus,,"cordulatus",,"","Koord.",Accepted,,H,WCSP,367376,608720-1,"Meded. Lands Plantentuin","19: 638","","1898"
kew-367378,A,Oleaceae,,Chionanthus,,"coriaceus",,"","(S.Vidal) Yuen P.Yang & S.Y.Lu",Accepted,,H,WCSP,367378,1009039-1,"in Fl. Taiwan","ed. 2, 4: 129","","1998"
kew-367381,A,Oleaceae,,Chionanthus,,"crassifolius",,"","(Mart.) P.S.Green",Accepted,,H,WCSP,367381,1123350-2,"Kew Bull.","49: 273","","1994"
kew-367382,A,Oleaceae,,Chionanthus,,"crassifolius",var.,"elegans","(Eichler) P.S.Green",Accepted,,L,WCSP,367382,,"Kew Bull.","49: 274","","1994"
kew-367383,A,Oleaceae,,Chionanthus,,"crispus",,"","Kiew",Accepted,,H,WCSP,367383,897362-1,"Malaysian Forester","44: 153","","1981"
