ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2678855,A,Onagraceae,,Boisduvalia,,"cleistogama",,"","Curran",Accepted,,M,WCSP (in review),802224,308112-2,"Bull. Calif. Acad. Sci.","1(1): 12","","1884"
kew-2678857,A,Onagraceae,,Boisduvalia,,"densiflora",,"","(Lindl.) Bartl.",Accepted,,M,WCSP (in review),802226,941511-1,"Index Seminum (GOET)","1837: 2","","1837"
kew-2678867,A,Onagraceae,,Boisduvalia,,"glabella",,"","(Nutt.) Walp.",Accepted,,M,WCSP (in review),802236,611278-1,"Repert. Bot. Syst.","2: 89","","1843"
kew-2678871,A,Onagraceae,,Boisduvalia,,"macrantha",,"","A.Heller",Accepted,,M,WCSP (in review),802240,34263-2,"Muhlenbergia","2: 101","","1905"
kew-2678878,A,Onagraceae,,Boisduvalia,,"stricta",,"","(A.Gray) Greene",Accepted,,L,WCSP (in review),802247,34270-2,"Fl. Francisc.","225","","1891"
kew-2678879,A,Onagraceae,,Boisduvalia,,"subulata",,"","(Ruiz & Pav.) Raim.",Accepted,,M,WCSP (in review),802248,34271-2,"Nat. Pflanzenfam.","3(7): 212","","1893"
tro-50143984,A,Onagraceae,,Brebissonia,,"boeckii",,"","(Ehrenb.) O'Meara",Accepted,,M,TRO,50143984,,"Proc. Roy. Irish Acad.","2: 338","338","1875"
kew-2694112,A,Onagraceae,,Calylophus,,"berlandieri",,"","Spach",Accepted,,M,WCSP (in review),817245,43101-2,"Ann. Sci. Nat., Bot.","II, 4: 272","","1835"
kew-2694117,A,Onagraceae,,Calylophus,,"hartwegii",,"","(Benth.) P.H.Raven",Accepted,,M,WCSP (in review),817250,43105-2,"Brittonia","16: 286","","1964"
kew-2694120,A,Onagraceae,,Calylophus,,"hartwegii",subsp.,"filifolia","(Eastw.) Towner & Raven",Accepted,,L,WCSP (in review),817253,43107-2,"Madroño","20: 243","","1970"
tro-23201552,A,Onagraceae,,Calylophus,,"hartwegii",subsp.,"lavandulifolius","(Torr. & A. Gray) Towner & P.H. Raven",Accepted,,L,TRO,23201552,43109-2,"Madroño","20(5): 243","243","1970"
kew-2694124,A,Onagraceae,,Calylophus,,"hartwegii",subsp.,"maccartii","(Shinners) Towner & Raven",Accepted,,L,WCSP (in review),817257,43111-2,"Madroño","20: 243","","1970"
kew-2694126,A,Onagraceae,,Calylophus,,"hartwegii",subsp.,"pubescens","(A.Gray) Towner & Raven",Accepted,,L,WCSP (in review),817259,43113-2,"Madroño","20: 243","","1970"
kew-2694129,A,Onagraceae,,Calylophus,,"lavandulifolia",,"","(Torr. & A.Gray) P.H.Raven",Accepted,,M,WCSP (in review),817262,43117-2,"Brittonia","16: 286","","1964"
kew-2694131,A,Onagraceae,,Calylophus,,"serrulata",,"","(Nutt.) P.H.Raven",Accepted,,M,WCSP (in review),817264,43118-2,"Brittonia","16: 286","","1964"
kew-2694134,A,Onagraceae,,Calylophus,,"toumeyi",,"","(Small) Towner",Accepted,,M,WCSP (in review),817267,43122-2,"Ann. Missouri Bot. Gard.","64: 92","","1977"
kew-2694135,A,Onagraceae,,Calylophus,,"tubicula",,"","(A.Gray) P.H.Raven",Accepted,,M,WCSP (in review),817268,43121-2,"Brittonia","16: 286","","1964"
kew-2694136,A,Onagraceae,,Calylophus,,"tubicula",subsp.,"strigulosus","Towner",Accepted,,L,WCSP (in review),817269,43123-2,"Ann. Missouri Bot. Gard.","64: 98","","1977"
kew-2694987,A,Onagraceae,,Camissonia,,"andina",,"","(Nutt.) P.H.Raven",Accepted,,M,WCSP (in review),818117,43815-2,"Brittonia","16: 285","","1964"
kew-2694991,A,Onagraceae,,Camissonia,,"bairdii",,"","S.L.Welsh",Accepted,,M,WCSP (in review),818121,306215-2,"Rhodora","95: 408","","1993"
kew-2694992,A,Onagraceae,,Camissonia,,"benitensis",,"","P.H.Raven",Accepted,,M,WCSP (in review),818122,43818-2,"Contr. U. S. Natl. Herb.","37: 332","","1969"
kew-2606517,A,Onagraceae,,Camissonia,,"bolanderi",,"","N.D.Atwood & S.L.Welsh",Accepted,,M,WCSP (in review),731027,77092607-1,"Rhodora","109: 399","","2007"
kew-2695007,A,Onagraceae,,Camissonia,,"breviflora",,"","(Torr. & A.Gray) P.H.Raven",Accepted,,M,WCSP (in review),818137,43828-2,"Brittonia","16: 283","","1964"
kew-2695012,A,Onagraceae,,Camissonia,,"campestris",,"","(Greene) P.H.Raven",Accepted,,M,WCSP (in review),818142,43833-2,"Brittonia","16: 284","","1964"
kew-2695038,A,Onagraceae,,Camissonia,,"contorta",,"","(Douglas) Kearney",Accepted,,M,WCSP (in review),818168,55509-2,"Trans. New York Acad. Sci.","14: 37","","1894"
kew-2695041,A,Onagraceae,,Camissonia,,"dentata",,"","(Cav.) Reiche",Accepted,,M,WCSP (in review),818171,,"Fl. Chile","2: 264","","1898"
kew-2695043,A,Onagraceae,,Camissonia,,"dentata",subsp.,"littoralis","P.H.Raven & D.M.Moore",Accepted,,L,WCSP (in review),818173,43855-2,"Contr. U. S. Natl. Herb.","37: 343","","1969"
kew-2606518,A,Onagraceae,,Camissonia,,"dominguez-escalantorum",,"","N.D.Atwood, L.C.Higgins & S.L.Welsh",Accepted,,M,WCSP (in review),731028,77092606-1,"Rhodora","109: 396","","2007"
kew-2695048,A,Onagraceae,,Camissonia,,"graciliflora",,"","(Hook. & Arn.) P.H.Raven",Accepted,,M,WCSP (in review),818178,43859-2,"Brittonia","16: 283","","1964"
kew-2695055,A,Onagraceae,,Camissonia,,"hilgardii",,"","(Greene) P.H.Raven",Accepted,,M,WCSP (in review),818185,43865-2,"Brittonia","16: 285","","1964"
kew-2695058,A,Onagraceae,,Camissonia,,"integrifolia",,"","P.H.Raven",Accepted,,M,WCSP (in review),818188,43868-2,"Contr. U. S. Natl. Herb.","37: 344","","1969"
kew-2695060,A,Onagraceae,,Camissonia,,"kernensis",,"","(Munz) P.H.Raven",Accepted,,M,WCSP (in review),818190,43870-2,"Brittonia","16: 284","","1964"
kew-2695061,A,Onagraceae,,Camissonia,,"kernensis",subsp.,"gilmanii","(Munz) P.H.Raven",Accepted,,L,WCSP (in review),818191,43871-2,"Contr. U. S. Natl. Herb.","37: 310","","1969"
kew-2695063,A,Onagraceae,,Camissonia,,"lacustris",,"","P.H.Raven",Accepted,,M,WCSP (in review),818193,43872-2,"Contr. U. S. Natl. Herb.","37: 329","","1969"
kew-2695072,A,Onagraceae,,Camissonia,,"ovata",,"","(Nutt. ex Torr. & A.Gray) P.H.Raven",Accepted,,M,WCSP (in review),818202,43881-2,"Brittonia","16: 283","","1964"
kew-2695075,A,Onagraceae,,Camissonia,,"palmeri",,"","(S.Watson) P.H.Raven",Accepted,,M,WCSP (in review),818205,43884-2,"Brittonia","16: 283","","1964"
kew-2695079,A,Onagraceae,,Camissonia,,"parvula",,"","(Nutt.) P.H.Raven",Accepted,,M,WCSP (in review),818209,43886-2,"Brittonia","16: 284","","1964"
kew-2695082,A,Onagraceae,,Camissonia,,"pubens",,"","(S.Watson) P.H.Raven",Accepted,,M,WCSP (in review),818212,43889-2,"Ann. Missouri Bot. Gard.","69: 995","","1982 publ. 1983"
kew-2695083,A,Onagraceae,,Camissonia,,"pusilla",,"","P.H.Raven",Accepted,,M,WCSP (in review),818213,43890-2,"Contr. U. S. Natl. Herb.","37: 312","","1969"
kew-2695094,A,Onagraceae,,Camissonia,,"sierrae",,"","P.H.Raven",Accepted,,M,WCSP (in review),818224,43899-2,"Contr. U. S. Natl. Herb.","37: 326","","1969"
kew-2695098,A,Onagraceae,,Camissonia,,"strigulosa",,"","(Fisch. & C.A.Mey.) P.H.Raven",Accepted,,M,WCSP (in review),818228,43903-2,"Contr. U. S. Natl. Herb.","37: 333","","1969"
kew-2695099,A,Onagraceae,,Camissonia,,"subacaulis",,"","(Pursh) P.H.Raven",Accepted,,M,WCSP (in review),818229,43904-2,"Brittonia","16: 283","","1964"
kew-2695100,A,Onagraceae,,Camissonia,,"tanacetifolia",,"","(Torr. & A.Gray) P.H.Raven",Accepted,,M,WCSP (in review),818230,43905-2,"Brittonia","16: 283","","1964"
kew-2606520,A,Onagraceae,,Camissoniopsis,,"bistorta",,"","(Nutt. ex Torr. & A.Gray) W.L.Wagner & Hoch",Accepted,,M,WCSP (in review),731030,60447299-2,"Syst. Bot. Monogr.","83: 204","","2007"
