ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2626658,A,Opiliaceae,,Agonandra,,"brasiliensis",,"","Miers ex Benth.",Accepted,,H,WCSP,382092,301518-2,"Gen. Pl.","1: 349","","1862"
tro-50131143,A,Opiliaceae,,Agonandra,,"brasiliensis",subsp.,"brasiliensis","",Accepted,,L,TRO,50131143,,"","","",""
kew-2626662,A,Opiliaceae,,Agonandra,,"excelsa",,"","Griseb.",Accepted,,H,WCSP,382096,607569-1,"Abh. Königl. Ges. Wiss. Göttingen","24: 149","","1879"
kew-2626663,A,Opiliaceae,,Agonandra,,"fluminensis",,"","Rizzini & Occhioni",Accepted,,H,WCSP,382097,7181-2,"Leandra","5(6): 108","","1975"
kew-2626664,A,Opiliaceae,,Agonandra,,"goldbergiana",,"","Hiepko",Accepted,,L,WCSP,382098,1212295-2,"Willdenowia","27: 225","","1997"
kew-2626669,A,Opiliaceae,,Agonandra,,"macrocarpa",,"","L.O.Williams",Accepted,,H,WCSP,382103,614468-1,"Ciencia (Mexico)","24: 227","","1966"
kew-2626670,A,Opiliaceae,,Agonandra,,"obtusifolia",,"","Standl.",Accepted,,H,WCSP,382104,7185-2,"J. Wash. Acad. Sci.","10: 507","","1920"
kew-2626671,A,Opiliaceae,,Agonandra,,"obtusifolia",subsp.,"conzattii","(Standl.) Hiepko",Accepted,,L,WCSP,382105,1047793-2,"Willdenowia","27: 226","","1997"
kew-2626672,A,Opiliaceae,,Agonandra,,"ovatifolia",,"","Miranda",Accepted,,H,WCSP,382106,7186-2,"Anales Inst. Biol. Univ. Nac. México","24: 71","","1953"
kew-2626673,A,Opiliaceae,,Agonandra,,"peruviana",,"","Hiepko",Accepted,,H,WCSP,382107,302515-2,"Bot. Jahrb. Syst.","117: 495","","1995"
kew-2626674,A,Opiliaceae,,Agonandra,,"racemosa",,"","(DC.) Standl.",Accepted,,L,WCSP,382108,7187-2,"J. Wash. Acad. Sci.","10: 506","","1920"
kew-2626675,A,Opiliaceae,,Agonandra,,"silvatica",,"","Ducke",Accepted,,H,WCSP,382109,308951-2,"Arch. Jard. Bot. Rio de Janeiro","3: 41","","1922"
kew-2696555,A,Opiliaceae,,Cansjera,,"leptostachya",,"","Benth.",Accepted,,H,WCSP,382483,607641-1,"London J. Bot.","2: 231","","1843"
kew-2696561,A,Opiliaceae,,Cansjera,,"parvifolia",,"","Kurz",Accepted,,H,WCSP,382489,607647-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","41(2): 298","","1872"
kew-2696565,A,Opiliaceae,,Cansjera,,"rheedei",,"","J.F.Gmel.",Accepted,,H,WCSP,382493,607651-1,"Syst. Nat.","1: 280","","1791"
kew-2715872,A,Opiliaceae,,Champereia,,"manillana",,"","(Blume) Merr.",Accepted,,H,WCSP,382874,614476-1,"Philipp. J. Sci., C","7: 233","","1912"
kew-2715873,A,Opiliaceae,,Champereia,,"manillana",var.,"longistaminea","(W.Z.Li) H.S.Kiu",Accepted,,L,WCSP,382875,,"J. Trop. Subtrop. Bot.","5(3): 3","","1997"
kew-2826245,A,Opiliaceae,,Gjellerupia,,"papuana",,"","Lauterb.",Accepted,,H,WCSP,385439,614479-1,"Nova Guinea","8: 817","","1912"
kew-2494081,A,Opiliaceae,,Lepionurus,,"sylvestris",,"","Blume",Accepted,,H,WCSP,379167,607984-1,"Bijdr.","1148","","1827"
kew-2502077,A,Opiliaceae,,Melientha,,"suavis",,"","Pierre",Accepted,,H,WCSP,379200,608041-1,"Bull. Mens. Soc. Linn. Paris","1: 762","","1888"
kew-2394789,A,Opiliaceae,,Opilia,,"amentacea",,"","Roxb.",Accepted,,H,WCSP,378230,608174-1,"Pl. Coromandel","2: 31","","1802"
kew-2394784,A,Opiliaceae,,Opilia,,"campestris",,"","Engl.",Accepted,,H,WCSP,378225,614490-1,"Bot. Jahrb. Syst.","43: 173","","1909"
kew-2394782,A,Opiliaceae,,Opilia,,"campestris",var.,"strobilifera","(Hutch. & E.A.Bruce) Hiepko",Accepted,,L,WCSP,378223,921212-1,"Willdenowia","12: 176","","1982"
kew-2552914,A,Opiliaceae,,Pentarhopalopilia,,"madagascariensis",,"","(Cavaco & Keraudren) Hiepko",Accepted,,H,WCSP,379581,943919-1,"Bot. Jahrb. Syst.","108: 285","","1987"
kew-2552912,A,Opiliaceae,,Pentarhopalopilia,,"marquesii",,"","(Engl.) Hiepko",Accepted,,H,WCSP,379580,943918-1,"Bot. Jahrb. Syst.","108: 284","","1987"
kew-2552928,A,Opiliaceae,,Pentarhopalopilia,,"perrieri",,"","(Cavaco & Keraudren) Hiepko",Accepted,,H,WCSP,379582,943920-1,"Bot. Jahrb. Syst.","108: 287","","1987"
kew-2552909,A,Opiliaceae,,Pentarhopalopilia,,"umbellulata",,"","(Baill.) Hiepko",Accepted,,H,WCSP,379579,943917-1,"Bot. Jahrb. Syst.","108: 281","","1987"
kew-2425835,A,Opiliaceae,,Rhopalopilia,,"altescandens",,"","Mildbr. ex Sleum.",Accepted,,H,WCSP,378490,,"Notizbl. Bot. Gart. Berlin-Dahlem","12: 65","","1934"
kew-2425837,A,Opiliaceae,,Rhopalopilia,,"hallei",,"","Villiers",Accepted,,H,WCSP,378492,614507-1,"Bull. Inst. Fondam. Afrique Noire, Sér. A., Sci. Nat.","33: 44","","1971"
kew-2425691,A,Opiliaceae,,Rhopalopilia,,"pallens",,"","Pierre",Accepted,,H,WCSP,378488,608330-1,"Bull. Mens. Soc. Linn. Paris","2: 1263","","1896"
kew-2871427,A,Opiliaceae,,Rhopalopilia,,"pallens",var.,"glabriflora","J.Léonard",Accepted,,L,WCSP,385830,,"Bull. Jard. Bot. État","18: 147","","1947"
kew-2450056,A,Opiliaceae,,Urobotrya,,"congolana",,"","(Baill.) Hiepko",Accepted,,H,WCSP,378698,614515-1,"Ber. Deutsch. Bot. Ges.","84: 662","","1971 publ. 1972"
kew-2450055,A,Opiliaceae,,Urobotrya,,"congolana",subsp.,"afzelii","(Engl.) Hiepko",Accepted,,L,WCSP,378697,924634-1,"Bot. Jahrb. Syst.","107: 144","","1985"
kew-2450054,A,Opiliaceae,,Urobotrya,,"floresensis",,"","Hiepko",Accepted,,H,WCSP,378696,614516-1,"Willdenowia","9: 32","","1979"
kew-2450053,A,Opiliaceae,,Urobotrya,,"latisquama",,"","(Gagnep.) Hiepko",Accepted,,H,WCSP,378695,614517-1,"Ber. Deutsch. Bot. Ges.","84: 662","","1971 publ. 1972"
kew-2450052,A,Opiliaceae,,Urobotrya,,"longipes",,"","(Gagnep.) Hiepko",Accepted,,H,WCSP,378694,614518-1,"Ber. Deutsch. Bot. Ges.","84: 663","","1971 publ. 1972"
kew-2450051,A,Opiliaceae,,Urobotrya,,"parviflora",,"","Hiepko",Accepted,,H,WCSP,378693,614519-1,"Willdenowia","6: 474","","1972"
kew-2450050,A,Opiliaceae,,Urobotrya,,"siamensis",,"","Hiepko",Accepted,,H,WCSP,378692,614520-1,"Willdenowia","6: 471","","1972"
kew-2450093,A,Opiliaceae,,Urobotrya,,"sparsiflora",,"","(Engl.) Hiepko",Accepted,,H,WCSP,378701,614521-1,"Ber. Deutsch. Bot. Ges.","84: 662","","1971 publ. 1972"
kew-2450062,A,Opiliaceae,,Urobotrya,,"sparsiflora",subsp.,"bruneelii","(De Wild.) Hiepko",Accepted,,L,WCSP,378699,924635-1,"Bot. Jahrb. Syst.","107: 149","","1985"
