ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2,A,Orchidaceae,,Aa,,"achalensis",,"","Schltr.",Accepted,,H,WCSP,2,303631-2,"Repert. Spec. Nov. Regni Veg.","16: 358","","1920"
kew-3,A,Orchidaceae,,Aa,,"argyrolepis",,"","Rchb.f.",Accepted,,H,WCSP,3,614525-1,"Xenia Orchid.","1: 18","","1854"
kew-5,A,Orchidaceae,,Aa,,"calceata",,"","(Rchb.f.) Schltr.",Accepted,,H,WCSP,5,614527-1,"Repert. Spec. Nov. Regni Veg.","11: 150","","1912"
kew-7,A,Orchidaceae,,Aa,,"colombiana",,"","Schltr.",Accepted,,H,WCSP,7,303379-2,"Repert. Spec. Nov. Regni Veg. Beih.","7: 48","","1920"
kew-8,A,Orchidaceae,,Aa,,"denticulata",,"","Schltr.",Accepted,,H,WCSP,8,306378-2,"Repert. Spec. Nov. Regni Veg. Beih.","7: 48","","1920"
kew-9,A,Orchidaceae,,Aa,,"erosa",,"","(Rchb.f.) Schltr.",Accepted,,H,WCSP,9,304241-2,"Repert. Spec. Nov. Regni Veg.","11: 150","","1912"
kew-10,A,Orchidaceae,,Aa,,"fiebrigii",,"","(Schltr.) Schltr.",Accepted,,H,WCSP,10,304436-2,"Repert. Spec. Nov. Regni Veg.","11: 150","","1912"
kew-12,A,Orchidaceae,,Aa,,"gymnandra",,"","(Rchb.f.) Schltr.",Accepted,,H,WCSP,12,301716-2,"Repert. Spec. Nov. Regni Veg.","11: 150","","1912"
kew-13,A,Orchidaceae,,Aa,,"hartwegii",,"","Garay",Accepted,,H,WCSP,13,614535-1,"Opera Bot., B","9(225:1): 161","","1978"
kew-14,A,Orchidaceae,,Aa,,"hieronymi",,"","(Cogn.) Schltr.",Accepted,,H,WCSP,14,305691-2,"Repert. Spec. Nov. Regni Veg.","11: 150","","1912"
kew-15,A,Orchidaceae,,Aa,,"inaequalis",,"","(Rchb.f.) Schltr.",Accepted,,H,WCSP,15,305778-2,"Repert. Spec. Nov. Regni Veg.","11: 150","","1912"
kew-17,A,Orchidaceae,,Aa,,"leucantha",,"","(Rchb.f.) Schltr.",Accepted,,H,WCSP,17,614541-1,"Repert. Spec. Nov. Regni Veg. Beih.","7: 213","","1920"
kew-18,A,Orchidaceae,,Aa,,"lorentzii",,"","Schltr.",Accepted,,H,WCSP,18,302040-2,"Repert. Spec. Nov. Regni Veg.","16: 438","","1920"
