ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2666745,A,Oxalidaceae,,Averrhoa,,"bilimbi",,"","L.",Accepted,,M,WCSP (in review),790368,371869-1,"Sp. Pl.","428","","1753"
kew-2666746,A,Oxalidaceae,,Averrhoa,,"carambola",,"","L.",Accepted,,M,WCSP (in review),790369,371870-1,"Sp. Pl.","428","","1753"
kew-2606392,A,Oxalidaceae,,Averrhoa,,"dolichocarpa",,"","Rugayah & Sunarti",Accepted,,M,WCSP (in review),730903,77089764-1,"Reinwardtia","12: 330","","2008"
kew-2606393,A,Oxalidaceae,,Averrhoa,,"leucopetala",,"","Rugayah & Sunarti",Accepted,,M,WCSP (in review),730904,77089763-1,"Reinwardtia","12: 327","","2008"
kew-2666748,A,Oxalidaceae,,Averrhoa,,"microphylla",,"","Tardieu",Accepted,,M,WCSP (in review),790371,662993-1,"Notul. Syst. (Paris)","11: 133","","1943"
kew-2676099,A,Oxalidaceae,,Biophytum,,"abyssinicum",,"","Steud. ex A.Rich.",Accepted,,M,WCSP (in review),799551,371944-1,"Tent. Fl. Abyss.","1: 122","","1847"
kew-2676100,A,Oxalidaceae,,Biophytum,,"adiantoides",,"","Wight ex Edgew. & Hook.f.",Accepted,,M,WCSP (in review),799552,371945-1,"Fl. Brit. India","1: 437","","1872"
kew-2676101,A,Oxalidaceae,,Biophytum,,"aeschynomenifolia",,"","(O.Hoffm.) Guillaumin",Accepted,,M,WCSP (in review),799553,662994-1,"Bull. Mus. Natl. Hist. Nat.","15: 124","","1909"
kew-2676103,A,Oxalidaceae,,Biophytum,,"albizzioides",,"","(O.Hoffm.) Guillaumin",Accepted,,M,WCSP (in review),799555,662995-1,"Bull. Mus. Natl. Hist. Nat.","15: 124","","1909"
kew-2676104,A,Oxalidaceae,,Biophytum,,"amazonicum",,"","R.Knuth",Accepted,,M,WCSP (in review),799556,33236-2,"Pflanzenr.","IV, 130: 416","","1930"
kew-2676105,A,Oxalidaceae,,Biophytum,,"antioquiense",,"","Knuth",Accepted,,M,WCSP (in review),799557,33237-2,"Notizbl. Bot. Gart. Berlin-Dahlem","7: 317","","1919"
kew-2676109,A,Oxalidaceae,,Biophytum,,"bolivianum",,"","R.Knuth",Accepted,,M,WCSP (in review),799561,33238-2,"Pflanzenr.","IV, 130: 403","","1930"
kew-2676110,A,Oxalidaceae,,Biophytum,,"boussingaultii",,"","Klotzsch ex R.Knuth",Accepted,,M,WCSP (in review),799562,33239-2,"Pflanzenr.","IV, 130: 401","","1930"
kew-2676111,A,Oxalidaceae,,Biophytum,,"calophyllum",,"","(Progel) Guillaumin",Accepted,,M,WCSP (in review),799563,33240-2,"Bull. Mus. Natl. Hist. Nat.","15: 125","","1909"
kew-2676113,A,Oxalidaceae,,Biophytum,,"cardonaei",,"","Pittier",Accepted,,M,WCSP (in review),799565,33241-2,"Bol. Soc. Venez. Ci. Nat.","11: 13","","1947"
kew-2676115,A,Oxalidaceae,,Biophytum,,"castum",,"","(Mart. & Zucc. ex Zucc.) G.Don",Accepted,,M,WCSP (in review),799567,371949-1,"Gen. Hist.","1: 753","","1831"
kew-2676116,A,Oxalidaceae,,Biophytum,,"chocoense",,"","Knuth",Accepted,,M,WCSP (in review),799568,33243-2,"Repert. Spec. Nov. Regni Veg.","38: 197","","1935"
kew-2676117,A,Oxalidaceae,,Biophytum,,"columbianum",,"","Knuth",Accepted,,M,WCSP (in review),799569,33244-2,"Notizbl. Bot. Gart. Berlin-Dahlem","7: 317","","1919"
kew-2676118,A,Oxalidaceae,,Biophytum,,"commersonii",,"","(Baill.) Guillaumin",Accepted,,M,WCSP (in review),799570,663008-1,"Bull. Mus. Natl. Hist. Nat.","15: 125","","1909"
kew-2676119,A,Oxalidaceae,,Biophytum,,"congestiflorum",,"","Govind.",Accepted,,M,WCSP (in review),799571,991700-1,"J. Econ. Taxon. Bot.","20: 311","","1996"
kew-2676120,A,Oxalidaceae,,Biophytum,,"cowanii",,"","T.Wendt",Accepted,,M,WCSP (in review),799572,273312-2,"Brittonia","39: 133","","1987"
kew-2676121,A,Oxalidaceae,,Biophytum,,"crassipes",,"","Engl.",Accepted,,M,WCSP (in review),799573,371950-1,"Pflanzenw. Ost-Afrikas","C: 226","","1895"
kew-2676124,A,Oxalidaceae,,Biophytum,,"dendroides",,"","(Kunth) DC.",Accepted,,M,WCSP (in review),799576,371953-1,"Prodr.","1: 690","","1824"
kew-2676125,A,Oxalidaceae,,Biophytum,,"dormiens",,"","(Mart. & Zucc.) G.Don",Accepted,,M,WCSP (in review),799577,371954-1,"Gen. Hist.","1: 753","","1831"
kew-2676128,A,Oxalidaceae,,Biophytum,,"falcifolium",,"","Lourteig",Accepted,,M,WCSP (in review),799580,33245-2,"Ann. Missouri Bot. Gard.","67: 829","","1980 publ. 1981"
kew-2676129,A,Oxalidaceae,,Biophytum,,"ferrugineum",,"","Rusby",Accepted,,M,WCSP (in review),799581,33246-2,"Bull. New York Bot. Gard.","8: 95","","1912"
kew-2676130,A,Oxalidaceae,,Biophytum,,"forsythii",,"","R.Knuth",Accepted,,M,WCSP (in review),799582,663013-1,"Pflanzenr.","IV, 130: 414","","1930"
kew-2676131,A,Oxalidaceae,,Biophytum,,"foxii",,"","Sprague",Accepted,,M,WCSP (in review),799583,33247-2,"Bull. Misc. Inform. Kew","1911: 343","","1911"
kew-2676132,A,Oxalidaceae,,Biophytum,,"fruticosum",,"","Blume",Accepted,,M,WCSP (in review),799584,371955-1,"Bijdr.","242","","1825"
kew-2676133,A,Oxalidaceae,,Biophytum,,"fruticosum",var.,"papuanum","Veldkamp",Accepted,,L,WCSP (in review),799585,,"in Fl. Males.","7: 166","","1971"
kew-2676134,A,Oxalidaceae,,Biophytum,,"globuliflorum",,"","R.Knuth",Accepted,,M,WCSP (in review),799586,33248-2,"Pflanzenr.","IV, 130: 403","","1930"
kew-2676135,A,Oxalidaceae,,Biophytum,,"gracile",,"","R.Knuth",Accepted,,M,WCSP (in review),799587,33249-2,"Pflanzenr.","IV, 130: 401","","1930"
kew-2676136,A,Oxalidaceae,,Biophytum,,"heinrichsae",,"","Knuth",Accepted,,M,WCSP (in review),799588,33250-2,"Repert. Spec. Nov. Regni Veg.","38: 198","","1935"
kew-2676137,A,Oxalidaceae,,Biophytum,,"helenae",,"","Buscal. & Muschl.",Accepted,,M,WCSP (in review),799589,663018-1,"Bot. Jahrb. Syst.","49: 475","","1913"
kew-2676138,A,Oxalidaceae,,Biophytum,,"hermannii",,"","Veldkamp",Accepted,,M,WCSP (in review),799590,936764-1,"Taxon","38: 114","","1989"
kew-2676139,A,Oxalidaceae,,Biophytum,,"hildebrandtii",,"","(O.Hoffm.) Guillaumin",Accepted,,M,WCSP (in review),799591,663019-1,"Bull. Mus. Natl. Hist. Nat.","15: 125","","1909"
kew-2676141,A,Oxalidaceae,,Biophytum,,"huilense",,"","Killip & Cuatrec.",Accepted,,M,WCSP (in review),799593,33251-2,"Revista Acad. Colomb. Ci. Exact.","4: 348","","1941"
kew-2676142,A,Oxalidaceae,,Biophytum,,"incrassatum",,"","Delhaye",Accepted,,M,WCSP (in review),799594,663022-1,"Bull. Séances Inst. Roy. Colon. Belge","23: 857","","1952"
kew-2676143,A,Oxalidaceae,,Biophytum,,"insigne",,"","Gamble",Accepted,,M,WCSP (in review),799595,663023-1,"Bull. Misc. Inform. Kew","1921: 216","","1921"
kew-2676144,A,Oxalidaceae,,Biophytum,,"intermedium",,"","Wight",Accepted,,M,WCSP (in review),799596,371956-1,"Ill. Ind. Bot.","1: 162","","1840"
kew-2676147,A,Oxalidaceae,,Biophytum,,"jessenii",,"","Knuth",Accepted,,M,WCSP (in review),799599,663024-1,"Repert. Spec. Nov. Regni Veg.","38: 198","","1935"
kew-2676148,A,Oxalidaceae,,Biophytum,,"juninense",,"","Knuth",Accepted,,M,WCSP (in review),799600,33252-2,"Repert. Spec. Nov. Regni Veg.","38: 198","","1935"
kew-2676150,A,Oxalidaceae,,Biophytum,,"kassneri",,"","R.Knuth",Accepted,,M,WCSP (in review),799602,663028-1,"Pflanzenr.","IV, 130: 409","","1930"
kew-2676151,A,Oxalidaceae,,Biophytum,,"kayae",,"","Aymard & P.E.Berry",Accepted,,M,WCSP (in review),799603,327511-2,"Novon","13: 175","","2003"
kew-2676152,A,Oxalidaceae,,Biophytum,,"lindsiifolium",,"","(Hook.) Knuth",Accepted,,M,WCSP (in review),799604,,"Notizbl. Bot. Gart. Berlin-Dahlem","7: 317","","1919"
kew-2676153,A,Oxalidaceae,,Biophytum,,"longibracteatum",,"","Tadul. & K.C.Jacob",Accepted,,M,WCSP (in review),799605,,"J. Indian Bot.","4: 87","","1924"
kew-2676154,A,Oxalidaceae,,Biophytum,,"longipedunculatum",,"","Govind.",Accepted,,M,WCSP (in review),799606,991701-1,"J. Econ. Taxon. Bot.","20: 312","","1996"
kew-2676155,A,Oxalidaceae,,Biophytum,,"lourteigiae",,"","Aymard & P.E.Berry",Accepted,,M,WCSP (in review),799607,327512-2,"Novon","13: 175","","2003"
kew-2676156,A,Oxalidaceae,,Biophytum,,"luetzelburgii",,"","Suess.",Accepted,,M,WCSP (in review),799608,33254-2,"Repert. Spec. Nov. Regni Veg.","51: 203","","1942"
kew-2676157,A,Oxalidaceae,,Biophytum,,"macropodum",,"","Baker",Accepted,,M,WCSP (in review),799609,,"J. Linn. Soc., Bot.","21: 328","","1884"
kew-2676158,A,Oxalidaceae,,Biophytum,,"macrorrhizum",,"","R.E.Fr.",Accepted,,M,WCSP (in review),799610,663033-1,"Wiss. Erg. Schwed. Rhod.-Kongo Exped.","1: 108","","1914"
kew-2676159,A,Oxalidaceae,,Biophytum,,"madurense",,"","R.Knuth",Accepted,,M,WCSP (in review),799611,663034-1,"Pflanzenr.","IV, 130: 398","","1930"
kew-2676160,A,Oxalidaceae,,Biophytum,,"mapirense",,"","R.Knuth",Accepted,,M,WCSP (in review),799612,33255-2,"Pflanzenr.","IV, 130: 405","","1930"
kew-2676162,A,Oxalidaceae,,Biophytum,,"microphyllum",,"","Veldkamp",Accepted,,M,WCSP (in review),799614,663036-1,"in Fl. Males.","7: 164","","1971"
kew-2676163,A,Oxalidaceae,,Biophytum,,"mimosella",,"","(Baill.) Guillaumin",Accepted,,L,WCSP (in review),799615,663037-1,"Bull. Mus. Natl. Hist. Nat.","15: 126","","1909"
kew-2676165,A,Oxalidaceae,,Biophytum,,"molle",,"","(Scott-Elliot) Guillaumin",Accepted,,M,WCSP (in review),799617,663039-1,"Bull. Mus. Natl. Hist. Nat.","15: 126","","1909"
kew-2676166,A,Oxalidaceae,,Biophytum,,"mucronatum",,"","Lourteig",Accepted,,M,WCSP (in review),799618,33258-2,"Ann. Missouri Bot. Gard.","67: 831","","1980 publ. 1981"
kew-2676167,A,Oxalidaceae,,Biophytum,,"mutisii",,"","Knuth",Accepted,,M,WCSP (in review),799619,33259-2,"Repert. Spec. Nov. Regni Veg.","38: 199","","1935"
kew-2676168,A,Oxalidaceae,,Biophytum,,"myriophyllum",,"","(O.Hoffm.) R.Knuth",Accepted,,M,WCSP (in review),799620,663041-1,"Pflanzenr.","IV, 130: 415","","1930"
kew-2676170,A,Oxalidaceae,,Biophytum,,"nudum",,"","(Arn.) Wight",Accepted,,L,WCSP (in review),799622,,"Ill. Ind. Bot.","1: 161","","1840"
kew-2676171,A,Oxalidaceae,,Biophytum,,"nyikense",,"","Exell",Accepted,,M,WCSP (in review),799623,663042-1,"Bol. Soc. Brot.","II, 35: 137","","1961"
kew-2676172,A,Oxalidaceae,,Biophytum,,"ottohuberi",,"","Aymard & P.E.Berry",Accepted,,M,WCSP (in review),799624,327513-2,"Novon","13: 178","","2003"
