ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-306095,A,Pandanaceae,,Freycinetia,,"abbreviata",,"","Markgr.",Accepted,,H,WCSP,306095,670369-1,"Notizbl. Bot. Gart. Berlin-Dahlem","10: 769","","1929"
kew-306096,A,Pandanaceae,,Freycinetia,,"acicularis",,"","Huynh",Accepted,,H,WCSP,306096,1008412-1,"Bot. Jahrb. Syst.","121: 161","","1999"
kew-306098,A,Pandanaceae,,Freycinetia,,"acuta",,"","Huynh",Accepted,,H,WCSP,306098,1018889-1,"Candollea","55: 291","","2000"
kew-306099,A,Pandanaceae,,Freycinetia,,"acutifolia",,"","Merr.",Accepted,,H,WCSP,306099,670371-1,"Philipp. J. Sci., C","13: 267","","1918"
kew-306100,A,Pandanaceae,,Freycinetia,,"admiraltiensis",,"","Huynh",Accepted,,H,WCSP,306100,20010064-1,"Blumea","47: 514","","2002"
kew-306103,A,Pandanaceae,,Freycinetia,,"amboinensis",,"","Martelli",Accepted,,H,WCSP,306103,670375-1,"Webbia","3: 170","","1910"
kew-306104,A,Pandanaceae,,Freycinetia,,"amoena",,"","Huynh",Accepted,,H,WCSP,306104,20010065-1,"Blumea","47: 516","","2002"
kew-306105,A,Pandanaceae,,Freycinetia,,"ancistrosperma",,"","Huynh",Accepted,,H,WCSP,306105,992644-1,"Bot. Jahrb. Syst.","118: 540","","1996"
kew-306106,A,Pandanaceae,,Freycinetia,,"andajensis",,"","Martelli",Accepted,,H,WCSP,306106,670376-1,"Webbia","3: 172","","1910"
kew-306108,A,Pandanaceae,,Freycinetia,,"angakumiana",,"","Huynh",Accepted,,H,WCSP,306108,20008232-1,"Candollea","57: 56","","2002"
kew-306109,A,Pandanaceae,,Freycinetia,,"angulata",,"","C.B.Rob. ex Martelli",Accepted,,H,WCSP,306109,670377-1,"Webbia","3: 16","","1910"
kew-306110,A,Pandanaceae,,Freycinetia,,"angusta",,"","Huynh",Accepted,,H,WCSP,306110,20010066-1,"Blumea","47: 517","","2002"
kew-306111,A,Pandanaceae,,Freycinetia,,"angustifolia",,"","Blume",Accepted,,H,WCSP,306111,670379-1,"Rumphia","1: 159","","1837"
kew-306112,A,Pandanaceae,,Freycinetia,,"angustissima",,"","Ridl.",Accepted,,H,WCSP,306112,670380-1,"J. Bot.","24: 359","","1886"
kew-306114,A,Pandanaceae,,Freycinetia,,"apayaoensis",,"","Merr.",Accepted,,H,WCSP,306114,670382-1,"Philipp. J. Sci., C","13: 269","","1918"
kew-306115,A,Pandanaceae,,Freycinetia,,"apoensis",,"","Martelli",Accepted,,H,WCSP,306115,670383-1,"Leafl. Philipp. Bot.","3: 1111","","1911"
kew-306116,A,Pandanaceae,,Freycinetia,,"arborea",,"","Gaudich.",Accepted,,H,WCSP,306116,670384-1,"Voy. Uranie","431","","1829"
kew-306117,A,Pandanaceae,,Freycinetia,,"archboldiana",,"","Merr. & L.M.Perry",Accepted,,H,WCSP,306117,670385-1,"J. Arnold Arbor.","20: 147","","1939"
kew-306118,A,Pandanaceae,,Freycinetia,,"arfakiana",,"","Martelli",Accepted,,H,WCSP,306118,670386-1,"Webbia","3: 173","","1910"
kew-306120,A,Pandanaceae,,Freycinetia,,"aruensis",,"","Martelli",Accepted,,H,WCSP,306120,670388-1,"Webbia","3: 180","","1910"
kew-306121,A,Pandanaceae,,Freycinetia,,"atocensis",,"","Martelli",Accepted,,H,WCSP,306121,670389-1,"Webbia","3: 23","","1910"
kew-306124,A,Pandanaceae,,Freycinetia,,"awaiarensis",,"","Huynh",Accepted,,H,WCSP,306124,20010067-1,"Blumea","47: 518","","2002"
kew-306125,A,Pandanaceae,,Freycinetia,,"backeri",,"","B.C.Stone",Accepted,,H,WCSP,306125,670392-1,"Fed. Mus. J. (Kuala Lumpur)","13: 156","","1968 publ. 1971"
kew-306127,A,Pandanaceae,,Freycinetia,,"banksii",,"","A.Cunn.",Accepted,,H,WCSP,306127,670394-1,"Companion Bot. Mag.","2: 377","","1837"
kew-306128,A,Pandanaceae,,Freycinetia,,"bassa",,"","Huynh",Accepted,,H,WCSP,306128,20008237-1,"Candollea","57: 60","","2002"
kew-306130,A,Pandanaceae,,Freycinetia,,"baueriana",,"","Endl.",Accepted,,H,WCSP,306130,670396-1,"Prodr. Fl. Norfolk.","25","","1833"
kew-306132,A,Pandanaceae,,Freycinetia,,"beccarii",,"","Solms",Accepted,,H,WCSP,306132,670397-1,"Ann. Jard. Bot. Buitenzorg","3: 100","","1883"
kew-306135,A,Pandanaceae,,Freycinetia,,"bicolor",,"","B.C.Stone",Accepted,,H,WCSP,306135,670400-1,"Proc. Biol. Soc. Wash.","76: 4","","1963"
kew-306136,A,Pandanaceae,,Freycinetia,,"biloba",,"","B.C.Stone",Accepted,,H,WCSP,306136,670401-1,"Gard. Bull. Singapore","25: 224","","1970"
kew-306137,A,Pandanaceae,,Freycinetia,,"biroi",,"","Warb.",Accepted,,H,WCSP,306137,670402-1,"Fl. Schutzgeb. Südsee","Nachtr.: 52","","1905"
kew-306138,A,Pandanaceae,,Freycinetia,,"bismarckensis",,"","Huynh",Accepted,,H,WCSP,306138,20003051-1,"Bot. Jahrb. Syst.","123: 326","","2001"
kew-306139,A,Pandanaceae,,Freycinetia,,"boluboluensis",,"","Huynh",Accepted,,H,WCSP,306139,20010068-1,"Blumea","47: 519","","2002"
kew-306140,A,Pandanaceae,,Freycinetia,,"bomberaiensis",,"","Huynh",Accepted,,H,WCSP,306140,20010409-1,"Bot. Jahrb. Syst.","124: 151","","2002"
kew-306141,A,Pandanaceae,,Freycinetia,,"boninensis",,"","(Nakai) Nakai",Accepted,,H,WCSP,306141,670403-1,"J. Jap. Bot.","11: 153","","1935"
kew-306142,A,Pandanaceae,,Freycinetia,,"borneensis",,"","Martelli",Accepted,,H,WCSP,306142,,"Webbia","3: 167","","1910"
kew-306143,A,Pandanaceae,,Freycinetia,,"bosaviensis",,"","Huynh",Accepted,,H,WCSP,306143,20008238-1,"Candollea","57: 61","","2002"
kew-306145,A,Pandanaceae,,Freycinetia,,"brachyclada",,"","Huynh",Accepted,,H,WCSP,306145,1008407-1,"Bot. Jahrb. Syst.","121: 151","","1999"
kew-306146,A,Pandanaceae,,Freycinetia,,"brassii",,"","Merr. & L.M.Perry",Accepted,,H,WCSP,306146,670406-1,"J. Arnold Arbor.","20: 145","","1939"
kew-306147,A,Pandanaceae,,Freycinetia,,"breviauriculata",,"","Huynh",Accepted,,H,WCSP,306147,20003052-1,"Bot. Jahrb. Syst.","123: 327","","2001"
kew-306148,A,Pandanaceae,,Freycinetia,,"brevifolia",,"","Martelli",Accepted,,H,WCSP,306148,670407-1,"Webbia","3: 186","","1910"
kew-306150,A,Pandanaceae,,Freycinetia,,"brevipedunculata",,"","Huynh",Accepted,,H,WCSP,306150,998046-1,"Candollea","52: 369","","1997"
kew-306151,A,Pandanaceae,,Freycinetia,,"brevis",,"","Huynh",Accepted,,H,WCSP,306151,1018881-1,"Candollea","55: 284","","2000"
kew-306153,A,Pandanaceae,,Freycinetia,,"bulusanensis",,"","Merr.",Accepted,,H,WCSP,306153,670410-1,"Philipp. J. Sci., C","13: 268","","1918"
