ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2622941,A,Papaveraceae,,Adlumia,,"asiatica",,"","Ohwi",Accepted,,M,WCSP (in review),746799,671669-1,"Bot. Mag. (Tokyo)","45: 387","","1931"
kew-2622943,A,Papaveraceae,,Adlumia,,"fungosa",,"","(Aiton) Britton, Sterns & Poggenb.",Accepted,,M,WCSP (in review),746801,,"Prelim. Cat.","3","","1888"
kew-2647107,A,Papaveraceae,,Arctomecon,,"californicum",,"","Torr. & Frém.",Accepted,,M,WCSP (in review),770775,304099-2,"Rep. Exped. Rocky Mts.","2: 312","","1845"
kew-2647108,A,Papaveraceae,,Arctomecon,,"humile",,"","Coville",Accepted,,M,WCSP (in review),770776,300853-2,"Proc. Biol. Soc. Wash.","7: 67","","1892"
kew-2647109,A,Papaveraceae,,Arctomecon,,"merriamii",,"","Coville",Accepted,,M,WCSP (in review),770777,17720-2,"Proc. Biol. Soc. Wash.","7: 66","","1892"
kew-2650461,A,Papaveraceae,,Argemone,,"aenea",,"","Ownbey",Accepted,,M,WCSP (in review),774126,18782-2,"Mem. Torrey Bot. Club","21: 50","","1958"
kew-2650467,A,Papaveraceae,,Argemone,,"albiflora",,"","Hornem.",Accepted,,M,WCSP (in review),774132,671680-1,"Hort. Bot. Hafn.","2: 469","","1815"
kew-2650468,A,Papaveraceae,,Argemone,,"albiflora",subsp.,"texana","Ownbey",Accepted,,L,WCSP (in review),774133,18786-2,"Mem. Torrey Bot. Club","21: 141","","1958"
kew-2650470,A,Papaveraceae,,Argemone,,"arida",,"","Rose",Accepted,,M,WCSP (in review),774135,18788-2,"Contr. U. S. Natl. Herb.","8: 26","","1903"
kew-2650471,A,Papaveraceae,,Argemone,,"arizonica",,"","Ownbey",Accepted,,M,WCSP (in review),774136,18789-2,"Mem. Torrey Bot. Club","21: 91","","1958"
kew-2650473,A,Papaveraceae,,Argemone,,"aurantiaca",,"","Ownbey",Accepted,,M,WCSP (in review),774138,18790-2,"Mem. Torrey Bot. Club","21: 53","","1958"
