ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2681888,A,Paulowniaceae,,Brandisia,,"annamitica",,"","Bonati",Accepted,,M,WCSP (in review),805234,799863-1,"Bull. Soc. Bot. France","71: 1092","","1924 publ. 1925"
kew-2681889,A,Paulowniaceae,,Brandisia,,"cauliflora",,"","P.C.Tsoong & L.T.Lu",Accepted,,M,WCSP (in review),805235,799864-1,"in Fl. Reipubl. Popul. Sin.","67(2): 394","","1979"
kew-2681890,A,Paulowniaceae,,Brandisia,,"chevalieri",,"","Bonati",Accepted,,M,WCSP (in review),805236,799865-1,"Bull. Soc. Bot. France","71: 1092","","1924 publ. 1925"
kew-2681891,A,Paulowniaceae,,Brandisia,,"discolor",,"","Hook.f. & Thomson",Accepted,,M,WCSP (in review),805237,799867-1,"J. Linn. Soc., Bot.","8: 11","","1865"
kew-2681893,A,Paulowniaceae,,Brandisia,,"glabrescens",,"","Rehder",Accepted,,M,WCSP (in review),805239,799868-1,"Pl. Wilson.","1: 574","","1913"
kew-2681895,A,Paulowniaceae,,Brandisia,,"hancei",,"","Hook.f.",Accepted,,M,WCSP (in review),805241,799869-1,"Fl. Brit. India","4: 257","","1884"
kew-2681896,A,Paulowniaceae,,Brandisia,,"kwangsiensis",,"","H.L.Li",Accepted,,M,WCSP (in review),805242,799870-1,"J. Arnold Arbor.","28: 133","","1947"
kew-2681899,A,Paulowniaceae,,Brandisia,,"racemosa",,"","Hemsl.",Accepted,,M,WCSP (in review),805245,799873-1,"Hooker's Icon. Pl.","25: t. 2383","","1895"
kew-2681900,A,Paulowniaceae,,Brandisia,,"rosea",,"","W.W.Sm.",Accepted,,M,WCSP (in review),805246,799874-1,"Notes Roy. Bot. Gard. Edinburgh","10: 10","","1917"
kew-2681902,A,Paulowniaceae,,Brandisia,,"scandens",,"","Bonati",Accepted,,M,WCSP (in review),805248,799875-1,"Bull. Soc. Bot. France","71: 1091","","1924 publ. 1925"
kew-2681904,A,Paulowniaceae,,Brandisia,,"swinglei",,"","Merr.",Accepted,,M,WCSP (in review),805250,799877-1,"Philipp. J. Sci., C","13: 157","","1918"
tro-29208468,A,Paulowniaceae,,Paulownia,,"catalpifolia",,"","T. Gong ex D.Y. Hong",Accepted,,M,TRO,29208468,999447-1,"Novon","7(4): 366","366","1997"
tro-29202454,A,Paulowniaceae,,Paulownia,,"elongata",,"","S.Y. Hu",Accepted,,M,TRO,29202454,806710-1,"Quart. J. Taiwan Mus.","12(1-2): 41, pl. 3","41","1959"
tro-29208477,A,Paulowniaceae,,Paulownia,,"fargesii",,"","Franch.",Accepted,,M,TRO,29208477,806711-1,"Bull. Mus. Hist. Nat. (Paris)","2(6): 280","280","1896"
tro-29202455,A,Paulowniaceae,,Paulownia,,"fortunei",,"","(Seem.) Hemsl.",Accepted,,L,TRO,29202455,,"Gard. Chron., ser. 3","7: 448","448","1890"
kew-2543499,A,Paulowniaceae,,Paulownia,,"kawakamii",,"","T.Itô",Accepted,,M,WCSP (in review),670530,806716-1,"Icon. Pl. Japon.","1(4): t. 15-16","","1912"
tro-29200360,A,Paulowniaceae,,Paulownia,,"taiwaniana",,"","T.W. Hu & H.J. Chang",Accepted,,M,TRO,29200360,806725-1,"Taiwania","20(2): 166","166","1975"
kew-2542391,A,Paulowniaceae,,Paulownia,,"tomentosa",,"","Steud.",Accepted,,L,WCSP (in review),669435,185784-2,"Nomencl. Bot.","ed. 2, 2: 278","","1841"
tro-29208463,A,Paulowniaceae,,Paulownia,,"tomentosa",var.,"tomentosa","",Accepted,,L,TRO,29208463,,"","","",""
tro-29208464,A,Paulowniaceae,,Paulownia,,"tomentosa",var.,"tsinlingensis","(Pai [Bai]) T. Gong",Accepted,,L,TRO,29208464,891404-1,"Acta Phytotax. Sin.","14(2): 43","43","1976"
tro-29209157,A,Paulowniaceae,,Wightia,,"speciosissima",,"","(D. Don) Merr.",Accepted,,L,TRO,29209157,812915-1,"J. Arnold Arbor.","19(1): 67","67","1938"
