ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2711299,A,Pedaliaceae,,Ceratotheca,,"integribracteata",,"","Engl.",Accepted,,M,WCSP (in review),833567,675791-1,"Bot. Jahrb. Syst.","19: 156","","1894"
kew-2711300,A,Pedaliaceae,,Ceratotheca,,"integribracteata",subsp.,"elliptica","(Schinz) Ihlenf.",Accepted,,L,WCSP (in review),833568,,"Mitt. Bot. Staatssamml. München","6: 598","","1967"
kew-2711304,A,Pedaliaceae,,Ceratotheca,,"reniformis",,"","Abels",Accepted,,M,WCSP (in review),833572,675795-1,"Morphol., Geogr., Taxon., Dicerocaryum & Ceratotheca","177, 183","","1973"
kew-2711305,A,Pedaliaceae,,Ceratotheca,,"saxicola",,"","E.A.Bruce",Accepted,,M,WCSP (in review),833573,675796-1,"Bothalia","6: 233","","1951"
kew-2711306,A,Pedaliaceae,,Ceratotheca,,"sesamoides",,"","Endl.",Accepted,,M,WCSP (in review),833574,675797-1,"Linnaea","7: 5","","1832"
kew-2711311,A,Pedaliaceae,,Ceratotheca,,"triloba",,"","(Bernh.) Hook.f.",Accepted,,M,WCSP (in review),833579,,"Bot. Mag.","114: t. 6974","","1888"
kew-2606943,A,Pedaliaceae,,Dewinteria,,"petrophila",,"","(De Winter) van Jaarsv. & A.E.van Wyk",Accepted,,M,WCSP (in review),731432,77088530-1,"Bothalia","37: 198","","2007"
kew-2765683,A,Pedaliaceae,,Dicerocaryum,,"eriocarpum",,"","(Decne.) Abels",Accepted,,M,WCSP (in review),887042,675807-1,"Morphol., Geogr., Taxon., Dicerocaryum & Ceratotheca","175","","1973"
kew-2765684,A,Pedaliaceae,,Dicerocaryum,,"forbesii",,"","(Decne.) A.E.van Wyk",Accepted,,L,WCSP (in review),887043,70029344-1,"Fl. Pl. Africa","58: 119","","2003"
kew-2765685,A,Pedaliaceae,,Dicerocaryum,,"senecioides",,"","(Klotzsch) Abels",Accepted,,M,WCSP (in review),887044,675808-1,"Morphol., Geogr., Taxon., Dicerocaryum & Ceratotheca","175","","1973"
tro-24300088,A,Pedaliaceae,,Dicerocaryum,,"senecioides",subsp.,"senecioides","Abels",Accepted,,L,TRO,24300088,,"","","",""
kew-2765688,A,Pedaliaceae,,Dicerocaryum,,"zanguebarium",,"","(Lour.) Merr.",Accepted,,M,WCSP (in review),887047,675810-1,"Trans. Amer. Philos. Soc.","n.s., 24(2): 355","","1935"
kew-2493953,A,Pedaliaceae,,Linariopsis,,"prostrata",,"","Welw.",Accepted,,M,WCSP (in review),621591,675836-1,"Trans. Linn. Soc. London","27: 54","","1869"
tro-24300021,A,Pedaliaceae,,Pedalium,,"murex",,"","L.",Accepted,,M,TRO,24300021,675880-1,"Syst. Nat. (ed. 10)","1123","1123","1759"
kew-2563079,A,Pedaliaceae,,Pterodiscus,,"aurantiacus",,"","Welw.",Accepted,,M,WCSP (in review),689045,675910-1,"Trans. Linn. Soc. London","27: 53","","1869"
