ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2681385,A,Penaeaceae,,Brachysiphon,,"acutus",,"","(Thunb.) A.Juss.",Accepted,,M,WCSP (in review),804743,676042-1,"Ann. Sci. Nat., Bot.","III, 6: 25","","1846"
kew-2681387,A,Penaeaceae,,Brachysiphon,,"fucatus",,"","(L.) Gilg",Accepted,,M,WCSP (in review),804745,676044-1,"Bot. Jahrb. Syst.","18: 520","","1894"
kew-2681389,A,Penaeaceae,,Brachysiphon,,"microphyllus",,"","Rourke",Accepted,,M,WCSP (in review),804747,982630-1,"Nordic J. Bot.","15: 63","","1995"
kew-2681390,A,Penaeaceae,,Brachysiphon,,"mundii",,"","Sond.",Accepted,,M,WCSP (in review),804748,676046-1,"Linnaea","23: 102","","1850"
kew-2681392,A,Penaeaceae,,Brachysiphon,,"rupestris",,"","Sond.",Accepted,,M,WCSP (in review),804750,676048-1,"Linnaea","23: 101","","1850"
kew-2789083,A,Penaeaceae,,Endonema,,"lateriflora",,"","(L.f.) Gilg",Accepted,,M,WCSP (in review),908691,676050-1,"Nat. Pflanzenfam.","3(6a): 210","","1894"
kew-2789084,A,Penaeaceae,,Endonema,,"retzioides",,"","Sond.",Accepted,,M,WCSP (in review),908692,676051-1,"Linnaea","23: 103","","1850"
kew-2826614,A,Penaeaceae,,Glischrocolla,,"formosa",,"","(Thunb.) R.Dahlgren",Accepted,,L,WCSP (in review),945876,676056-1,"Bot. Not.","120: 59","","1967"
kew-2398322,A,Penaeaceae,,Olinia,,"rochetiana",,"","A.Juss.",Accepted,,M,WCSP (in review),527527,553991-1,"Compt. Rend. Hebd. Séances Acad. Sci.","22: 812","","1846"
tro-23100014,A,Penaeaceae,,Olinia,,"ventosa",,"","(L.) Cufod.",Accepted,,L,TRO,23100014,611229-1,"","","",""
tro-24400038,A,Penaeaceae,,Saltera,,"sarcocolla",,"","Bullock",Accepted,,M,TRO,24400038,676103-1,"Kew Bull.","1958, 109 (1958)","1958","1958"
tro-24400034,A,Penaeaceae,,Sonderothamnus,,"petraeus",,"","Dahlg.",Accepted,,M,TRO,24400034,,"","","",""
tro-24400036,A,Penaeaceae,,Sonderothamnus,,"speciosus",,"","Dahlg.",Accepted,,M,TRO,24400036,,"","","",""
tro-24400016,A,Penaeaceae,,Stylapterus,,"candolleanus",,"","Dahlg.",Accepted,,M,TRO,24400016,,"","","",""
tro-24400019,A,Penaeaceae,,Stylapterus,,"ericifolius",,"","Dahlg.",Accepted,,M,TRO,24400019,,"","","",""
tro-24400025,A,Penaeaceae,,Stylapterus,,"fruticulosus",,"","Juss.",Accepted,,M,TRO,24400025,676127-1,"","","",""
