ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2622736,A,Pentaphylacaceae,,Adinandra,,"acuminata",,"","Korth.",Accepted,,M,WCSP (in review),746594,828413-1,"Verh. Nat. Gesch. Ned. Bezitt., Bot.","109","","1841"
kew-2622737,A,Pentaphylacaceae,,Adinandra,,"acuta",,"","Korth.",Accepted,,M,WCSP (in review),746595,829749-1,"Verh. Nat. Gesch. Ned. Bezitt., Bot.","108","","1841"
kew-2622739,A,Pentaphylacaceae,,Adinandra,,"angulata",,"","Ridl.",Accepted,,M,WCSP (in review),746597,829751-1,"J. Linn. Soc., Bot.","38: 304","","1908"
kew-2606117,A,Pentaphylacaceae,,Adinandra,,"angustifolia",,"","(S.H.Chun ex H.G.Ye) B.M.Barthol. & T.L.Ming",Accepted,,M,WCSP (in review),730729,77088772-1,"in Fl. China","12: 477","","2007"
kew-2622741,A,Pentaphylacaceae,,Adinandra,,"anisobasis",,"","Kobuski",Accepted,,M,WCSP (in review),746599,829753-1,"J. Arnold Arbor.","34: 125","","1953"
kew-2622742,A,Pentaphylacaceae,,Adinandra,,"annamensis",,"","Gagnep. ex Kobuski",Accepted,,M,WCSP (in review),746600,,"J. Arnold Arbor.","28: 31","","1947"
kew-2622743,A,Pentaphylacaceae,,Adinandra,,"apoensis",,"","Elmer",Accepted,,M,WCSP (in review),746601,829755-1,"Leafl. Philipp. Bot.","8: 2833","","1915"
kew-2622744,A,Pentaphylacaceae,,Adinandra,,"argentifolia",,"","Sugau",Accepted,,M,WCSP (in review),746602,77072802-1,"Sandakania","16: 5","","2005"
kew-2622745,A,Pentaphylacaceae,,Adinandra,,"auriformis",,"","L.K.Ling & S.X.Liang",Accepted,,M,WCSP (in review),746603,1017250-1,"in Fl. Reipubl. Popul. Sin.","50(1): 190","","1998"
kew-2622747,A,Pentaphylacaceae,,Adinandra,,"bicuspidata",,"","Kobuski",Accepted,,M,WCSP (in review),746605,829757-1,"J. Arnold Arbor.","28: 90","","1947"
kew-2622748,A,Pentaphylacaceae,,Adinandra,,"bockiana",,"","E.Pritz. ex Diels",Accepted,,M,WCSP (in review),746606,828415-1,"Bot. Jahrb. Syst.","29: 474","","1900"
kew-2622750,A,Pentaphylacaceae,,Adinandra,,"borneensis",,"","Kobuski",Accepted,,M,WCSP (in review),746608,829758-1,"J. Arnold Arbor.","28: 81","","1947"
kew-2622752,A,Pentaphylacaceae,,Adinandra,,"brassii",,"","Kobuski",Accepted,,M,WCSP (in review),746610,829760-1,"J. Arnold Arbor.","21: 150","","1940"
kew-2622753,A,Pentaphylacaceae,,Adinandra,,"brefeldii",,"","Koord.",Accepted,,M,WCSP (in review),746611,828416-1,"Meded. Lands Plantentuin","19: 349","","1898"
kew-2622754,A,Pentaphylacaceae,,Adinandra,,"calciphila",,"","Sugau",Accepted,,M,WCSP (in review),746612,77072803-1,"Sandakania","16: 5","","2005"
kew-2622756,A,Pentaphylacaceae,,Adinandra,,"caudata",,"","Gagnep. ex Kobuski",Accepted,,M,WCSP (in review),746614,,"J. Arnold Arbor.","28: 31","","1947"
kew-2622758,A,Pentaphylacaceae,,Adinandra,,"celebica",,"","Koord.",Accepted,,M,WCSP (in review),746616,828417-1,"Meded. Lands Plantentuin","19: 350","","1898"
