ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-37333,A,Peraceae,,Chaetocarpus,,"acutifolius",,"","(Britton & P.Wilson) Borhidi",Accepted,,H,WCSP,37333,54056-2,"Acta Bot. Acad. Sci. Hung.","25: 18","","1979"
kew-37334,A,Peraceae,,Chaetocarpus,,"africanus",,"","Pax",Accepted,,H,WCSP,37334,340502-1,"Bot. Jahrb. Syst.","19: 113","","1894"
kew-37336,A,Peraceae,,Chaetocarpus,,"castanocarpus",,"","(Roxb.) Thwaites",Accepted,,H,WCSP,37336,340504-1,"Enum. Pl. Zeyl.","275","","1861"
kew-37339,A,Peraceae,,Chaetocarpus,,"cordifolius",,"","(Urb.) Borhidi",Accepted,,H,WCSP,37339,54058-2,"Acta Bot. Acad. Sci. Hung.","25: 18","","1979"
kew-37340,A,Peraceae,,Chaetocarpus,,"coriaceus",,"","Thwaites",Accepted,,H,WCSP,37340,340506-1,"Enum. Pl. Zeyl.","275","","1861"
kew-37341,A,Peraceae,,Chaetocarpus,,"cubensis",,"","Fawc. & Rendle",Accepted,,H,WCSP,37341,54059-2,"J. Bot.","57: 312","","1919"
kew-37343,A,Peraceae,,Chaetocarpus,,"echinocarpus",,"","(Baill.) Ducke",Accepted,,H,WCSP,37343,54061-2,"Arq. Serv. Florest.","1: 32","","1939"
kew-37344,A,Peraceae,,Chaetocarpus,,"ferrugineus",,"","Philcox",Accepted,,H,WCSP,37344,981589-1,"Kew Bull.","50: 121","","1995"
kew-232849,A,Peraceae,,Chaetocarpus,,"gabonensis",,"","Breteler",Accepted,,H,WCSP,232849,20010532-1,"Adansonia","III, 24: 221","","2002"
kew-37345,A,Peraceae,,Chaetocarpus,,"globosus",,"","(Sw.) Fawc. & Rendle",Accepted,,H,WCSP,37345,54062-2,"J. Bot.","57: 312","","1919"
kew-37346,A,Peraceae,,Chaetocarpus,,"globosus",subsp.,"globosus","",Accepted,,L,WCSP,37346,,"Unknown","","",""
kew-37348,A,Peraceae,,Chaetocarpus,,"globosus",subsp.,"oblongatus","(Alain) Borhidi",Accepted,,L,WCSP,37348,,"Acta Bot. Acad. Sci. Hung.","25: 17","","1979"
kew-37351,A,Peraceae,,Chaetocarpus,,"myrsinites",,"","Baill.",Accepted,,H,WCSP,37351,340511-1,"Adansonia","11: 95","","1873"
kew-37357,A,Peraceae,,Chaetocarpus,,"parvifolius",,"","Borhidi",Accepted,,H,WCSP,37357,54069-2,"Acta Bot. Hung.","29: 184","","1983"
kew-37358,A,Peraceae,,Chaetocarpus,,"pearcei",,"","Rusby",Accepted,,H,WCSP,37358,54070-2,"Bull. New York Bot. Gard.","8: 102","","1912"
kew-37362,A,Peraceae,,Chaetocarpus,,"pubescens",,"","(Thwaites) Hook.f.",Accepted,,H,WCSP,37362,340515-1,"Fl. Brit. India","5: 461","","1887"
kew-37364,A,Peraceae,,Chaetocarpus,,"rabaraba",,"","Capuron",Accepted,,H,WCSP,37364,340517-1,"Adansonia","n.s., 12: 209","","1972"
kew-37365,A,Peraceae,,Chaetocarpus,,"schomburgkianus",,"","(Kuntze) Pax & K.Hoffm.",Accepted,,H,WCSP,37365,54072-2,"Pflanzenr.","IV, 147, IV: 10","","1912"
kew-43853,A,Peraceae,,Clutia,,"abyssinica",,"","Jaub. & Spach",Accepted,,H,WCSP,43853,341499-1,"Ill. Pl. Orient.","5: 77","","1855"
kew-43854,A,Peraceae,,Clutia,,"abyssinica",var.,"abyssinica","",Accepted,,L,WCSP,43854,,"Unknown","","",""
kew-43860,A,Peraceae,,Clutia,,"abyssinica",var.,"pedicellaris","(Pax) Pax",Accepted,,L,WCSP,43860,,"Pflanzenr.","IV, 147, III: 57","","1911"
kew-43861,A,Peraceae,,Clutia,,"abyssinica",var.,"usambarica","Pax & K.Hoffm.",Accepted,,L,WCSP,43861,,"Pflanzenr.","IV, 147, III: 57","","1911"
kew-43865,A,Peraceae,,Clutia,,"affinis",,"","Sond.",Accepted,,H,WCSP,43865,341503-1,"Linnaea","23: 126","","1850"
kew-43868,A,Peraceae,,Clutia,,"africana",,"","Poir.",Accepted,,H,WCSP,43868,341504-1,"Encycl.","Suppl. 2: 302","","1811"
kew-43869,A,Peraceae,,Clutia,,"alaternoides",,"","L.",Accepted,,H,WCSP,43869,341505-1,"Sp. Pl.","1042","","1753"
kew-43893,A,Peraceae,,Clutia,,"alpina",,"","Prain",Accepted,,H,WCSP,43893,341506-1,"Bull. Misc. Inform. Kew","1913: 403","","1913"
kew-43897,A,Peraceae,,Clutia,,"angustifolia",,"","Knauf",Accepted,,H,WCSP,43897,341510-1,"Bot. Jahrb. Syst.","30: 340","","1901"
