ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2674788,A,Phrymaceae,,Berendtiella,,"coulteri",,"","(A.Gray) Thieret",Accepted,,M,WCSP (in review),798251,31589-2,"Ceiba","4: 305","","1955"
kew-2674789,A,Phrymaceae,,Berendtiella,,"levigata",,"","(B.L.Rob. & Greenm.) Thieret",Accepted,,M,WCSP (in review),798252,31590-2,"Ceiba","4: 305","","1955"
kew-2674790,A,Phrymaceae,,Berendtiella,,"rugosa",,"","(Benth.) Thieret",Accepted,,M,WCSP (in review),798253,31591-2,"Ceiba","4: 305","","1955"
kew-2674791,A,Phrymaceae,,Berendtiella,,"spinulosa",,"","(S.Watson) Thieret",Accepted,,M,WCSP (in review),798254,31592-2,"Ceiba","4: 305","","1955"
kew-2773621,A,Phrymaceae,,Dodartia,,"orientalis",,"","L.",Accepted,,M,WCSP (in review),893497,802155-1,"Sp. Pl.","633","","1753"
kew-2784965,A,Phrymaceae,,Elacholoma,,"hornii",,"","F.Muell. & Tate",Accepted,,M,WCSP (in review),904724,675813-1,"Victoria Naturalist","12: 14","","1895"
kew-2826973,A,Phrymaceae,,Glossostigma,,"cleistanthum",,"","W.R.Barker",Accepted,,M,WCSP (in review),946235,961487-1,"J. Adelaide Bot. Gard.","15: 72","","1992"
kew-2826974,A,Phrymaceae,,Glossostigma,,"diandrum",,"","(L.) Kuntze",Accepted,,M,WCSP (in review),946236,803375-1,"Revis. Gen. Pl.","2: 461","","1891"
kew-2826975,A,Phrymaceae,,Glossostigma,,"drummondii",,"","Benth.",Accepted,,L,WCSP (in review),946237,803376-1,"Prodr.","10: 426","","1846"
kew-2826976,A,Phrymaceae,,Glossostigma,,"elatinoides",,"","(Benth.) Hook.f.",Accepted,,M,WCSP (in review),946238,127723-3,"Fl. Nov.-Zel.","1: 189","","1853"
kew-2826978,A,Phrymaceae,,Glossostigma,,"submersum",,"","Petrie",Accepted,,M,WCSP (in review),946240,803379-1,"Trans. & Proc. New Zealand Inst.","23: 401","","1896 publ. 1897"
kew-2826979,A,Phrymaceae,,Glossostigma,,"trichodes",,"","F.Muell.",Accepted,,M,WCSP (in review),946241,803380-1,"Victoria Naturalist","9: 128","","1892"
tro-29201976,A,Phrymaceae,,Hemichaena,,"fruticosa",,"","Benth.",Accepted,,M,TRO,29201976,321623-2,"Pl. Hartw.","78","78","1841"
tro-29204505,A,Phrymaceae,,Hemichaena,,"rugosa",,"","(Benth.) Thieret",Accepted,,M,TRO,29204505,120048-2,"Fieldiana, Bot.","34(7): 96","96","1972"
tro-29208209,A,Phrymaceae,,Lancea,,"hirsuta",,"","Bonati",Accepted,,M,TRO,29208209,804208-1,"Société Botanique de France","56: 467","467","1909"
tro-29208208,A,Phrymaceae,,Lancea,,"tibetica",,"","Hook. f. & Thomson",Accepted,,M,TRO,29208208,804209-1,"Hooker's J. Bot. Kew Gard. Misc.","9: 244, pl. 7","244","1857"
kew-2497718,A,Phrymaceae,,Leucocarpus,,"perfoliatus",,"","(Kunth) Benth.",Accepted,,M,WCSP (in review),625291,1026683-2,"Prodr.","10: 335","","1846"
tro-50089128,A,Phrymaceae,,Mazus,,"alpinus",,"","Masam.",Accepted,,M,TRO,50089128,805529-1,"J. Soc. Trop. Agric.","2: 153","153","1930"
tro-29208362,A,Phrymaceae,,Mazus,,"caducifer",,"","Hance",Accepted,,M,TRO,29208362,805533-1,"J. Bot.","20(238): 292","292","1882"
tro-29208378,A,Phrymaceae,,Mazus,,"celsioides",,"","Hand.-Mazz.",Accepted,,M,TRO,29208378,805535-1,"Symb. Sin.","7(4): 833-834, pl. 25, f. 9","833","1936"
tro-29208374,A,Phrymaceae,,Mazus,,"fauriei",,"","Bonati",Accepted,,M,TRO,29208374,805543-1,"Bull. Herb. Boissier, sér. 2,","2(8): 537-538, f. s.n. A","537","1908"
tro-29208341,A,Phrymaceae,,Mazus,,"fukienensis",,"","Tsoong",Accepted,,M,TRO,29208341,805544-1,"Kew Bull.","9(3): 445","445","1954"
tro-29208351,A,Phrymaceae,,Mazus,,"gracilis",,"","Hemsl.",Accepted,,M,TRO,29208351,805546-1,"J. Linn. Soc., Bot.","26(174): 181","181","1890"
tro-29208342,A,Phrymaceae,,Mazus,,"henryi",,"","Tsoong",Accepted,,M,TRO,29208342,805548-1,"Kew Bull.","9(3): 444","444","1954"
tro-29208371,A,Phrymaceae,,Mazus,,"humilis",,"","Hand.-Mazz.",Accepted,,M,TRO,29208371,805549-1,"Akad. Wiss. Wien, Math.-Naturwiss. Kl., Anz.","63: 11","11","1926"
tro-29200079,A,Phrymaceae,,Mazus,,"japonicus",,"","(Thunb.) Kuntze",Accepted,,M,TRO,29200079,805550-1,"Revis. Gen. Pl.","2: 462","462","1891"
