ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2680,A,Phyllanthaceae,,Actephila,,"albidula",,"","Gagnep.",Accepted,,H,WCSP,2680,337994-1,"Bull. Soc. Bot. France","71: 566","","1924"
kew-2681,A,Phyllanthaceae,,Actephila,,"anthelminthica",,"","Gagnep.",Accepted,,H,WCSP,2681,337995-1,"Bull. Soc. Bot. France","72: 458","","1925"
kew-2682,A,Phyllanthaceae,,Actephila,,"aurantiaca",,"","Ridl.",Accepted,,H,WCSP,2682,337997-1,"Bull. Misc. Inform. Kew","1923: 360","","1923"
kew-343464,A,Phyllanthaceae,,Actephila,,"bella",,"","P.I.Forst.",Accepted,,H,WCSP,343464,60442361-2,"Austrobaileya","7: 65","","2005"
kew-343465,A,Phyllanthaceae,,Actephila,,"championiae",,"","P.I.Forst.",Accepted,,H,WCSP,343465,60442362-2,"Austrobaileya","7: 66","","2005"
kew-2684,A,Phyllanthaceae,,Actephila,,"collinsiae",,"","Hunter ex Craib",Accepted,,H,WCSP,2684,,"Bull. Misc. Inform. Kew","1923: 96","","1924"
kew-2685,A,Phyllanthaceae,,Actephila,,"daii",,"","Yhin",Accepted,,H,WCSP,2685,,"J. Biol. (Vietnam)","9: 39","","1987"
kew-2688,A,Phyllanthaceae,,Actephila,,"dolichopoda",,"","Airy Shaw",Accepted,,H,WCSP,2688,338002-1,"Kew Bull.","32: 380","","1978"
kew-2689,A,Phyllanthaceae,,Actephila,,"excelsa",,"","(Dalzell) Müll.Arg.",Accepted,,H,WCSP,2689,338003-1,"Linnaea","32: 78","","1863"
kew-2691,A,Phyllanthaceae,,Actephila,,"excelsa",var.,"excelsa","",Accepted,,L,WCSP,2691,,"Unknown","","",""
kew-2693,A,Phyllanthaceae,,Actephila,,"excelsa",var.,"javanica","(Miq.) Pax & K.Hoffm.",Accepted,,L,WCSP,2693,,"Pflanzenr.","IV, 147, XV: 192","","1922"
kew-2694,A,Phyllanthaceae,,Actephila,,"excelsa",var.,"puberula","(Kurz) Pax & K.Hoffm.",Accepted,,L,WCSP,2694,,"Pflanzenr.","IV, 147, XV: 193","","1922"
kew-343466,A,Phyllanthaceae,,Actephila,,"flavescens",,"","P.I.Forst.",Accepted,,H,WCSP,343466,60442363-2,"Austrobaileya","7: 68","","2005"
kew-2698,A,Phyllanthaceae,,Actephila,,"foetida",,"","Domin",Accepted,,H,WCSP,2698,338005-1,"Biblioth. Bot.","89: 315","","1927"
kew-2701,A,Phyllanthaceae,,Actephila,,"grandifolia",,"","(Müll.Arg.) Baill.",Accepted,,H,WCSP,2701,338008-1,"Adansonia","6: 330","","1866"
kew-2704,A,Phyllanthaceae,,Actephila,,"latifolia",,"","Benth.",Accepted,,H,WCSP,2704,338011-1,"Fl. Austral.","6: 89","","1873"
kew-2705,A,Phyllanthaceae,,Actephila,,"lindleyi",,"","(Steud.) Airy Shaw",Accepted,,H,WCSP,2705,338012-1,"Kew Bull.","25: 496","","1971"
kew-2706,A,Phyllanthaceae,,Actephila,,"longipedicellata",,"","(Merr.) Croizat",Accepted,,H,WCSP,2706,338013-1,"J. Arnold Arbor.","23: 29","","1942"
kew-2707,A,Phyllanthaceae,,Actephila,,"macrantha",,"","Gagnep.",Accepted,,H,WCSP,2707,338014-1,"Bull. Soc. Bot. France","72: 459","","1925"
kew-2710,A,Phyllanthaceae,,Actephila,,"mearsii",,"","C.T.White",Accepted,,H,WCSP,2710,338018-1,"Proc. Roy. Soc. Queensland","50: 85","","1938"
kew-2712,A,Phyllanthaceae,,Actephila,,"merrilliana",,"","Chun",Accepted,,H,WCSP,2712,338020-1,"Sunyatsenia","3: 26","","1935"
kew-2717,A,Phyllanthaceae,,Actephila,,"nitidula",,"","Gagnep.",Accepted,,H,WCSP,2717,338025-1,"Bull. Soc. Bot. France","71: 566","","1924"
kew-2718,A,Phyllanthaceae,,Actephila,,"ovalis",,"","(Ridl.) Gage",Accepted,,H,WCSP,2718,338026-1,"Rec. Bot. Surv. India","9: 219","","1922"
kew-2719,A,Phyllanthaceae,,Actephila,,"petiolaris",,"","Benth.",Accepted,,H,WCSP,2719,338027-1,"Fl. Austral.","6: 89","","1873"
kew-2720,A,Phyllanthaceae,,Actephila,,"pierrei",,"","Gagnep.",Accepted,,H,WCSP,2720,,"Bull. Soc. Bot. France","71: 567","","1924"
kew-2721,A,Phyllanthaceae,,Actephila,,"platysepala",,"","Gagnep.",Accepted,,H,WCSP,2721,338029-1,"Bull. Soc. Bot. France","71: 567","","1924"
kew-343469,A,Phyllanthaceae,,Actephila,,"plicata",,"","P.I.Forst.",Accepted,,H,WCSP,343469,60442366-2,"Austrobaileya","7: 83","","2005"
kew-2725,A,Phyllanthaceae,,Actephila,,"sessilifolia",,"","Benth.",Accepted,,H,WCSP,2725,338033-1,"Fl. Austral.","6: 90","","1873"
kew-2727,A,Phyllanthaceae,,Actephila,,"subsessilis",,"","Gagnep.",Accepted,,H,WCSP,2727,338035-1,"Bull. Soc. Bot. France","71: 569","","1924"
kew-343470,A,Phyllanthaceae,,Actephila,,"traceyi",,"","P.I.Forst.",Accepted,,H,WCSP,343470,60442367-2,"Austrobaileya","7: 87","","2005"
kew-2729,A,Phyllanthaceae,,Actephila,,"trichogyna",,"","Airy Shaw",Accepted,,H,WCSP,2729,338037-1,"Kew Bull.","25: 499","","1971"
kew-343471,A,Phyllanthaceae,,Actephila,,"venusta",,"","P.I.Forst.",Accepted,,H,WCSP,343471,60442368-2,"Austrobaileya","7: 89","","2005"
