ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-4569,A,Phytolaccaceae,,Agdestis,,"clematidea",,"","Moc. & Sessé ex DC.",Accepted,,H,WCSP,4569,323287-2,"Syst. Nat.","1: 543","","1818"
kew-2640259,A,Phytolaccaceae,,Anisomeria,,"chilensis",,"","(Miers) H.Walter",Accepted,,M,WCSP (in review),763945,14016-2,"Pflanzenr.","IV, 83: 33","","1909"
kew-2640260,A,Phytolaccaceae,,Anisomeria,,"coriacea",,"","D.Don",Accepted,,M,WCSP (in review),763946,676185-1,"Edinburgh New Philos. J.","13: 238","","1832"
kew-2640263,A,Phytolaccaceae,,Anisomeria,,"densiflora",,"","H.Walter",Accepted,,M,WCSP (in review),763949,14019-2,"Pflanzenr.","IV, 83: 32","","1909"
kew-2640265,A,Phytolaccaceae,,Anisomeria,,"fruticosa",,"","Phil.",Accepted,,M,WCSP (in review),763951,676188-1,"Linnaea","29: 38","","1857"
kew-2791940,A,Phytolaccaceae,,Ercilla,,"spicata",,"","(Vertero) Moq.",Accepted,,M,WCSP (in review),911538,676208-1,"Prodr.","13(2): 35","","1849"
kew-2791941,A,Phytolaccaceae,,Ercilla,,"syncarpellata",,"","Nowicke",Accepted,,M,WCSP (in review),911539,93293-2,"Ann. Missouri Bot. Gard.","55: 303","","1969"
kew-2816460,A,Phytolaccaceae,,Gallesia,,"integrifolia",,"","(Spreng.) Harms",Accepted,,M,WCSP (in review),935738,676216-1,"Nat. Pflanzenfam. ed. 2","16c: 144","","1934"
kew-2850925,A,Phytolaccaceae,,Hilleria,,"latifolia",,"","(Lam.) H.Walter",Accepted,,M,WCSP (in review),970014,122647-2,"Pflanzenr.","IV, 83: 81","","1909"
tro-24800009,A,Phytolaccaceae,,Hilleria,,"longifolia",,"","(H. Walter) Heimerl",Accepted,,M,TRO,24800009,,"Nat. Pflanzenfam. (ed. 2)","16c: 151","151","1934"
kew-2850929,A,Phytolaccaceae,,Hilleria,,"secunda",,"","(Ruiz & Pav.) Kuntze",Accepted,,M,WCSP (in review),970018,1170221-2,"Revis. Gen. Pl.","2: 551","","1891"
tro-24800203,A,Phytolaccaceae,,Ledenbergia,,"macrantha",,"","Standl.",Accepted,,M,TRO,24800203,136985-2,"J. Wash. Acad. Sci.","13(15): 350","350","1923"
tro-24800083,A,Phytolaccaceae,,Ledenbergia,,"peruviana",,"","O.C. Schmidt",Accepted,,M,TRO,24800083,136986-2,"Notizbl. Bot. Gart. Berlin-Dahlem","8(74): 313","313","1923"
