ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2631685,A,Picramniaceae,,Alvaradoa,,"amorphoides",,"","Liebm.",Accepted,,M,WCSP (in review),755408,781999-1,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn","1853: 101","","1853"
kew-2631686,A,Picramniaceae,,Alvaradoa,,"amorphoides",subsp.,"psilophylla","(Urb.) Cronquist",Accepted,,L,WCSP (in review),755409,,"Brittonia","5: 135","","1944"
kew-2631689,A,Picramniaceae,,Alvaradoa,,"arborescens",,"","Griseb.",Accepted,,M,WCSP (in review),755412,782000-1,"Cat. Pl. Cub.","50","","1866"
kew-2631690,A,Picramniaceae,,Alvaradoa,,"haitiensis",,"","Urb.",Accepted,,M,WCSP (in review),755413,10503-2,"Symb. Antill.","5: 379","","1908"
kew-2631691,A,Picramniaceae,,Alvaradoa,,"jamaicensis",,"","Benth.",Accepted,,M,WCSP (in review),755414,782001-1,"Pl. Hartw.","344","","1857"
kew-2631692,A,Picramniaceae,,Alvaradoa,,"lewisii",,"","R.A.Howard & Proctor",Accepted,,M,WCSP (in review),755415,10504-2,"J. Arnold Arbor.","39: 102","","1958"
kew-2631696,A,Picramniaceae,,Alvaradoa,,"subovata",,"","Cronquist",Accepted,,M,WCSP (in review),755419,10507-2,"Brittonia","5: 134","","1944"
tro-29400110,A,Picramniaceae,,Picramnia,,"antidesma",,"","Sw.",Accepted,,M,TRO,29400110,813869-1,"Prodr.","27","27","1788"
tro-29400195,A,Picramniaceae,,Picramnia,,"antidesma",subsp.,"fessonia","(DC.) W.W. Thomas",Accepted,,L,TRO,29400195,,"Brittonia","40(1): 91","91","1988"
kew-2549095,A,Picramniaceae,,Picramnia,,"antidesmoides",,"","Griseb.",Accepted,,M,WCSP (in review),676125,813870-1,"Fl. Brit. W. I.","140","","1859"
tro-29400192,A,Picramniaceae,,Picramnia,,"bullata",,"","W. Thomas",Accepted,,M,TRO,29400192,282801-2,"Brittonia","42(3): 171-174","171","1990"
kew-2549094,A,Picramniaceae,,Picramnia,,"caracasana",,"","Engl.",Accepted,,M,WCSP (in review),676124,813878-1,"Fl. Bras.","12(2): 236","","1874"
tro-29400193,A,Picramniaceae,,Picramnia,,"deflexa",,"","W.W. Thomas",Accepted,,M,TRO,29400193,282802-2,"Brittonia","40(1): 92-96, f. 2","92","1988"
tro-29400225,A,Picramniaceae,,Picramnia,,"dolichobotrya",,"","Diels",Accepted,,M,TRO,29400225,195959-2,"Biblioth. Bot.","116: 100","100","1937"
tro-50184508,A,Picramniaceae,,Picramnia,,"excelsa",,"","Kuhlm. ex Pirani",Accepted,,M,TRO,50184508,282804-2,"Bol. Bot. Univ. São Paulo","10: 8","8","1988"
kew-2549136,A,Picramniaceae,,Picramnia,,"ferrea",,"","Pirani & W.W.Thomas",Accepted,,M,WCSP (in review),676165,282805-2,"Bol. Mus. Paraense ""Emilio Goeldi"", N.S., Bot.","4(2): 272","","1988"
kew-2549145,A,Picramniaceae,,Picramnia,,"gracilis",,"","Tul.",Accepted,,M,WCSP (in review),676174,813896-1,"Ann. Sci. Nat., Bot.","III, 7: 260","","1847"
kew-2549143,A,Picramniaceae,,Picramnia,,"grandifolia",,"","Engl.",Accepted,,M,WCSP (in review),676172,813897-1,"Fl. Bras.","12(2): 235","","1874"
tro-29400206,A,Picramniaceae,,Picramnia,,"guerrerensis",,"","W.W. Thomas",Accepted,,M,TRO,29400206,282807-2,"Brittonia","40(1): 96-99, f. 3","96","1988"
tro-50184503,A,Picramniaceae,,Picramnia,,"guianensis",,"","(Aubl.) Jans.-Jac.",Accepted,,M,TRO,50184503,195964-2,"Fl. Suriname","5(1): 329","329","1979"
tro-29400207,A,Picramniaceae,,Picramnia,,"hirsuta",,"","W.W. Thomas",Accepted,,M,TRO,29400207,282808-2,"Brittonia","40(1): 99-101, f. 4","99","1988"
kew-2549124,A,Picramniaceae,,Picramnia,,"juniniana",,"","J.F.Macbr.",Accepted,,M,WCSP (in review),676153,195965-2,"Candollea","5: 374","","1934"
tro-29400095,A,Picramniaceae,,Picramnia,,"killipii",,"","J.F. Macbr.",Accepted,,M,TRO,29400095,195966-2,"Field Mus. Nat. Hist., Bot. Ser.","13(3/2): 698","698","1949"
kew-2549120,A,Picramniaceae,,Picramnia,,"latifolia",,"","Tul.",Accepted,,M,WCSP (in review),676149,813902-1,"Ann. Sci. Nat., Bot.","III, 7: 258","","1847"
