ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-8992,A,Picrodendraceae,,Androstachys,,"johnsonii",,"","Prain",Accepted,,H,WCSP,8992,338703-1,"Bull. Misc. Inform. Kew","1908: 439","","1908"
kew-330008,A,Picrodendraceae,,Aristogeitonia,,"gabonica",,"","Breteler",Accepted,,H,WCSP,330008,77063638-1,"Adansonia","III, 26: 168","","2004"
kew-15850,A,Picrodendraceae,,Aristogeitonia,,"limoniifolia",,"","Prain",Accepted,,H,WCSP,15850,339492-1,"Bull. Misc. Inform. Kew","1908: 438","","1908"
kew-15851,A,Picrodendraceae,,Aristogeitonia,,"lophirifolia",,"","Radcl.-Sm.",Accepted,,H,WCSP,15851,935683-1,"Kew Bull.","43: 629","","1988"
kew-15852,A,Picrodendraceae,,Aristogeitonia,,"magnistipula",,"","Radcl.-Sm.",Accepted,,H,WCSP,15852,992401-1,"Kew Bull.","51: 801","","1996"
kew-15853,A,Picrodendraceae,,Aristogeitonia,,"monophylla",,"","Airy Shaw",Accepted,,H,WCSP,15853,339493-1,"Kew Bull.","26: 495","","1972"
kew-15854,A,Picrodendraceae,,Aristogeitonia,,"perrieri",,"","(Leandri) Radcl.-Sm.",Accepted,,H,WCSP,15854,945771-1,"Kew Bull.","43: 627","","1988"
kew-15855,A,Picrodendraceae,,Aristogeitonia,,"uapacifolia",,"","Radcl.-Sm.",Accepted,,H,WCSP,15855,1004881-1,"Kew Bull.","53: 978","","1998 publ. 1999"
kew-18330,A,Picrodendraceae,,Austrobuxus,,"alticola",,"","McPherson",Accepted,,H,WCSP,18330,905717-1,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","6: 461","","1984 publ. 1985"
kew-18332,A,Picrodendraceae,,Austrobuxus,,"brevipes",,"","Airy Shaw",Accepted,,H,WCSP,18332,339564-1,"Kew Bull.","33: 41","","1978"
kew-18334,A,Picrodendraceae,,Austrobuxus,,"carunculatus",,"","(Baill.) Airy Shaw",Accepted,,H,WCSP,18334,339566-1,"Kew Bull.","25: 507","","1971"
