ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-50207900,A,Piperaceae,,Artanthe,,"lapathifolia",,"","(Kunth) Miq.",Accepted,,M,TRO,50207900,677421-1,"Syst. Piperac.","401","401","1844"
tro-50207905,A,Piperaceae,,Artanthe,,"lucaeanum",,"","(Kunth) Miq.",Accepted,,M,TRO,50207905,677433-1,"Syst. Piperac.","523","523","1844"
tro-50293636,A,Piperaceae,,Artanthe,,"microstachyum",,"","(Vahl) Miq.",Accepted,,M,TRO,50293636,677451-1,"Syst. Piperac.","527","527","1843"
tro-100356160,A,Piperaceae,,Lindeniopiper,,"lindenii",,"","(Miq.) Trel.",Accepted,,M,TRO,100356160,140500-2,"Proc. Amer. Philos. Soc.","68: 53","53","1929"
tro-100354991,A,Piperaceae,,Macropiper,,"latifolium",,"","(L. f.) Miq.",Accepted,,M,TRO,100354991,,"","","",""
tro-50299714,A,Piperaceae,,Manekia,,"incurva",,"","(Sieber ex Schult.) T. Arias, Callejas & Bornst.",Accepted,,M,TRO,50299714,60443067-2,"Novon","16(2): 206","206","2006"
tro-50263998,A,Piperaceae,,Manekia,,"naranjoana",,"","(C. DC.) Callejas",Accepted,,M,TRO,50263998,60440995-2,"Monogr. Syst. Bot. Missouri Bot. Gard.","97: 121","121","2004"
tro-50299718,A,Piperaceae,,Manekia,,"obtusa",,"","(Miq.) T. Arias, Callejas & Bornst.",Accepted,,M,TRO,50299718,60443070-2,"Novon","16(2): 206","206","2006"
tro-50299719,A,Piperaceae,,Manekia,,"sydowii",,"","(Trel.) T. Arias, Callejas & Bornst.",Accepted,,M,TRO,50299719,60443071-2,"Novon","16(2): 207","207","2006"
kew-2510976,A,Piperaceae,,Manekia,,"venezuelana",,"","(Steyerm.) T.Arias, Callejas & Bornst.",Accepted,,M,WCSP (in review),638399,60443072-2,"Novon","16: 207","","2006"
tro-50237571,A,Piperaceae,,Ottonia,,"frutescens",,"","(C. DC.) Trel.",Accepted,,M,TRO,50237571,177425-2,"Proc. Amer. Philos. Soc.","75: 703","703","1935"
tro-50292697,A,Piperaceae,,Ottonia,,"glaucescens",,"","(Jacq.) Endl.",Accepted,,M,TRO,50292697,941573-1,"Cat. Horti Vindob.","1: 225","225","1842"
