ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2666340,A,Pittosporaceae,,Auranticarpa,,"edentata",,"","L.W.Cayzer, Crisp & I.Telford",Accepted,,M,WCSP (in review),789967,1018122-1,"Austral. Syst. Bot.","13: 908","","2000"
kew-2666341,A,Pittosporaceae,,Auranticarpa,,"ilicifolia",,"","L.W.Cayzer, Crisp & I.Telford",Accepted,,M,WCSP (in review),789968,1018124-1,"Austral. Syst. Bot.","13: 912","","2000"
kew-2666342,A,Pittosporaceae,,Auranticarpa,,"melanosperma",,"","(F.Muell.) L.W.Cayzer, Crisp & I.Telford",Accepted,,M,WCSP (in review),789969,1018125-1,"Austral. Syst. Bot.","13: 914","","2000"
kew-2666343,A,Pittosporaceae,,Auranticarpa,,"papyracea",,"","L.W.Cayzer, Crisp & I.Telford",Accepted,,M,WCSP (in review),789970,1018123-1,"Austral. Syst. Bot.","13: 909","","2000"
kew-2666344,A,Pittosporaceae,,Auranticarpa,,"resinosa",,"","(Domin) L.W.Cayzer, Crisp & I.Telford",Accepted,,L,WCSP (in review),789971,1018126-1,"Austral. Syst. Bot.","13: 915","","2000"
kew-2666345,A,Pittosporaceae,,Auranticarpa,,"rhombifolia",,"","(A.Cunn. ex Hook.) L.W.Cayzer, Crisp & I.Telford",Accepted,,L,WCSP (in review),789972,1018121-1,"Austral. Syst. Bot.","13: 906","","2001"
kew-2673241,A,Pittosporaceae,,Bentleya,,"spinescens",,"","E.M.Benn.",Accepted,,M,WCSP (in review),796704,929408-1,"Nuytsia","5: 402","","1986"
kew-2675957,A,Pittosporaceae,,Billardiera,,"coriacea",,"","Benth.",Accepted,,M,WCSP (in review),799409,684250-1,"Fl. Austral.","1: 124","","1863"
kew-2675958,A,Pittosporaceae,,Billardiera,,"cymosa",,"","F.Muell.",Accepted,,M,WCSP (in review),799410,684252-1,"Trans. & Proc. Philos. Inst. Victoria","1: 29","","1855"
kew-2675959,A,Pittosporaceae,,Billardiera,,"cymosa",subsp.,"pseudocymosa","(Klatt) L.W.Cayzer & Crisp",Accepted,,L,WCSP (in review),799411,,"Austral. Syst. Bot.","17: 110","","2004"
kew-2675965,A,Pittosporaceae,,Billardiera,,"drummondii",,"","(C.Morren) L.W.Cayzer & Crisp",Accepted,,M,WCSP (in review),799417,60433394-2,"Austral. Syst. Bot.","17: 121","","2004"
kew-2675969,A,Pittosporaceae,,Billardiera,,"floribunda",,"","(Putt.) F.Muell.",Accepted,,M,WCSP (in review),799421,51081-3,"S. Sci. Rec.","2: 1","","1882"
kew-2675970,A,Pittosporaceae,,Billardiera,,"fraseri",,"","(Hook.) F.Muell.",Accepted,,M,WCSP (in review),799422,,"Pl. Victoria","1: 78","","1862"
kew-2675971,A,Pittosporaceae,,Billardiera,,"fusiformis",,"","Labill.",Accepted,,L,WCSP (in review),799423,684259-1,"Nov. Holl. Pl.","1: t. 90","","1805"
kew-2675976,A,Pittosporaceae,,Billardiera,,"heterophylla",,"","(Lindl.) L.W.Cayzer & Crisp",Accepted,,M,WCSP (in review),799428,60433393-2,"Austral. Syst. Bot.","17: 119","","2004"
kew-2675979,A,Pittosporaceae,,Billardiera,,"laxiflora",,"","(Benth.) E.M.Benn.",Accepted,,M,WCSP (in review),799431,684266-1,"Nuytsia","1: 266","","1972"
kew-2675980,A,Pittosporaceae,,Billardiera,,"lehmanniana",,"","F.Muell.",Accepted,,M,WCSP (in review),799432,684267-1,"Pl. Victoria","1: 78","","1862"
kew-2675981,A,Pittosporaceae,,Billardiera,,"longiflora",,"","Labill.",Accepted,,M,WCSP (in review),799433,684268-1,"Nov. Holl. Pl.","1: 64","","1805"
kew-2675984,A,Pittosporaceae,,Billardiera,,"macrantha",,"","Hook.f.",Accepted,,M,WCSP (in review),799436,684269-1,"Fl. Tasman.","1: 37","","1855"
kew-2675986,A,Pittosporaceae,,Billardiera,,"mutabilis",,"","Salisb.",Accepted,,M,WCSP (in review),799438,684271-1,"Parad. Lond.","t. 48","","1806"
kew-2675987,A,Pittosporaceae,,Billardiera,,"nesophila",,"","L.W.Cayzer & D.L.Jones",Accepted,,M,WCSP (in review),799439,60433389-2,"Austral. Syst. Bot.","17: 105","","2004"
kew-2675988,A,Pittosporaceae,,Billardiera,,"ovalis",,"","Lindl.",Accepted,,M,WCSP (in review),799440,684272-1,"Edwards's Bot. Reg.","20: t. 1719","","1834"
kew-2675991,A,Pittosporaceae,,Billardiera,,"procumbens",,"","(Hook.) E.M.Benn.",Accepted,,L,WCSP (in review),799443,684274-1,"Nuytsia","2: 187","","1978"
kew-2675996,A,Pittosporaceae,,Billardiera,,"rubens",,"","L.W.Cayzer, Crisp & I.Telford",Accepted,,M,WCSP (in review),799448,60433388-2,"Austral. Syst. Bot.","17: 95","","2004"
kew-2675998,A,Pittosporaceae,,Billardiera,,"scandens",,"","Sm.",Accepted,,M,WCSP (in review),799450,684279-1,"Exot. Bot.","1: t. 1","","1807"
kew-2676002,A,Pittosporaceae,,Billardiera,,"sericophora",,"","F.Muell.",Accepted,,M,WCSP (in review),799454,684281-1,"Linnaea","25: 371","","1852"
kew-2676004,A,Pittosporaceae,,Billardiera,,"speciosa",,"","(Endl.) F.Muell.",Accepted,,M,WCSP (in review),799456,51552-3,"Pl. Victoria","1: 78","","1862"
kew-2676005,A,Pittosporaceae,,Billardiera,,"uniflora",,"","E.M.Benn.",Accepted,,M,WCSP (in review),799457,684282-1,"Nuytsia","2: 190","","1978"
kew-2676006,A,Pittosporaceae,,Billardiera,,"variifolia",,"","DC.",Accepted,,M,WCSP (in review),799458,51577-3,"Prodr.","1: 346","","1824"
kew-2676008,A,Pittosporaceae,,Billardiera,,"venusta",,"","(Putt.) L.W.Cayzer & Crisp",Accepted,,M,WCSP (in review),799460,60433392-2,"Austral. Syst. Bot.","17: 115","","2004"
kew-2676009,A,Pittosporaceae,,Billardiera,,"versicolor",,"","F.Muell. ex Klatt",Accepted,,M,WCSP (in review),799461,684284-1,"Linnaea","28: 751","","1856"
kew-2676011,A,Pittosporaceae,,Billardiera,,"viridiflora",,"","L.W.Cayzer & D.L.Jones",Accepted,,M,WCSP (in review),799463,60433390-2,"Austral. Syst. Bot.","17: 105","","2004"
kew-2687428,A,Pittosporaceae,,Bursaria,,"calcicola",,"","L.W.Cayzer, Crisp & I.Telford",Accepted,,M,WCSP (in review),810752,1007914-1,"Austral. Syst. Bot.","12: 137","","1999"
kew-2687430,A,Pittosporaceae,,Bursaria,,"incana",,"","Lindl.",Accepted,,L,WCSP (in review),810754,79919-3,"J. Exped. Trop. Australia","224","","1848"
kew-2687437,A,Pittosporaceae,,Bursaria,,"longisepala",,"","Domin",Accepted,,M,WCSP (in review),810761,684290-1,"Biblioth. Bot.","89: 160","","1925"
kew-2687439,A,Pittosporaceae,,Bursaria,,"occidentalis",,"","E.M.Benn.",Accepted,,M,WCSP (in review),810763,684291-1,"Nuytsia","2: 194","","1978"
kew-2687442,A,Pittosporaceae,,Bursaria,,"reevesii",,"","L.W.Cayzer, Crisp & I.Telford",Accepted,,M,WCSP (in review),810766,1007915-1,"Austral. Syst. Bot.","12: 139","","1999"
kew-2687443,A,Pittosporaceae,,Bursaria,,"spinosa",,"","Cav.",Accepted,,M,WCSP (in review),810767,684293-1,"Icon.","4: 30","","1797"
kew-2687450,A,Pittosporaceae,,Bursaria,,"spinosa",subsp.,"lasiophylla","(E.M.Benn.) L.W.Cayzer, Crisp & I.Telford",Accepted,,L,WCSP (in review),810774,1007913-1,"Austral. Syst. Bot.","12: 129","","1999"
kew-2687458,A,Pittosporaceae,,Bursaria,,"tenuifolia",,"","F.M.Bailey",Accepted,,M,WCSP (in review),810782,684295-1,"Queensl. Fl.","1: 72","","1899"
tro-100363206,A,Pittosporaceae,,Campylanthera,,"frasei",,"","(Hook.) Hook.",Accepted,,M,TRO,100363206,,"Icon. Pl.","1: sub t. 82","sub t. 82","1837"
kew-2716191,A,Pittosporaceae,,Cheiranthera,,"alternifolia",,"","E.M.Benn.",Accepted,,M,WCSP (in review),838335,684301-1,"Nuytsia","2: 197","","1978"
kew-2606641,A,Pittosporaceae,,Cheiranthera,,"borealis",,"","(E.M.Benn.) L.W.Cayzer & Crisp",Accepted,,M,WCSP (in review),731146,77086733-1,"Austral. Syst. Bot.","20: 345","","2007"
kew-2716193,A,Pittosporaceae,,Cheiranthera,,"cyanea",,"","Brongn.",Accepted,,M,WCSP (in review),838337,64678-3,"Voy. Monde","t. 77","","1826"
kew-2716195,A,Pittosporaceae,,Cheiranthera,,"filifolia",,"","Turcz.",Accepted,,M,WCSP (in review),838339,684304-1,"Bull. Soc. Imp. Naturalistes Moscou","27(2): 364","","1854"
kew-2716196,A,Pittosporaceae,,Cheiranthera,,"filifolia",var.,"brevifolia","(F.Muell.) Benth.",Accepted,,L,WCSP (in review),838340,,"Fl. Austral.","1: 128","","1863"
kew-2716200,A,Pittosporaceae,,Cheiranthera,,"preissiana",,"","Putt.",Accepted,,M,WCSP (in review),838344,684307-1,"Pl. Preiss.","1: 201","","1845"
kew-2606642,A,Pittosporaceae,,Cheiranthera,,"simplicifolia",,"","(E.M.Benn.) L.W.Cayzer & Crisp",Accepted,,M,WCSP (in review),731147,77086709-1,"Austral. Syst. Bot.","20: 351","","2007"
kew-2606643,A,Pittosporaceae,,Cheiranthera,,"telfordii",,"","L.W.Cayzer & Crisp",Accepted,,M,WCSP (in review),731148,77086710-1,"Austral. Syst. Bot.","20: 352","","2007"
kew-2716203,A,Pittosporaceae,,Cheiranthera,,"volubilis",,"","Benth.",Accepted,,M,WCSP (in review),838347,684309-1,"Fl. Austral.","1: 128","","1863"
kew-2723741,A,Pittosporaceae,,Citriobatus,,"lancifolius",,"","F.M.Bailey",Accepted,,M,WCSP (in review),845827,684312-1,"Dept. Agric. Brisbane Bot. Bull.","7: 60","","1893"
kew-2723742,A,Pittosporaceae,,Citriobatus,,"linearis",,"","(F.M.Bailey) C.T.White",Accepted,,L,WCSP (in review),845828,684313-1,"Proc. Roy. Soc. Queensland","50: 66","","1938 publ. 1939"
kew-2723748,A,Pittosporaceae,,Citriobatus,,"papuanus",,"","Schodde",Accepted,,M,WCSP (in review),845834,684316-1,"Austral. J. Bot., Suppl. Ser.","3: 5","","1972"
kew-2723749,A,Pittosporaceae,,Citriobatus,,"pauciflorus",,"","A.Cunn. ex Benth.",Accepted,,M,WCSP (in review),845835,77091231-1,"Fl. Austral.","1: 122","","1863"
kew-2723751,A,Pittosporaceae,,Citriobatus,,"spinescens",,"","(F.Muell.) Druce",Accepted,,L,WCSP (in review),845837,684318-1,"Rep. Bot. Soc. Exch. Club Brit. Isles","1916: 615","","1917"
tro-50259439,A,Pittosporaceae,,Marianthus,,"bicolor",,"","(Putt.) F. Muell.",Accepted,,M,TRO,50259439,684328-1,"Fragm.","2: 78","78","1860"
tro-50259443,A,Pittosporaceae,,Marianthus,,"drummondianus",,"","(Putt.) Benth.",Accepted,,M,TRO,50259443,684334-1,"Fl. Austral.","1: 119","119","1863"
tro-50259446,A,Pittosporaceae,,Marianthus,,"granulatus",,"","(Turcz.) Benth.",Accepted,,M,TRO,50259446,684338-1,"Fl. Austral.","118","118","1863"
tro-50259448,A,Pittosporaceae,,Marianthus,,"microphyllus",,"","(Turcz.) Benth.",Accepted,,M,TRO,50259448,684341-1,"Fl. Austral.","1: 117","117","1863"
tro-50259450,A,Pittosporaceae,,Marianthus,,"mollis",,"","(E.M. Benn.) L.W. Cayzer & Crisp",Accepted,,L,TRO,50259450,60433396-2,"Austral. Syst. Bot.","14(1): 138-139","138","2004"
tro-50183599,A,Pittosporaceae,,Marianthus,,"ringens",,"","(J. Drumm. ex Harv.) F. Muell.",Accepted,,L,TRO,50183599,140331-3,"Fragm.","1: 218","218","1859"
tro-25100043,A,Pittosporaceae,,Pittosporum,,"acutisepalum",,"","(Hillebr.) Sherff",Accepted,,M,TRO,25100043,684362-1,"Publ. Field Mus. Nat. Hist., Bot. Ser.","22: 409","409","1941"
tro-50230481,A,Pittosporaceae,,Pittosporum,,"angustilimbum",,"","C.Y. Wu",Accepted,,M,TRO,50230481,928639-1,"Fl. Yunnan.","3: 328","328","1983"
tro-25100232,A,Pittosporaceae,,Pittosporum,,"balansae",,"","Aug. DC.",Accepted,,M,TRO,25100232,684377-1,"Bull. Herb. Boissier, sér. 2,","4: 1071","1071","1904"
tro-25100276,A,Pittosporaceae,,Pittosporum,,"balansae",var.,"angustifolium","Gagnep.",Accepted,,L,TRO,25100276,,"Fl. Indo-Chine","1: 215","215","1939"
tro-50009115,A,Pittosporaceae,,Pittosporum,,"balansae",var.,"balansae","",Accepted,,L,TRO,50009115,,"","","",""
tro-50215229,A,Pittosporaceae,,Pittosporum,,"balansae",var.,"chatterjeeanum","(Gowda) Zhi Y. Zhang & Turland",Accepted,,L,TRO,50215229,20005502-1,"Novon","12(1): 152","152","2002"
tro-25100165,A,Pittosporaceae,,Pittosporum,,"bicolor",,"","Hook.",Accepted,,M,TRO,25100165,684384-1,"J. Bot. (Hooker)","1: 249","249","1834"
tro-25100295,A,Pittosporaceae,,Pittosporum,,"brevicalyx",,"","(Oliv.) Gagnep.",Accepted,,M,TRO,25100295,684393-1,"Bull. Soc. Bot. France","55(7): 545","545","1908"
kew-2571017,A,Pittosporaceae,,Pittosporum,,"cacondense",,"","Exell & Mendonça",Accepted,,M,WCSP (in review),696323,684396-1,"J. Bot.","74(Suppl.): 16","","1936"
tro-50220350,A,Pittosporaceae,,Pittosporum,,"coccineum",,"","(Montr.) Beauvis.",Accepted,,L,TRO,50220350,,"Gen. Montrouz.","7","7","1901"
tro-25100200,A,Pittosporaceae,,Pittosporum,,"cornifolium",,"","A. Cunn. ex Hook.",Accepted,,M,TRO,25100200,,"Bot. Mag.","t. 3161","","1832"
tro-25100197,A,Pittosporaceae,,Pittosporum,,"crassicaule",,"","Cockayne ex Laing & Gourlay",Accepted,,M,TRO,25100197,684424-1,"Trans. Roy. Soc. New Zealand, Biol. Sci.","65: 50","50","1935"
kew-2570918,A,Pittosporaceae,,Pittosporum,,"crassifolium",,"","Banks & Sol. ex A.Cunn.",Accepted,,M,WCSP (in review),696224,957688-1,"Ann. Nat. Hist.","4: 106","","1839"
tro-25100238,A,Pittosporaceae,,Pittosporum,,"crispulum",,"","Gagnep.",Accepted,,M,TRO,25100238,684428-1,"Bull. Soc. Bot. France","55(7): 546","546","1908"
tro-25100290,A,Pittosporaceae,,Pittosporum,,"daphniphylloides",,"","Hayata",Accepted,,M,TRO,25100290,684436-1,"J. Coll. Sci. Imp. Univ. Tokyo","30(1): 34","34","1911"
tro-50230484,A,Pittosporaceae,,Pittosporum,,"daphniphylloides",var.,"adaphniphylloides","(Hu & F.T. Wang) W.T. Wang",Accepted,,L,TRO,50230484,955156-1,"Bull. Bot. Res., Harbin","9(1): 4","4","1989"
tro-25100270,A,Pittosporaceae,,Pittosporum,,"elevaticostatum",,"","Hung T. Chang & S.Z. Yan",Accepted,,M,TRO,25100270,684449-1,"Acta Phytotax. Sin.","16(4): 87","87","1978"
tro-25100134,A,Pittosporaceae,,Pittosporum,,"ellipticum",,"","Kirk",Accepted,,M,TRO,25100134,,"N.Z. Inst. Trans. & Proc.","4: 267","267","1872"
tro-25100226,A,Pittosporaceae,,Pittosporum,,"eugenioides",,"","A. Cunn.",Accepted,,M,TRO,25100226,684457-1,"Ann. Nat. Hist.","4: 106","106","1839"
tro-25100281,A,Pittosporaceae,,Pittosporum,,"fulvipilosum",,"","Hung T. Chang & S.Z. Yan",Accepted,,M,TRO,25100281,684476-1,"Acta Phytotax. Sin.","16(4): 88","88","1978"
tro-25100252,A,Pittosporaceae,,Pittosporum,,"glabratum",,"","Lindl.",Accepted,,M,TRO,25100252,684485-1,"J. Hort. Soc. London","1: 230","230","1846"
tro-50009111,A,Pittosporaceae,,Pittosporum,,"glabratum",var.,"glabratum","",Accepted,,L,TRO,50009111,,"","","",""
tro-25100255,A,Pittosporaceae,,Pittosporum,,"glabratum",var.,"neriifolium","Rehder & E.H. Wilson",Accepted,,L,TRO,25100255,,"Pl. Wilson.","3(2): 328","328","1916"
tro-50215231,A,Pittosporaceae,,Pittosporum,,"glabratum",var.,"wenxianense","(G.H. Wang & Y.S. Lian) Zhi Y. Zhang & Turland",Accepted,,L,TRO,50215231,20005503-1,"Novon","12(1): 152-153","152","2002"
tro-25100272,A,Pittosporaceae,,Pittosporum,,"henryi",,"","Gowda",Accepted,,M,TRO,25100272,684497-1,"J. Arnold Arbor.","32(4): 319","319","1951"
tro-25100286,A,Pittosporaceae,,Pittosporum,,"heterophyllum",,"","Franch.",Accepted,,M,TRO,25100286,684498-1,"Bull. Soc. Bot. France","33: 415","415","1886"
