ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2615167,A,Plantaginaceae,,Acanthorrhinum,,"ramosissimum",,"","(Coss. & Durieu) Rothm.",Accepted,,L,WCSP (in review),739038,798404-1,"Feddes Repert. Spec. Nov. Regni Veg.","52: 31","","1943"
kew-2615168,A,Plantaginaceae,,Acanthorrhinum,,"rivas-martinezii",,"","(Sánchez Malta) Fern.Casas & Sánchez Mata",Accepted,,M,WCSP (in review),739039,945718-1,"Fontqueria","20: 63","","1988"
kew-2617252,A,Plantaginaceae,,Achetaria,,"bicolor",,"","Pennell",Accepted,,M,WCSP (in review),741124,2273-2,"Notul. Nat. Acad. Nat. Sci. Philadelphia","244: 2","","1952"
kew-2617253,A,Plantaginaceae,,Achetaria,,"erecta",,"","(Spreng.) Wettst.",Accepted,,M,WCSP (in review),741125,2275-2,"Nat. Pflanzenfam.","3(3b): 74","","1891"
kew-2617254,A,Plantaginaceae,,Achetaria,,"floribunda",,"","(Benth.) Kuntze",Accepted,,M,WCSP (in review),741126,2276-2,"Revis. Gen. Pl.","2: 456","","1891"
kew-2617255,A,Plantaginaceae,,Achetaria,,"guianensis",,"","Pennell",Accepted,,M,WCSP (in review),741127,2277-2,"Notul. Nat. Acad. Nat. Sci. Philadelphia","46: 5","","1940"
kew-2617256,A,Plantaginaceae,,Achetaria,,"latifolia",,"","V.C.Souza",Accepted,,M,WCSP (in review),741128,77065836-1,"Bot. J. Linn. Soc.","148: 73","","2005"
kew-2617257,A,Plantaginaceae,,Achetaria,,"ocymoides",,"","(Cham. & Schltdl.) Wettst.",Accepted,,M,WCSP (in review),741129,1055122-2,"Nat. Pflanzenfam.","3(3b): 74","","1891"
kew-2617258,A,Plantaginaceae,,Achetaria,,"scutellarioides",,"","(Benth.) Wettst.",Accepted,,M,WCSP (in review),741130,1055117-2,"Nat. Pflanzenfam.","3(3b): 74","","1891"
kew-2621872,A,Plantaginaceae,,Adenosma,,"annamense",,"","T.Yamaz.",Accepted,,M,WCSP (in review),745733,798416-1,"J. Jap. Bot.","55: 5","","1980"
