ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2614564,A,Plumbaginaceae,,Acantholimon,,"acanthobryum",,"","Rech.f. & Schiman-Czeika",Accepted,,M,WCSP (in review),738435,685886-1,"in Fl. Iran.","108: 35","","1974"
kew-2614565,A,Plumbaginaceae,,Acantholimon,,"acerosum",,"","(Willd.) Boiss.",Accepted,,M,WCSP (in review),738436,685887-1,"Diagn. Pl. Orient.","7: 80","","1846"
kew-2614570,A,Plumbaginaceae,,Acantholimon,,"acmostegium",,"","Boiss. & Buhse.",Accepted,,M,WCSP (in review),738441,685888-1,"Nouv. Mém. Soc. Imp. Naturalistes Moscou","12: 182","","1860"
kew-2614572,A,Plumbaginaceae,,Acantholimon,,"afanassievii",,"","Lincz.",Accepted,,M,WCSP (in review),738443,685889-1,"Bot. Mater. Gerb. Bot. Inst. Komarova Akad. Nauk S.S.S.R.","22: 198","","1963"
kew-2614573,A,Plumbaginaceae,,Acantholimon,,"agropyroideum",,"","Mobayen",Accepted,,M,WCSP (in review),738444,685890-1,"Rev. Taxon. Acanthol.","301 175","","1964"
kew-2614574,A,Plumbaginaceae,,Acantholimon,,"ahangarensis",,"","Rech.f. & Schiman-Czeika",Accepted,,M,WCSP (in review),738445,685891-1,"in Fl. Iran.","108: 72","","1974"
kew-2614575,A,Plumbaginaceae,,Acantholimon,,"alaicum",,"","Czerniak.",Accepted,,M,WCSP (in review),738446,685892-1,"Fl. URSS","18: 732","","1952"
kew-2614576,A,Plumbaginaceae,,Acantholimon,,"alatavicum",,"","Bunge",Accepted,,M,WCSP (in review),738447,,"Mém. Acad. Imp. Sci. Saint Pétersbourg, Sér. 7","18(7): 40","","1872"
kew-2614579,A,Plumbaginaceae,,Acantholimon,,"alavae",,"","Rech.f. & Schiman-Czeika",Accepted,,M,WCSP (in review),738450,685894-1,"in Fl. Iran.","108: 75","","1974"
kew-2614581,A,Plumbaginaceae,,Acantholimon,,"albertii",,"","Regel",Accepted,,M,WCSP (in review),738452,685895-1,"Trudy Imp. S.-Peterburgsk. Bot. Sada","6: 389","","1879"
