ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-50301434,A,Poaceae,,Achnatherum,,"arnowiae",,"","(S.L. Welsh & N.D. Atwood) Barkworth",Accepted,,M,TRO,50301434,60443111-2,"Sida","22(1): 496","496","2006"
kew-387288,A,Poaceae,,Achnatherum,,"inebrians",,"","(Hance) Keng",Accepted,,H,WCSP,387288,384438-1,"Clav. Gen. Sp. Gram. Prim. Sin.","213","","1957"
tro-25544116,A,Poaceae,,Achnatherum,,"longiaristatum",,"","(Boiss. & Hausskn.) Keng & P.C. Kuo",Accepted,,M,TRO,25544116,384441-1,"Fl. Tsinling.","1(1): 151","151","1976"
kew-387328,A,Poaceae,,Aciachne,,"acicularis",,"","Laegaard",Accepted,,H,WCSP,387328,271516-2,"Nordic J. Bot.","7: 669","","1987"
kew-387329,A,Poaceae,,Aciachne,,"flagellifera",,"","Laegaard",Accepted,,H,WCSP,387329,271517-2,"Nordic J. Bot.","7: 669","","1987"
kew-387330,A,Poaceae,,Aciachne,,"pulvinata",,"","Benth.",Accepted,,H,WCSP,387330,271518-2,"Hooker's Icon. Pl.","14: t. 1362","","1881"
kew-387335,A,Poaceae,,Acidosasa,,"breviclavata",,"","W.T.Lin",Accepted,,H,WCSP,387335,931508-1,"Bamboo Res.","1986(2): 27","","1986"
kew-387336,A,Poaceae,,Acidosasa,,"brilletii",,"","(A.Camus) C.S.Chao & Renvoize",Accepted,,H,WCSP,387336,946863-1,"Kew Bull.","44: 351","","1989"
kew-387337,A,Poaceae,,Acidosasa,,"chinensis",,"","C.D.Chu & C.S.Chao ex Keng f.",Accepted,,H,WCSP,387337,994594-1,"Bamboo Res.","1981(1): 31","","1981"
kew-387338,A,Poaceae,,Acidosasa,,"chinouensis",,"","(T.H.Wen) C.S.Chao & T.H.Wen",Accepted,,H,WCSP,387338,945146-1,"J. Bamboo Res.","7(1): 31","","1988"
kew-387341,A,Poaceae,,Acidosasa,,"edulis",,"","(T.H.Wen) T.H.Wen",Accepted,,H,WCSP,387341,945145-1,"J. Bamboo Res.","7(1): 31","","1988"
kew-387346,A,Poaceae,,Acidosasa,,"guangxiensis",,"","Q.H.Dai & C.F.Huang",Accepted,,H,WCSP,387346,931505-1,"Bamboo Res.","1986(3): 64","","1986"
kew-387350,A,Poaceae,,Acidosasa,,"lingchuanensis",,"","(C.D.Chu & C.S.Chao) Q.Z.Xie & X.Y.Chen",Accepted,,H,WCSP,387350,969702-1,"Bull. Bot. Res., Harbin","13: 74","","1993"
kew-387355,A,Poaceae,,Acidosasa,,"nanunica",,"","(McClure) C.S.Chao & G.Y.Yang",Accepted,,H,WCSP,387355,1019663-1,"Acta Phytotax. Sin.","39: 66","","2001"
kew-387356,A,Poaceae,,Acidosasa,,"notata",,"","(Z.P.Wang & G.H.Ye) S.S.You",Accepted,,H,WCSP,387356,972823-1,"J. Bamboo Res.","12(3): 11","","1993"
kew-387358,A,Poaceae,,Acidosasa,,"purpurea",,"","(Hsueh & T.P.Yi) Keng f.",Accepted,,H,WCSP,387358,943489-1,"J. Wuhan Bot. Res.","4: 335","","1986"
kew-387359,A,Poaceae,,Acidosasa,,"venusta",,"","(McClure) Z.P.Wang & G.H.Ye ex C.S.Chao & C.D.Chu",Accepted,,H,WCSP,387359,994596-1,"Acta Phytotax. Sin.","29: 524","","1997"
kew-387362,A,Poaceae,,Acostia,,"gracilis",,"","Swallen",Accepted,,H,WCSP,387362,3456-2,"Bol. Soc. Argent. Bot.","12: 109","","1968"
kew-387364,A,Poaceae,,Acrachne,,"henrardiana",,"","(Bor) S.M.Phillips",Accepted,,H,WCSP,387364,909906-1,"Kew Bull.","37: 158","","1982"
kew-387365,A,Poaceae,,Acrachne,,"perrieri",,"","(A.Camus) S.M.Phillips",Accepted,,H,WCSP,387365,909907-1,"Kew Bull.","37: 158","","1982"
kew-387366,A,Poaceae,,Acrachne,,"racemosa",,"","(Heyne ex Roth) Ohwi",Accepted,,H,WCSP,387366,384495-1,"Bull. Tokyo Sci. Mus.","18: 1","","1947"
kew-387375,A,Poaceae,,Acritochaete,,"volkensii",,"","Pilg.",Accepted,,H,WCSP,387375,384504-1,"Bot. Jahrb. Syst.","32: 54","","1902"
kew-387376,A,Poaceae,,Acroceras,,"amplectens",,"","Stapf",Accepted,,H,WCSP,387376,384505-1,"Fl. Trop. Afr.","9: 625","","1920"
kew-387377,A,Poaceae,,Acroceras,,"attenuatum",,"","Renvoize",Accepted,,H,WCSP,387377,384506-1,"Kew Bull.","34: 556","","1980"
kew-387379,A,Poaceae,,Acroceras,,"boivinii",,"","(Mez) A.Camus",Accepted,,L,WCSP,387379,384508-1,"Bull. Soc. Bot. France","97: 85","","1950"
kew-387380,A,Poaceae,,Acroceras,,"bosseri",,"","A.Camus",Accepted,,H,WCSP,387380,384509-1,"Bull. Soc. Bot. France","101: 394","","1955"
kew-387381,A,Poaceae,,Acroceras,,"calcicola",,"","A.Camus",Accepted,,H,WCSP,387381,384510-1,"Bull. Mus. Natl. Hist. Nat.","II, 25: 343","","1953"
kew-387382,A,Poaceae,,Acroceras,,"chaseae",,"","Zuloaga & Morrone",Accepted,,H,WCSP,387382,936067-1,"Darwiniana","28: 198","","1988"
kew-387384,A,Poaceae,,Acroceras,,"diffusum",,"","L.C.Chia",Accepted,,H,WCSP,387384,384512-1,"in Fl. Hainan","4: 538","","1977"
kew-387385,A,Poaceae,,Acroceras,,"elegans",,"","A.Camus",Accepted,,H,WCSP,387385,384513-1,"Bull. Soc. Bot. France","102: 121","","1955"
kew-387386,A,Poaceae,,Acroceras,,"excavatum",,"","(Henrard) Zuloaga & Morrone",Accepted,,H,WCSP,387386,945936-1,"Darwiniana","28: 195","","1988"
kew-387387,A,Poaceae,,Acroceras,,"fluminense",,"","(Hack.) Zuloaga & Morrone",Accepted,,H,WCSP,387387,945937-1,"Darwiniana","28: 197","","1988"
kew-387388,A,Poaceae,,Acroceras,,"gabunense",,"","(Hack.) Clayton",Accepted,,H,WCSP,387388,384514-1,"Kew Bull.","34: 557","","1980"
