ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2639408,A,Podostemaceae,,Angolaea,,"fluitans",,"","Wedd.",Accepted,,M,WCSP (in review),763094,688031-1,"Prodr.","17: 300","","1873"
kew-2643868,A,Podostemaceae,,Apinagia,,"aripecuruensis",,"","P.Royen",Accepted,,M,WCSP (in review),767540,16359-2,"Acta Bot. Neerl.","3: 257","","1954"
kew-2643869,A,Podostemaceae,,Apinagia,,"arminensis",,"","P.Royen",Accepted,,M,WCSP (in review),767541,16360-2,"Meded. Bot. Mus. Herb. Rijks Univ. Utrecht","107: 48","","1951"
kew-2643870,A,Podostemaceae,,Apinagia,,"batrachifolia",,"","(Mildbr.) P.Royen",Accepted,,M,WCSP (in review),767542,16361-2,"Meded. Bot. Mus. Herb. Rijks Univ. Utrecht","107: 56","","1951"
kew-2643872,A,Podostemaceae,,Apinagia,,"batrachifolia",f.,"longistyla","P.Royen",Accepted,,L,WCSP (in review),767544,,"Meded. Bot. Mus. Herb. Rijks Univ. Utrecht","107: 57","","1951"
kew-2643873,A,Podostemaceae,,Apinagia,,"boliviana",,"","P.Royen",Accepted,,M,WCSP (in review),767545,16364-2,"Meded. Bot. Mus. Herb. Rijks Univ. Utrecht","107: 130","","1951"
kew-2643874,A,Podostemaceae,,Apinagia,,"brevicaulis",,"","Mildbr.",Accepted,,M,WCSP (in review),767546,16365-2,"Beitr. Kenntn. Podostem.","42","","1904"
kew-2643877,A,Podostemaceae,,Apinagia,,"corymbosa",,"","(Tul.) Engl.",Accepted,,M,WCSP (in review),767549,16368-2,"Nat. Pflanzenfam. ed. 2","18a: 38","","1930"
kew-2643878,A,Podostemaceae,,Apinagia,,"corymbosa",var.,"capillarifolia","(Engl.) P.Royen",Accepted,,L,WCSP (in review),767550,,"Meded. Bot. Mus. Herb. Rijks Univ. Utrecht","107: 53","","1951"
kew-2643879,A,Podostemaceae,,Apinagia,,"crispa",,"","P.Royen",Accepted,,M,WCSP (in review),767551,16370-2,"Meded. Bot. Mus. Herb. Rijks Univ. Utrecht","107: 129","","1951"
