ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2614557,A,Polemoniaceae,,Acanthogilia,,"gloriosa",,"","(Bandegee) A.Day & R.C.Moran",Accepted,,L,WCSP (in review),738428,,"Proc. Calif. Acad. Sci.","IV, 44(7): 115","","1986"
kew-2628389,A,Polemoniaceae,,Aliciella,,"caespitosa",,"","(A.Gray) J.M.Porter",Accepted,,M,WCSP (in review),752215,1194822-2,"Aliso","17: 34","","1998"
kew-2628390,A,Polemoniaceae,,Aliciella,,"formosa",,"","(Greene ex Brand) J.M.Porter",Accepted,,M,WCSP (in review),752216,1004163-2,"Aliso","17: 33","","1998"
kew-2628391,A,Polemoniaceae,,Aliciella,,"haydenii",,"","(A.Gray) J.M.Porter",Accepted,,M,WCSP (in review),752217,1099434-2,"Aliso","17: 31","","1998"
kew-2628392,A,Polemoniaceae,,Aliciella,,"haydenii",subsp.,"crandallii","(Rydb.) J.M.Porter",Accepted,,L,WCSP (in review),752218,1174663-2,"Aliso","17: 32","","1998"
kew-2628393,A,Polemoniaceae,,Aliciella,,"heterostyla",,"","(S.Cochrane & A.G.Day) J.M.Porter",Accepted,,M,WCSP (in review),752219,1066762-2,"Aliso","17: 37","","1998"
kew-2628394,A,Polemoniaceae,,Aliciella,,"humillima",,"","(Brand) J.M.Porter",Accepted,,M,WCSP (in review),752220,1172861-2,"Aliso","17: 41","","1998"
kew-2628395,A,Polemoniaceae,,Aliciella,,"hutchinsifolia",,"","(Rydb.) J.M.Porter",Accepted,,M,WCSP (in review),752221,1024566-2,"Aliso","17: 35","","1998"
kew-2628396,A,Polemoniaceae,,Aliciella,,"latifolia",,"","(S.Watson) J.M.Porter",Accepted,,M,WCSP (in review),752222,1167609-2,"Aliso","17: 43","","1998"
kew-2628397,A,Polemoniaceae,,Aliciella,,"latifolia",subsp.,"imperialis","(S.L.Welsh) J.M.Porter",Accepted,,L,WCSP (in review),752223,1167155-2,"Aliso","17: 44","","1998"
kew-2628398,A,Polemoniaceae,,Aliciella,,"leptomeria",,"","(A.Gray) J.M.Porter",Accepted,,M,WCSP (in review),752224,1189957-2,"Aliso","17: 38","","1998"
kew-2628399,A,Polemoniaceae,,Aliciella,,"lottiae",,"","(A.G.Day) J.M.Porter",Accepted,,M,WCSP (in review),752225,1094996-2,"Aliso","17: 40","","1998"
kew-2628400,A,Polemoniaceae,,Aliciella,,"mcvickerae",,"","(M.E.Jones) J.M.Porter",Accepted,,M,WCSP (in review),752226,1134366-2,"Aliso","17: 28","","1998"
kew-2628401,A,Polemoniaceae,,Aliciella,,"micromeria",,"","(A.Gray) J.M.Porter",Accepted,,M,WCSP (in review),752227,1219456-2,"Aliso","17: 40","","1998"
kew-2628402,A,Polemoniaceae,,Aliciella,,"nyensis",,"","(Reveal) J.M.Porter",Accepted,,M,WCSP (in review),752228,1187771-2,"Aliso","17: 36","","1998"
kew-2628403,A,Polemoniaceae,,Aliciella,,"pentstemonoides",,"","(M.E.Jones) J.M.Porter",Accepted,,M,WCSP (in review),752229,1001823-1,"Aliso","17: 30","","1998"
kew-2628404,A,Polemoniaceae,,Aliciella,,"pinnatifida",,"","(Nutt. ex A.Gray) J.M.Porter",Accepted,,M,WCSP (in review),752230,1211527-2,"Aliso","17: 27","","1998"
kew-2628405,A,Polemoniaceae,,Aliciella,,"ripleyi",,"","(Barneby) J.M.Porter",Accepted,,M,WCSP (in review),752231,1078885-2,"Aliso","17: 45","","1998"
kew-2628406,A,Polemoniaceae,,Aliciella,,"sedifolia",,"","(Brandegee) J.M.Porter",Accepted,,L,WCSP (in review),752232,1057746-2,"Aliso","17: 29","","1998"
kew-2628407,A,Polemoniaceae,,Aliciella,,"stenothyrsa",,"","(A.Gray) J.M.Porter",Accepted,,L,WCSP (in review),752233,1053391-2,"Aliso","17: 30","","1998"
kew-2628408,A,Polemoniaceae,,Aliciella,,"subacaulis",,"","(Rydb.) J.M.Porter & L.A.Johnson",Accepted,,M,WCSP (in review),752234,1040035-2,"Aliso","19: 70","","2000"
kew-2628409,A,Polemoniaceae,,Aliciella,,"subnuda",,"","(Torr. ex A.Gray) J.M.Porter",Accepted,,M,WCSP (in review),752235,1202776-2,"Aliso","17: 33","","1998"
kew-2628410,A,Polemoniaceae,,Aliciella,,"tenuis",,"","(F.J.Sm. & Neese) J.M.Porter",Accepted,,M,WCSP (in review),752236,1049479-2,"Aliso","17: 35","","1998"
kew-2628411,A,Polemoniaceae,,Aliciella,,"triodon",,"","(Eastw.) Brand",Accepted,,M,WCSP (in review),752237,8446-2,"Helios","22, repr.: 12","","1905"
kew-2629201,A,Polemoniaceae,,Allophyllum,,"divaricatum",,"","(Nutt.) A.D.Grant & V.E.Grant",Accepted,,M,WCSP (in review),752917,688658-1,"Aliso","3: 101","","1955"
kew-2629202,A,Polemoniaceae,,Allophyllum,,"gilioides",,"","(Benth.) A.D.Grant & V.E.Grant",Accepted,,M,WCSP (in review),752918,9112-2,"Aliso","3: 105","","1955"
kew-2629203,A,Polemoniaceae,,Allophyllum,,"gilioides",subsp.,"violaceum","(A.Heller) A.G.Day",Accepted,,L,WCSP (in review),752919,1046559-2,"Novon","3: 331","","1993"
