ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2614523,A,Polygalaceae,,Acanthocladus,,"albicans",,"","A.W.Benn.",Accepted,,M,WCSP (in review),738394,690059-1,"Fl. Bras.","13(3): 46","","1874"
kew-2614524,A,Polygalaceae,,Acanthocladus,,"brasiliensis",,"","Klotzsch ex Hassk.",Accepted,,M,WCSP (in review),738395,690060-1,"Ann. Mus. Bot. Lugduno-Batavi","1: 184","","1864"
kew-2614525,A,Polygalaceae,,Acanthocladus,,"guayaquilensis",,"","B.Eriksen & B.Ståhl",Accepted,,M,WCSP (in review),738396,321931-2,"in Fl. Ecuador","65(102): 7","","2000"
kew-2614527,A,Polygalaceae,,Acanthocladus,,"moyanoi",,"","Speg.",Accepted,,M,WCSP (in review),738398,1652-2,"Revista Fac. Agron. Univ. Nac. La Plata","3: 595","","1897"
kew-2614528,A,Polygalaceae,,Acanthocladus,,"scleroxylon",,"","(Ducke) B.Eriksen & B.Ståhl",Accepted,,M,WCSP (in review),738399,20001358-1,"in Fl. Ecuador","65(102): 6","","2000"
kew-2636812,A,Polygalaceae,,Ancylotropis,,"insignis",,"","(A.W.Benn.) B.Eriksen",Accepted,,M,WCSP (in review),760513,972045-1,"Pl. Syst. Evol.","186: 49","","1993"
kew-2636813,A,Polygalaceae,,Ancylotropis,,"malmeana",,"","(Chodat) B.Eriksen",Accepted,,M,WCSP (in review),760514,972046-1,"Pl. Syst. Evol.","186: 49","","1993"
kew-2666003,A,Polygalaceae,,Atroxima,,"afzeliana",,"","(Oliv. ex Chodat) Stapf",Accepted,,M,WCSP (in review),789637,690076-1,"J. Linn. Soc., Bot.","37: 86","","1905"
kew-2666006,A,Polygalaceae,,Atroxima,,"liberica",,"","Stapf",Accepted,,M,WCSP (in review),789640,690079-1,"J. Linn. Soc., Bot.","37: 85","","1905"
kew-2667731,A,Polygalaceae,,Badiera,,"acuminata",,"","(Willd.) DC.",Accepted,,M,WCSP (in review),791310,690082-1,"Prodr.","1: 335","","1824"
kew-2667732,A,Polygalaceae,,Badiera,,"berteroana",,"","Spreng.",Accepted,,M,WCSP (in review),791311,690083-1,"Syst. Veg.","3: 172","","1826"
kew-2667733,A,Polygalaceae,,Badiera,,"caracasana",,"","(Kunth) C.H.Perss.",Accepted,,M,WCSP (in review),791312,20001360-1,"in Fl. Ecuador","65(102): 10","","2000"
kew-2667734,A,Polygalaceae,,Badiera,,"cubensis",,"","Britton",Accepted,,M,WCSP (in review),791313,28609-2,"Bull. Torrey Bot. Club","37: 363","","1910"
kew-2667735,A,Polygalaceae,,Badiera,,"divaricata",,"","DC.",Accepted,,M,WCSP (in review),791314,690085-1,"Prodr.","1: 335","","1824"
kew-2667738,A,Polygalaceae,,Badiera,,"fuertesii",,"","Urb.",Accepted,,M,WCSP (in review),791317,28610-2,"Symb. Antill.","7: 244","","1912"
kew-2667739,A,Polygalaceae,,Badiera,,"heterophylla",,"","Britton",Accepted,,M,WCSP (in review),791318,28611-2,"Bull. Torrey Bot. Club","42: 496","","1915"
kew-2667740,A,Polygalaceae,,Badiera,,"montana",,"","Britton",Accepted,,M,WCSP (in review),791319,28612-2,"Bull. Torrey Bot. Club","37: 363","","1910"
kew-2667741,A,Polygalaceae,,Badiera,,"oblongata",,"","Britton",Accepted,,M,WCSP (in review),791320,28613-2,"Bull. New York Bot. Gard.","5: 314","","1907"
kew-2667742,A,Polygalaceae,,Badiera,,"penaea",,"","(L.) DC.",Accepted,,L,WCSP (in review),791321,690092-1,"Prodr.","1: 335","","1824"
kew-2667743,A,Polygalaceae,,Badiera,,"portoricensis",,"","Britton",Accepted,,M,WCSP (in review),791322,28614-2,"Bull. Torrey Bot. Club","42: 494","","1915"
kew-2667744,A,Polygalaceae,,Badiera,,"propinqua",,"","Britton",Accepted,,M,WCSP (in review),791323,28615-2,"Bull. Torrey Bot. Club","42: 495","","1915"
kew-2667746,A,Polygalaceae,,Badiera,,"punctata",,"","Britton",Accepted,,M,WCSP (in review),791325,28616-2,"Bull. Torrey Bot. Club","42: 496","","1915"
kew-2667748,A,Polygalaceae,,Badiera,,"virgata",,"","Britton",Accepted,,L,WCSP (in review),791327,28617-2,"Bull. Torrey Bot. Club","37: 361","","1910"
kew-2667749,A,Polygalaceae,,Badiera,,"virgata",subsp.,"alternifolia","(R.Rankin) R.Rankin",Accepted,,L,WCSP (in review),791328,,"in Fl. Repúbl. Cuba","Ser. A., 7(1): 13","","2003"
kew-2667750,A,Polygalaceae,,Badiera,,"virgata",var.,"scabridula","(S.F.Blake) R.Rankin",Accepted,,L,WCSP (in review),791329,,"in Fl. Repúbl. Cuba","Ser. A., 7(1): 12","","2003"
kew-2668182,A,Polygalaceae,,Balgoya,,"pacifica",,"","Morat & Meijden",Accepted,,M,WCSP (in review),791759,959954-1,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","13: 3","","1991"
