ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2615170,A,Polygonaceae,,Acanthoscyphus,,"parishii",,"","(Parry) Small",Accepted,,M,WCSP (in review),739041,1691-2,"Bull. Torrey Bot. Club","25: 53","","1898"
kew-2615172,A,Polygonaceae,,Acanthoscyphus,,"parishii",var.,"cienegensis","(Ertter) Reveal",Accepted,,L,WCSP (in review),739043,60436667-2,"Harvard Pap. Bot.","9: 144","","2004"
kew-2615173,A,Polygonaceae,,Acanthoscyphus,,"parishii",var.,"goodmaniana","(Ertter) Reveal",Accepted,,L,WCSP (in review),739044,60436668-2,"Harvard Pap. Bot.","9: 144","","2004"
tro-50253241,A,Polygonaceae,,Aconogonum,,"hultenianum",,"","(Jurtzev) Tzvelev",Accepted,,M,TRO,50253241,,"Novosti Sist. Vyss. Rast.","24: 77","77","1987"
tro-50253245,A,Polygonaceae,,Aconogonum,,"hultenianum",var.,"lapathifolium","(Cham. & Schltdl.) S.P. Hong",Accepted,,L,TRO,50253245,,"Rhodora","93(876): 333","333","1991"
tro-50117740,A,Polygonaceae,,Aconogonum,,"newberryi",,"","(Small) Soják",Accepted,,M,TRO,50117740,,"Preslia","46(2): 151","151","1974"
tro-50253247,A,Polygonaceae,,Aconogonum,,"smallii",,"","(Kongar) Soják",Accepted,,M,TRO,50253247,,"Čas. Nár. Mus., Odd. PYír.","150: 137","137","1982"
kew-2624880,A,Polygonaceae,,Afrobrunnichia,,"africana",,"","(Welw.) Hutch. & Dalziel",Accepted,,M,WCSP (in review),748735,693071-1,"Bull. Misc. Inform. Kew","1928: 28","","1928"
kew-2624881,A,Polygonaceae,,Afrobrunnichia,,"erecta",,"","(Asch.) Hutch. & Dalziel",Accepted,,M,WCSP (in review),748736,693072-1,"Fl. W. Trop. Afr.","1: 118","","1927"
tro-50162442,A,Polygonaceae,,Ampelgonum,,"microcephalum",,"","(D. Don) M.A. Hassan",Accepted,,M,TRO,50162442,,"Bangladesh J. Bot.","22(1): 4","4","1993"
kew-2642291,A,Polygonaceae,,Antigonon,,"flavescens",,"","S.Watson",Accepted,,M,WCSP (in review),765975,15858-2,"Proc. Amer. Acad. Arts","22: 446","","1887"
kew-2642293,A,Polygonaceae,,Antigonon,,"guatimalense",,"","Meisn.",Accepted,,M,WCSP (in review),765977,693090-1,"Prodr.","14: 184","","1856"
kew-2642295,A,Polygonaceae,,Antigonon,,"leptopus",,"","Hook. & Arn.",Accepted,,M,WCSP (in review),765979,15860-2,"Bot. Beechey Voy.","308","","1838"
kew-2651126,A,Polygonaceae,,Aristocapsa,,"insignis",,"","(Curran) Reveal & Hardham",Accepted,,M,WCSP (in review),774791,272642-2,"Phytologia","66: 84","","1989"
kew-2664922,A,Polygonaceae,,Atraphaxis,,"angustifolia",,"","Jaub. & Spach",Accepted,,M,WCSP (in review),788556,693096-1,"Ill. Pl. Orient.","2: 15","","1844"
kew-2664924,A,Polygonaceae,,Atraphaxis,,"aucheri",,"","Jaub. & Spach",Accepted,,M,WCSP (in review),788558,693098-1,"Ill. Pl. Orient.","2: 15","","1844"
