ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-242126,A,Pontederiaceae,,Eichhornia,,"azurea",,"","(Sw.) Kunth",Accepted,,H,WCSP,242126,698031-1,"Enum. Pl.","4: 129","","1843"
kew-242133,A,Pontederiaceae,,Eichhornia,,"crassipes",,"","(Mart.) Solms",Accepted,,H,WCSP,242133,1198589-2,"Monogr. Phan.","4: 527","","1883"
kew-242134,A,Pontederiaceae,,Eichhornia,,"diversifolia",,"","(Vahl) Urb.",Accepted,,H,WCSP,242134,88913-2,"Symb. Antill.","4: 147","","1903"
kew-242136,A,Pontederiaceae,,Eichhornia,,"heterosperma",,"","Alexander",Accepted,,H,WCSP,242136,88914-2,"Lloydia","2: 170","","1939"
kew-242142,A,Pontederiaceae,,Eichhornia,,"paniculata",,"","(Spreng.) Solms",Accepted,,H,WCSP,242142,698044-1,"Monogr. Phan.","4: 530","","1883"
kew-242143,A,Pontederiaceae,,Eichhornia,,"paradoxa",,"","(Mart. ex Schult. & Schult.f.) Solms",Accepted,,H,WCSP,242143,698045-1,"Monogr. Phan.","4: 531","","1883"
kew-248962,A,Pontederiaceae,,Heteranthera,,"callifolia",,"","Rchb. ex Kunth",Accepted,,H,WCSP,248962,698059-1,"Enum. Pl.","4: 123","","1843"
kew-248965,A,Pontederiaceae,,Heteranthera,,"dubia",,"","(Jacq.) MacMill.",Accepted,,H,WCSP,248965,121025-2,"Metasp. Minnesota Valley","138","","1892"
kew-248973,A,Pontederiaceae,,Heteranthera,,"limosa",,"","(Sw.) Willd.",Accepted,,H,WCSP,248973,698071-1,"Mag. Neuesten Entdeck. Gesammten Naturk. Ges. Naturf. Freunde Berlin","3: 439","","1801"
kew-248978,A,Pontederiaceae,,Heteranthera,,"mexicana",,"","S.Watson",Accepted,,H,WCSP,248978,698072-1,"Proc. Amer. Acad. Arts","18: 166","","1883"
kew-248979,A,Pontederiaceae,,Heteranthera,,"multiflora",,"","(Griseb.) C.N.Horn",Accepted,,H,WCSP,248979,278144-2,"Phytologia","59: 290","","1986"
kew-248980,A,Pontederiaceae,,Heteranthera,,"oblongifolia",,"","Mart. ex Schult. & Schult.f.",Accepted,,H,WCSP,248980,,"Syst. Veg.","7: 1148","","1830"
kew-248982,A,Pontederiaceae,,Heteranthera,,"peduncularis",,"","Benth.",Accepted,,H,WCSP,248982,698075-1,"Pl. Hartw.","25","","1840"
kew-248986,A,Pontederiaceae,,Heteranthera,,"reniformis",,"","Ruiz & Pav.",Accepted,,H,WCSP,248986,698080-1,"Fl. Peruv.","1: 43","","1798"
kew-248990,A,Pontederiaceae,,Heteranthera,,"rotundifolia",,"","(Kunth) Griseb.",Accepted,,H,WCSP,248990,698081-1,"Cat. Pl. Cub.","252","","1866"
kew-248991,A,Pontederiaceae,,Heteranthera,,"seubertiana",,"","Solms",Accepted,,H,WCSP,248991,698082-1,"Monogr. Phan.","4: 518","","1883"
