ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2634729,A,Portulacaceae,,Amphipetalum,,"paraguayense",,"","Bacig.",Accepted,,M,WCSP (in review),758439,272086-2,"Candollea","43: 411","","1988"
kew-2635704,A,Portulacaceae,,Anacampseros,,"affinis",,"","H.Pearson & Stephens",Accepted,,M,WCSP (in review),759413,698232-1,"Ann. S. African Mus.","9: 31","","1912"
kew-2635709,A,Portulacaceae,,Anacampseros,,"albidiflora",,"","Poelln.",Accepted,,M,WCSP (in review),759418,698233-1,"Repert. Spec. Nov. Regni Veg.","26: 243","","1929"
kew-2635714,A,Portulacaceae,,Anacampseros,,"alta",,"","Poelln.",Accepted,,M,WCSP (in review),759423,698237-1,"Repert. Spec. Nov. Regni Veg.","28: 30","","1930"
kew-2635720,A,Portulacaceae,,Anacampseros,,"arachnoides",,"","(Haw.) Sims",Accepted,,M,WCSP (in review),759429,698240-1,"Bot. Mag.","33: t. 1368","","1811"
kew-2635731,A,Portulacaceae,,Anacampseros,,"bayeriana",,"","S.A.Hammer",Accepted,,M,WCSP (in review),759440,936097-1,"Cact. Succ. J. (Los Angeles)","60: 215","","1988"
kew-2635744,A,Portulacaceae,,Anacampseros,,"comptonii",,"","Pillans",Accepted,,M,WCSP (in review),759453,698247-1,"S. African Gard.","17: 218","","1927"
kew-2635748,A,Portulacaceae,,Anacampseros,,"crinita",,"","Dinter",Accepted,,M,WCSP (in review),759457,698248-1,"Sukkulentenforsch. Südwestafr.","2","","1928"
kew-2635749,A,Portulacaceae,,Anacampseros,,"decipiens",,"","Poelln.",Accepted,,M,WCSP (in review),759458,698249-1,"Bot. Jahrb. Syst.","65: 415","","1933"
kew-2635751,A,Portulacaceae,,Anacampseros,,"densifolia",,"","Dinter ex Poelln.",Accepted,,M,WCSP (in review),759460,698251-1,"Repert. Spec. Nov. Regni Veg.","26: 22","","1929"
kew-2635753,A,Portulacaceae,,Anacampseros,,"depauperata",,"","(A.Berger) Poelln.",Accepted,,M,WCSP (in review),759462,698252-1,"Bot. Jahrb. Syst.","65: 435","","1933"
kew-2635754,A,Portulacaceae,,Anacampseros,,"dielsiana",,"","Dinter",Accepted,,M,WCSP (in review),759463,698253-1,"Repert. Spec. Nov. Regni Veg.","19: 149","","1923"
kew-2635759,A,Portulacaceae,,Anacampseros,,"filamentosa",,"","(Haw.) Sims",Accepted,,M,WCSP (in review),759468,698255-1,"Bot. Mag.","33: t. 1367","","1811"
kew-2635763,A,Portulacaceae,,Anacampseros,,"fissa",,"","Poelln.",Accepted,,M,WCSP (in review),759472,698256-1,"Repert. Spec. Nov. Regni Veg.","27: 132","","1929"
kew-2635765,A,Portulacaceae,,Anacampseros,,"gracilis",,"","Poelln.",Accepted,,M,WCSP (in review),759474,698257-1,"Repert. Spec. Nov. Regni Veg.","26: 21","","1929"
kew-2606201,A,Portulacaceae,,Anacampseros,,"hillii",,"","G.Will.",Accepted,,M,WCSP (in review),730812,77091526-1,"Aloe","45: 16","","2008"
kew-2635773,A,Portulacaceae,,Anacampseros,,"karasmontana",,"","Dinter",Accepted,,M,WCSP (in review),759482,698262-1,"Neue Pfl. Südw.-Afr.","15, 4","","1914"
kew-2635775,A,Portulacaceae,,Anacampseros,,"lanceolata",,"","(Haw.) Sweet",Accepted,,M,WCSP (in review),759484,698263-1,"Hort. Brit.","170","","1826"
kew-2635778,A,Portulacaceae,,Anacampseros,,"lanigera",,"","Burch.",Accepted,,M,WCSP (in review),759487,698264-1,"Trav. S. Africa","2: 333","","1824"
