ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-298497,A,Potamogetonaceae,,Althenia,,"filiformis",,"","F.Petit",Accepted,,H,WCSP,298497,602833-1,"Ann. Sci. Observ.","1: 451","","1829"
kew-298499,A,Potamogetonaceae,,Althenia,,"filiformis",var.,"barrandonii","(Duval-Jouve) García-Mur. & Talavera",Accepted,,L,WCSP,298499,,"Lagascalia","14: 107","","1986"
kew-312082,A,Potamogetonaceae,,Althenia,,"filiformis",var.,"filiformis","",Accepted,,L,WCSP,312082,,"Unknown","","",""
kew-298502,A,Potamogetonaceae,,Althenia,,"orientalis",,"","(Tzvelev) García-Mur. & Talavera",Accepted,,H,WCSP,298502,,"Lagascalia","14: 108","","1986"
kew-298503,A,Potamogetonaceae,,Althenia,,"orientalis",subsp.,"betpakdalensis","(Tzvelev) García-Mur. & Talavera",Accepted,,L,WCSP,298503,,"Lagascalia","14: 112","","1986"
kew-309909,A,Potamogetonaceae,,Groenlandia,,"densa",,"","(L.) Fourr.",Accepted,,H,WCSP,309909,602950-1,"Ann. Soc. Linn. Lyon","n.s., 17: 169","","1869"
kew-308190,A,Potamogetonaceae,,Lepilaena,,"australis",,"","J.Drumm. ex Harv.",Accepted,,H,WCSP,308190,602975-1,"Hooker's J. Bot. Kew Gard. Misc.","7: 58","","1855"
kew-280076,A,Potamogetonaceae,,Lepilaena,,"bilocularis",,"","Kirk",Accepted,,H,WCSP,280076,699617-1,"Trans. & Proc. New Zealand Inst.","28: 500","","1895 publ. 1896"
kew-308192,A,Potamogetonaceae,,Lepilaena,,"cylindrocarpa",,"","(Körn. ex Müll.Stuttg.) Benth.",Accepted,,H,WCSP,308192,602977-1,"Fl. Austral.","7: 180","","1878"
kew-334987,A,Potamogetonaceae,,Lepilaena,,"marina",,"","E.L.Robertson",Accepted,,H,WCSP,334987,1004034-1,"Marine Benthic Fl. South. Australia","1: 80","","1984"
kew-334988,A,Potamogetonaceae,,Lepilaena,,"patentifolia",,"","E.L.Robertson",Accepted,,H,WCSP,334988,931211-1,"in Fl. S. Australia","4: 1736","","1986"
kew-308193,A,Potamogetonaceae,,Lepilaena,,"preissii",,"","(Lehm.) F.Muell.",Accepted,,H,WCSP,308193,113443-3,"Fragm.","8: 217","","1874"
kew-308474,A,Potamogetonaceae,,Potamogeton,,"acutifolius",,"","Link ex Roem. & Schult.",Accepted,,H,WCSP,308474,67836-3,"Syst. Veg.","3: 513","","1818"
kew-308479,A,Potamogetonaceae,,Potamogeton,,"alpinus",,"","Balb.",Accepted,,H,WCSP,308479,603114-1,"Misc. Bot.","13","","1803 publ. 1804"
kew-312084,A,Potamogetonaceae,,Potamogeton,,"alpinus",subsp.,"alpinus","",Accepted,,L,WCSP,312084,,"Unknown","","",""
kew-292457,A,Potamogetonaceae,,Potamogeton,,"alpinus",subsp.,"tenuifolius","(Raf.) Hultén",Accepted,,L,WCSP,292457,208742-2,"Fl. Aleutian Isl.","65","","1937"
kew-308484,A,Potamogetonaceae,,Potamogeton,,"amplifolius",,"","Tuck.",Accepted,,H,WCSP,308484,603120-1,"Amer. J. Sci. Arts","45: 38","","1843"
kew-284464,A,Potamogetonaceae,,Potamogeton,×,"anguillanus",,"","Koidz.",Accepted,,H,WCSP,284464,699628-1,"Bot. Mag. (Tokyo)","43: 398","","1929"
kew-308485,A,Potamogetonaceae,,Potamogeton,×,"angustifolius",,"","J.Presl",Accepted,,H,WCSP,308485,603122-1,"Prir. Rostlin","1(Zabnj.): 19","","1821"
kew-284465,A,Potamogetonaceae,,Potamogeton,,"antaicus",,"","Hagstr.",Accepted,,H,WCSP,284465,699630-1,"Kongl. Svenska Vetensk. Acad. Handl.","n.s., 55(5): 105","","1916"
kew-284466,A,Potamogetonaceae,,Potamogeton,×,"apertus",,"","Miki",Accepted,,H,WCSP,284466,699631-1,"Bot. Mag. (Tokyo)","49: 690","","1935"
kew-284492,A,Potamogetonaceae,,Potamogeton,×,"argutulus",,"","Hagstr.",Accepted,,H,WCSP,284492,699633-1,"Bot. Not.","1908: 106","","1908"
kew-284521,A,Potamogetonaceae,,Potamogeton,×,"attenuatus",,"","Hagstr.",Accepted,,H,WCSP,284521,699634-1,"Kongl. Svenska Vetensk. Acad. Handl.","n.s., 55(5): 112","","1916"
kew-284477,A,Potamogetonaceae,,Potamogeton,,"australiensis",,"","A.Benn.",Accepted,,H,WCSP,284477,699635-1,"J. Bot.","48: 149","","1910"
kew-284506,A,Potamogetonaceae,,Potamogeton,×,"babingtonii",,"","A.Benn.",Accepted,,H,WCSP,284506,699637-1,"J. Bot.","32: 205","","1894"
kew-308496,A,Potamogetonaceae,,Potamogeton,,"berchtoldii",,"","Fieber",Accepted,,H,WCSP,308496,,"Oekon.-Techn. Fl. Böhm.","reimpr. 2(1): 40","","1838"
kew-284503,A,Potamogetonaceae,,Potamogeton,,"bicupulatus",,"","Fernald",Accepted,,H,WCSP,284503,208765-2,"Mem. Gray Herb.","3: 112","","1932"
kew-284514,A,Potamogetonaceae,,Potamogeton,,"biformis",,"","Hagstr.",Accepted,,H,WCSP,284514,699645-1,"Kongl. Svenska Vetensk. Acad. Handl.","n.s., 55(5): 247","","1916"
kew-308501,A,Potamogetonaceae,,Potamogeton,×,"billupsii",,"","Fryer",Accepted,,H,WCSP,308501,603138-1,"J. Bot.","31: 353","","1893"
kew-284518,A,Potamogetonaceae,,Potamogeton,,"brasiliensis",,"","A.Benn.",Accepted,,H,WCSP,284518,699649-1,"J. Bot.","48: 150","","1910"
kew-284513,A,Potamogetonaceae,,Potamogeton,×,"cadburyae",,"","Dandy & G.Taylor",Accepted,,H,WCSP,284513,699653-1,"Kew Bull.","12: 332","","1957"
kew-308513,A,Potamogetonaceae,,Potamogeton,,"chamissoi",,"","A.Benn.",Accepted,,H,WCSP,308513,603152-1,"J. Bot.","42: 74","","1904"
kew-308514,A,Potamogetonaceae,,Potamogeton,,"cheesemanii",,"","A.Benn.",Accepted,,H,WCSP,308514,603153-1,"J. Bot.","21: 66","","1883"
kew-285455,A,Potamogetonaceae,,Potamogeton,,"chongyangensis",,"","W.X.Wang",Accepted,,H,WCSP,285455,905017-1,"Acta Phytotax. Sin.","22: 490","","1984"
kew-284488,A,Potamogetonaceae,,Potamogeton,,"clystocarpus",,"","Fernald",Accepted,,H,WCSP,284488,699657-1,"Mem. Gray Herb.","3: 79","","1932"
kew-308516,A,Potamogetonaceae,,Potamogeton,×,"cognatus",,"","Asch. & Graebn.",Accepted,,H,WCSP,308516,603155-1,"Syn. Mitteleur. Fl.","1: 317","","1897"
kew-285981,A,Potamogetonaceae,,Potamogeton,,"coloratus",,"","Hornem.",Accepted,,H,WCSP,285981,603156-1,"Fl. Dan.","t. 1449","","1813"
kew-308518,A,Potamogetonaceae,,Potamogeton,,"compressus",,"","L.",Accepted,,H,WCSP,308518,323118-2,"Sp. Pl.","127","","1753"
kew-308520,A,Potamogetonaceae,,Potamogeton,,"confervoides",,"","Rchb.",Accepted,,H,WCSP,308520,603164-1,"Icon. Fl. Germ. Helv.","7: 13","","1845"
kew-284493,A,Potamogetonaceae,,Potamogeton,×,"cooperi",,"","(Fryer) Fryer",Accepted,,H,WCSP,284493,699663-1,"Bot. Soc. Exch. Club Brit. Isles","1: 497","","1897"
kew-308529,A,Potamogetonaceae,,Potamogeton,,"crispus",,"","L.",Accepted,,H,WCSP,308529,323116-2,"Sp. Pl.","126","","1753"
kew-308530,A,Potamogetonaceae,,Potamogeton,,"cristatus",,"","Regel & Maack",Accepted,,H,WCSP,308530,603176-1,"Tent. Fl. Ussur.","139","","1861"
kew-308537,A,Potamogetonaceae,,Potamogeton,,"delavayi",,"","A.Benn.",Accepted,,H,WCSP,308537,603183-1,"J. Bot.","30: 228","","1892"
kew-308545,A,Potamogetonaceae,,Potamogeton,,"distinctus",,"","A.Benn.",Accepted,,H,WCSP,308545,603192-1,"J. Bot.","42: 72","","1904"
kew-308547,A,Potamogetonaceae,,Potamogeton,,"diversifolius",,"","Raf.",Accepted,,H,WCSP,308547,208782-2,"Med. Repos.","II, 5: 354","","1808"
kew-308549,A,Potamogetonaceae,,Potamogeton,,"drummondii",,"","Benth.",Accepted,,H,WCSP,308549,603196-1,"Fl. Austral.","7: 171","","1878"
kew-285399,A,Potamogetonaceae,,Potamogeton,,"dunicola",,"","Tur",Accepted,,H,WCSP,285399,208786-2,"Darwiniana","24: 254","","1982"
kew-308552,A,Potamogetonaceae,,Potamogeton,,"epihydrus",,"","Raf.",Accepted,,H,WCSP,308552,30070809-2,"Med. Repos.","5: 354","","1808"
kew-284691,A,Potamogetonaceae,,Potamogeton,×,"faurei",,"","(A.Benn.) Miki",Accepted,,H,WCSP,284691,699678-1,"Stud. Hist. Nat. Monuments Kyohotu","18","","1937"
kew-308558,A,Potamogetonaceae,,Potamogeton,,"faxonii",,"","Morong",Accepted,,H,WCSP,308558,208793-2,"Mem. Torrey Bot. Club","3(2): 22","","1893"
kew-284693,A,Potamogetonaceae,,Potamogeton,,"ferrugineus",,"","Hagstr.",Accepted,,H,WCSP,284693,208794-2,"Kongl. Svenska Vetensk. Acad. Handl.","n.s., 55(5): 161","","1916"
kew-308568,A,Potamogetonaceae,,Potamogeton,,"floridanus",,"","Small",Accepted,,H,WCSP,308568,208804-2,"Fl. S.E. U.S.","37","","1903"
kew-308569,A,Potamogetonaceae,,Potamogeton,×,"fluitans",,"","Roth",Accepted,,H,WCSP,308569,603220-1,"Tent. Fl. Germ.","1: 72","","1788"
kew-308570,A,Potamogetonaceae,,Potamogeton,,"foliosus",,"","Raf.",Accepted,,H,WCSP,308570,208806-2,"Med. Repos.","5: 354","","1808"
kew-285215,A,Potamogetonaceae,,Potamogeton,,"foliosus",subsp.,"fibrillosus","(Fernald) R.R.Haynes & Hellq.",Accepted,,L,WCSP,285215,1012009-2,"Novon","6: 370","","1996"
kew-312087,A,Potamogetonaceae,,Potamogeton,,"foliosus",subsp.,"foliosus","",Accepted,,L,WCSP,312087,,"Unknown","","",""
kew-285453,A,Potamogetonaceae,,Potamogeton,,"fontigenus",,"","Y.H.Guo, X.Z.Sun & H.Q.Wang",Accepted,,H,WCSP,285453,906905-1,"Bull. Bot. Res., Harbin","5(2): 133","","1985"
kew-284700,A,Potamogetonaceae,,Potamogeton,×,"franconicus",,"","G.Fisch.",Accepted,,H,WCSP,284700,699687-1,"Ber. Bayer. Bot. Ges.","11: 123","","1907"
kew-308571,A,Potamogetonaceae,,Potamogeton,,"friesii",,"","Rupr.",Accepted,,H,WCSP,308571,208813-2,"Beitr. Pflanzenk. Russ. Reiches","4: 43","","1847"
kew-284701,A,Potamogetonaceae,,Potamogeton,,"fryeri",,"","A.Benn.",Accepted,,H,WCSP,284701,699688-1,"J. Bot.","45: 234","","1907"
kew-308573,A,Potamogetonaceae,,Potamogeton,,"gayi",,"","A.Benn.",Accepted,,H,WCSP,308573,208814-2,"Ann. K. K. Naturhist. Hofmus.","7: 293","","1892"
kew-284680,A,Potamogetonaceae,,Potamogeton,×,"gessnacensis",,"","G.Fisch.",Accepted,,H,WCSP,284680,699691-1,"Mitt. Bayer. Bot. Ges.","1: 472","","1905"
kew-308578,A,Potamogetonaceae,,Potamogeton,,"gramineus",,"","L.",Accepted,,H,WCSP,308578,323120-2,"Sp. Pl.","127","","1753"
kew-308580,A,Potamogetonaceae,,Potamogeton,×,"griffithii",,"","A.Benn.",Accepted,,H,WCSP,308580,603239-1,"J. Bot.","21: 65","","1883"
kew-284694,A,Potamogetonaceae,,Potamogeton,×,"grovesii",,"","Dandy & G.Taylor",Accepted,,H,WCSP,284694,699693-1,"Watsonia","6: 316","","1967"
kew-292519,A,Potamogetonaceae,,Potamogeton,,"hagstromii",,"","A.Benn.",Accepted,,H,WCSP,292519,,"Trans. & Proc. Bot. Soc. Edinburgh","29: 51","","1924"
kew-285562,A,Potamogetonaceae,,Potamogeton,×,"haynesii",,"","Hellq. & G.E.Crow",Accepted,,H,WCSP,285562,931110-1,"Brittonia","38: 415","","1986"
kew-308589,A,Potamogetonaceae,,Potamogeton,,"hillii",,"","Morong",Accepted,,H,WCSP,308589,603249-1,"Bot. Gaz.","6: 290","","1881"
kew-284679,A,Potamogetonaceae,,Potamogeton,,"hoggarensis",,"","Dandy",Accepted,,H,WCSP,284679,699702-1,"J. Linn. Soc., Bot.","50: 522","","1937"
kew-308594,A,Potamogetonaceae,,Potamogeton,,"illinoensis",,"","Morong",Accepted,,H,WCSP,308594,208837-2,"Bot. Gaz.","5: 50","","1880"
kew-285594,A,Potamogetonaceae,,Potamogeton,,"intortusifolius",,"","J.B.He, L.Y.Zhou & H.Q.Wang",Accepted,,H,WCSP,285594,935158-1,"Bull. Bot. Res., Harbin","8(3): 125","","1988"
kew-284713,A,Potamogetonaceae,,Potamogeton,,"iriomotensis",,"","Masam.",Accepted,,H,WCSP,284713,699710-1,"Trans. Nat. Hist. Soc. Taiwan","24: 281","","1934"
