ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2623413,A,Primulaceae,,Aegiceras,,"corniculatum",,"","(L.) Blanco",Accepted,,M,WCSP (in review),747270,92812-3,"Fl. Filip.","79","","1837"
kew-2623415,A,Primulaceae,,Aegiceras,,"floridum",,"","Roem. & Schult.",Accepted,,M,WCSP (in review),747272,586620-1,"Syst. Veg.","4: 512","","1819"
kew-2633300,A,Primulaceae,,Amblyanthopsis,,"bhotanica",,"","(C.B.Clarke) Mez",Accepted,,M,WCSP (in review),757023,586652-1,"Pflanzenr.","IV, 236: 211","","1902"
kew-2633301,A,Primulaceae,,Amblyanthopsis,,"crassifolia",,"","Merr.",Accepted,,M,WCSP (in review),757024,586653-1,"Philipp. J. Sci.","14: 445","","1919"
kew-2633302,A,Primulaceae,,Amblyanthopsis,,"membranacea",,"","(Wall.) Mez",Accepted,,M,WCSP (in review),757025,586654-1,"Pflanzenr.","IV, 236: 211","","1902"
kew-2633303,A,Primulaceae,,Amblyanthopsis,,"philippinensis",,"","Mez",Accepted,,M,WCSP (in review),757026,586655-1,"Philipp. J. Sci.","1(Suppl.): 274","","1906"
kew-2633305,A,Primulaceae,,Amblyanthus,,"glandulosus",,"","(Roxb.) A.DC.",Accepted,,L,WCSP (in review),757028,586656-1,"Ann. Sci. Nat., Bot.","II, 16: 83","","1841"
kew-2633306,A,Primulaceae,,Amblyanthus,,"multiflorus",,"","Mez",Accepted,,M,WCSP (in review),757029,586657-1,"Pflanzenr.","IV, 236: 210","","1902"
kew-2633307,A,Primulaceae,,Amblyanthus,,"obovatus",,"","G.S.Giri, S.K.Das & H.J.Chowdhery",Accepted,,M,WCSP (in review),757030,70029298-1,"J. Bombay Nat. Hist. Soc.","99: 471","","2002"
kew-2633309,A,Primulaceae,,Amblyanthus,,"praetervisus",,"","Mez",Accepted,,M,WCSP (in review),757032,586659-1,"Pflanzenr.","IV, 236: 210","","1902"
kew-2635991,A,Primulaceae,,Anagallis,,"acuminata",,"","Welw. ex Schinz",Accepted,,M,WCSP (in review),759700,700044-1,"Bull. Herb. Boissier","2: 221","","1894"
kew-2635993,A,Primulaceae,,Anagallis,,"alternifolia",,"","Cav.",Accepted,,M,WCSP (in review),759702,700046-1,"Icon.","6: 3","","1800"
kew-2635995,A,Primulaceae,,Anagallis,,"alternifolia",var.,"densifolia","Hook.f.",Accepted,,L,WCSP (in review),759704,12273-2,"Fl. Antarct.","337","","1846"
kew-2636003,A,Primulaceae,,Anagallis,,"amplexicaulis",,"","Larrañaga",Accepted,,M,WCSP (in review),759712,12280-2,"Escritos D. A. Larrañaga","2: 74","","1923"
kew-2636005,A,Primulaceae,,Anagallis,,"angustiloba",,"","(Engl.) Engl.",Accepted,,M,WCSP (in review),759714,700049-1,"Bot. Jahrb. Syst.","30: 372","","1901"
kew-2636008,A,Primulaceae,,Anagallis,,"arvensis",,"","L.",Accepted,,M,WCSP (in review),759717,329604-2,"Sp. Pl.","148","","1753"
kew-2636010,A,Primulaceae,,Anagallis,,"arvensis",var.,"caerulea","(L.) Gouan",Accepted,,L,WCSP (in review),759719,114252-3,"Fl. Monsp.","30","","1765"
kew-2636015,A,Primulaceae,,Anagallis,,"arvensis",subsp.,"foemina","(Mill.) Schinz & Thell.",Accepted,,L,WCSP (in review),759724,,"Bull. Herb. Boissier","II, 7: 497","","1907"
kew-2636022,A,Primulaceae,,Anagallis,,"arvensis",var.,"pallida","(Hook.f.) Hook.f.",Accepted,,L,WCSP (in review),759731,,"Student Fl. Brit. Isl.","303","","1870"
