ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2617998,A,Proteaceae,,Acidonia,,"microcarpa",,"","(R.Br.) L.A.S.Johnson & B.G.Briggs",Accepted,,M,WCSP (in review),741991,702937-1,"Bot. J. Linn. Soc.","70: 175","","1975"
kew-2621339,A,Proteaceae,,Adenanthos,,"acanthophyllus",,"","A.S.George",Accepted,,M,WCSP (in review),745202,702938-1,"Nuytsia","1: 382","","1974"
kew-2621340,A,Proteaceae,,Adenanthos,,"apiculatus",,"","R.Br.",Accepted,,M,WCSP (in review),745203,702939-1,"Suppl. Prodr. Fl. Nov. Holl.","9","","1830"
kew-2621341,A,Proteaceae,,Adenanthos,,"argyreus",,"","Diels & E.Pritz.",Accepted,,M,WCSP (in review),745204,702940-1,"Bot. Jahrb. Syst.","35: 138","","1904"
kew-2621343,A,Proteaceae,,Adenanthos,,"barbigerus",,"","Lindl.",Accepted,,M,WCSP (in review),745206,702942-1,"Sketch Veg. Swan R.","36, 182","","1839"
kew-2621344,A,Proteaceae,,Adenanthos,,"cacomorphus",,"","E.C.Nelson",Accepted,,M,WCSP (in review),745207,702943-1,"Brunonia","1: 385","","1978"
kew-2621346,A,Proteaceae,,Adenanthos,,"cuneatus",,"","Labill.",Accepted,,M,WCSP (in review),745209,89881-3,"Nov. Holl. Pl.","1: 28","","1805"
kew-2621347,A,Proteaceae,,Adenanthos,×,"cunninghamii",,"","Meisn.",Accepted,,M,WCSP (in review),745210,702946-1,"Pl. Preiss.","1: 513","","1845"
kew-2621348,A,Proteaceae,,Adenanthos,,"cygnorum",,"","Diels & E.Pritz.",Accepted,,M,WCSP (in review),745211,702947-1,"Bot. Jahrb. Syst.","35: 138","","1904"
kew-2621350,A,Proteaceae,,Adenanthos,,"detmoldii",,"","F.Muell.",Accepted,,M,WCSP (in review),745213,702948-1,"Fragm.","8: 149","","1874"
kew-2621351,A,Proteaceae,,Adenanthos,,"dobagii",,"","E.C.Nelson",Accepted,,M,WCSP (in review),745214,702949-1,"Brunonia","1: 334","","1978"
kew-2621352,A,Proteaceae,,Adenanthos,,"dobsonii",,"","F.Muell.",Accepted,,M,WCSP (in review),745215,89979-3,"Fragm.","8: 204","","1874"
kew-2621353,A,Proteaceae,,Adenanthos,,"drummondii",,"","Meisn.",Accepted,,M,WCSP (in review),745216,702951-1,"Pl. Preiss.","1: 514","","1845"
kew-2621354,A,Proteaceae,,Adenanthos,,"ellipticus",,"","A.S.George",Accepted,,M,WCSP (in review),745217,702952-1,"Nuytsia","1: 383","","1974"
kew-2621355,A,Proteaceae,,Adenanthos,,"eyrei",,"","E.C.Nelson",Accepted,,M,WCSP (in review),745218,702953-1,"Brunonia","1: 355","","1978"
kew-2621356,A,Proteaceae,,Adenanthos,,"filifolius",,"","Benth.",Accepted,,M,WCSP (in review),745219,702954-1,"Fl. Austral.","5: 355","","1870"
kew-2621359,A,Proteaceae,,Adenanthos,,"flavidiflorus",,"","F.Muell.",Accepted,,M,WCSP (in review),745222,702956-1,"Fragm.","1: 157","","1859"
kew-2621360,A,Proteaceae,,Adenanthos,,"forrestii",,"","F.Muell.",Accepted,,M,WCSP (in review),745223,90059-3,"S. Sci. Rec.","2: 230","","1882"
kew-2621361,A,Proteaceae,,Adenanthos,,"glabrescens",,"","E.C.Nelson",Accepted,,M,WCSP (in review),745224,702958-1,"Brunonia","1: 345","","1978"
kew-2621363,A,Proteaceae,,Adenanthos,,"gracilipes",,"","A.S.George",Accepted,,M,WCSP (in review),745226,702959-1,"Nuytsia","1: 383","","1974"
kew-2621364,A,Proteaceae,,Adenanthos,,"ileticos",,"","E.C.Nelson",Accepted,,M,WCSP (in review),745227,702960-1,"Brunonia","1: 384","","1978"
kew-2621365,A,Proteaceae,,Adenanthos,,"intermedius",,"","Ostenf.",Accepted,,M,WCSP (in review),745228,702961-1,"Biol. Meddel. Konkel. Danske Vidensk. Selsk.","3(2): 49","","1921"
kew-2621366,A,Proteaceae,,Adenanthos,,"intricatus",,"","Gardner",Accepted,,M,WCSP (in review),745229,702962-1,"J. Proc. Roy. Soc. Western Australia","9(1): 39","","1923"
kew-2621367,A,Proteaceae,,Adenanthos,,"labillardierei",,"","E.C.Nelson",Accepted,,M,WCSP (in review),745230,702963-1,"Brunonia","1: 381","","1978"
kew-2621368,A,Proteaceae,,Adenanthos,,"linearis",,"","Meisn.",Accepted,,M,WCSP (in review),745231,90183-3,"Prodr.","14: 311","","1856"
kew-2621369,A,Proteaceae,,Adenanthos,,"macropodianus",,"","E.C.Nelson",Accepted,,M,WCSP (in review),745232,702965-1,"Brunonia","1: 378","","1978"
kew-2621370,A,Proteaceae,,Adenanthos,,"meisneri",,"","Lehm.",Accepted,,M,WCSP (in review),745233,,"Pl. Preiss.","1: 512","","1845"
kew-2621372,A,Proteaceae,,Adenanthos,,"obovatus",,"","Labill.",Accepted,,M,WCSP (in review),745235,90282-3,"Nov. Holl. Pl.","1: 29","","1805"
kew-2621373,A,Proteaceae,,Adenanthos,,"oreophilus",,"","E.C.Nelson",Accepted,,M,WCSP (in review),745236,702968-1,"Brunonia","1: 367","","1978"
kew-2621374,A,Proteaceae,,Adenanthos,×,"pamelus",,"","E.Nelson",Accepted,,M,WCSP (in review),745237,930650-1,"Glasra","9: 2","","1986"
kew-2621376,A,Proteaceae,,Adenanthos,,"pungens",,"","Meisn.",Accepted,,M,WCSP (in review),745239,702970-1,"Pl. Preiss.","1: 515","","1845"
kew-2621379,A,Proteaceae,,Adenanthos,,"sericeus",,"","Labill.",Accepted,,M,WCSP (in review),745242,90406-3,"Nov. Holl. Pl.","1: 29","","1805"
kew-2621382,A,Proteaceae,,Adenanthos,,"strictus",,"","A.S.George",Accepted,,M,WCSP (in review),745245,702972-1,"Nuytsia","1: 384","","1974"
kew-2621383,A,Proteaceae,,Adenanthos,,"teges",,"","A.S.George",Accepted,,M,WCSP (in review),745246,702973-1,"Nuytsia","1: 385","","1974"
kew-2621384,A,Proteaceae,,Adenanthos,,"terminalis",,"","R.Br.",Accepted,,M,WCSP (in review),745247,702974-1,"Trans. Linn. Soc. London","10: 152","","1810"
kew-2621386,A,Proteaceae,,Adenanthos,,"velutinus",,"","Meisn.",Accepted,,L,WCSP (in review),745249,702975-1,"Prodr.","14: 312","","1856"
kew-2621387,A,Proteaceae,,Adenanthos,,"venosus",,"","Meisn.",Accepted,,M,WCSP (in review),745250,90552-3,"Prodr.","14: 312","","1856"
kew-2625535,A,Proteaceae,,Agastachys,,"odorata",,"","R.Br.",Accepted,,M,WCSP (in review),749383,702993-1,"Trans. Linn. Soc. London","10: 158","","1811"
kew-2629775,A,Proteaceae,,Alloxylon,,"brachycarpum",,"","(Sleumer) P.H.Weston & Crisp",Accepted,,M,WCSP (in review),753499,962863-1,"Telopea","4: 505","","1991"
kew-2629776,A,Proteaceae,,Alloxylon,,"flammeum",,"","P.H.Weston & Crisp",Accepted,,M,WCSP (in review),753500,959668-1,"Telopea","4: 503","","1991"
kew-2629777,A,Proteaceae,,Alloxylon,,"pinnatum",,"","(Maiden & Betche) P.H.Weston & Crisp",Accepted,,M,WCSP (in review),753501,962861-1,"Telopea","4: 499","","1991"
kew-2629778,A,Proteaceae,,Alloxylon,,"wickhamii",,"","(W.Hill & F.Muell.) P.H.Weston & Crisp",Accepted,,L,WCSP (in review),753502,962862-1,"Telopea","4: 502","","1991"
kew-2664817,A,Proteaceae,,Athertonia,,"diversifolia",,"","(C.T.White) L.A.S.Johnson & B.G.Briggs",Accepted,,M,WCSP (in review),788464,703024-1,"Bot. J. Linn. Soc.","70: 176","","1975"
kew-2666291,A,Proteaceae,,Aulax,,"cancellata",,"","(L.) Druce",Accepted,,M,WCSP (in review),789918,703055-1,"Rep. Bot. Exch. Club Soc. Brit. Isles","3: 414","","1913 publ. 1914"
kew-2666293,A,Proteaceae,,Aulax,,"pallasia",,"","Stapf",Accepted,,M,WCSP (in review),789920,703057-1,"Fl. Cap.","5(1): 508","","1912"
kew-2666295,A,Proteaceae,,Aulax,,"umbellata",,"","(Thunb.) R.Br.",Accepted,,M,WCSP (in review),789922,703059-1,"Trans. Linn. Soc. London","10: 50","","1810"
kew-2666708,A,Proteaceae,,Austromuellera,,"trinervia",,"","C.T.White",Accepted,,M,WCSP (in review),790333,703060-1,"Bull. Misc. Inform. Kew","1930: 235","","1930"
kew-2666709,A,Proteaceae,,Austromuellera,,"valida",,"","B.Hyland",Accepted,,M,WCSP (in review),790334,1010036-1,"in Fl. Australia","17B: 396","","1999"
kew-2669009,A,Proteaceae,,Banksia,,"aculeata",,"","A.S.George",Accepted,,M,WCSP (in review),792511,897038-1,"Nuytsia","3: 386","","1981"
kew-2669010,A,Proteaceae,,Banksia,,"aemula",,"","R.Br.",Accepted,,M,WCSP (in review),792512,703062-1,"Trans. Linn. Soc. London","10: 209","","1811"
kew-2669017,A,Proteaceae,,Banksia,,"aquilonia",,"","(A.S.George) A.S.George",Accepted,,M,WCSP (in review),792519,990747-1,"Nuytsia","11: 22","","1996"
kew-2669019,A,Proteaceae,,Banksia,,"ashbyi",,"","Baker f.",Accepted,,M,WCSP (in review),792521,703064-1,"J. Bot.","72: 281","","1934"
kew-2669021,A,Proteaceae,,Banksia,,"attenuata",,"","R.Br.",Accepted,,M,WCSP (in review),792523,703067-1,"Trans. Linn. Soc. London","10: 209","","1811"
kew-2669022,A,Proteaceae,,Banksia,,"audax",,"","C.A.Gardner",Accepted,,M,WCSP (in review),792524,703068-1,"J. Roy. Soc. Western Australia","13: 63","","1927"
kew-2669027,A,Proteaceae,,Banksia,,"baueri",,"","R.Br.",Accepted,,M,WCSP (in review),792529,149212-3,"Prot. Nov.","35","","1830"
kew-2669028,A,Proteaceae,,Banksia,,"baxteri",,"","R.Br.",Accepted,,M,WCSP (in review),792530,149239-3,"Prot. Nov.","36","","1830"
kew-2669029,A,Proteaceae,,Banksia,,"benthamiana",,"","C.A.Gardner",Accepted,,M,WCSP (in review),792531,703073-1,"J. Roy. Soc. Western Australia","47: 57","","1964"
kew-2669030,A,Proteaceae,,Banksia,,"blechnifolia",,"","F.Muell.",Accepted,,M,WCSP (in review),792532,703074-1,"Fragm.","4: 108","","1864"
kew-2669033,A,Proteaceae,,Banksia,,"brevidentata",,"","(A.S.George) K.R.Thiele",Accepted,,M,WCSP (in review),792535,992549-1,"Austral. Syst. Bot.","9: 719","","1996"
kew-2669035,A,Proteaceae,,Banksia,,"brownii",,"","Baxter ex R.Br.",Accepted,,M,WCSP (in review),792537,149373-3,"Prot. Nov.","37","","1830"
kew-2669036,A,Proteaceae,,Banksia,,"burdettii",,"","Baker f.",Accepted,,M,WCSP (in review),792538,703076-1,"J. Bot.","72: 281","","1934"
kew-2669038,A,Proteaceae,,Banksia,,"caleyi",,"","R.Br.",Accepted,,M,WCSP (in review),792540,149411-3,"Prot. Nov.","35","","1830"
kew-2669040,A,Proteaceae,,Banksia,,"candolleana",,"","Meisn.",Accepted,,M,WCSP (in review),792542,703078-1,"Hooker's J. Bot. Kew Gard. Misc.","7: 118","","1855"
kew-2669041,A,Proteaceae,,Banksia,,"canei",,"","J.H.Willis",Accepted,,M,WCSP (in review),792543,703079-1,"Muelleria","1: 118","","1967"
kew-2669042,A,Proteaceae,,Banksia,,"chamaephyton",,"","A.S.George",Accepted,,M,WCSP (in review),792544,897039-1,"Nuytsia","3: 375","","1981"
kew-2669046,A,Proteaceae,,Banksia,,"coccinea",,"","R.Br.",Accepted,,M,WCSP (in review),792548,703080-1,"Trans. Linn. Soc. London","10: 207","","1811"
kew-2669052,A,Proteaceae,,Banksia,,"conferta",,"","A.S.George",Accepted,,M,WCSP (in review),792554,897040-1,"Nuytsia","3: 284","","1981"
kew-2603657,A,Proteaceae,,Banksia,,"croajingolensis",,"","Molyneux & Forrester",Accepted,,M,WCSP (in review),728340,77085020-1,"Telopea","11: 419","","2007"
kew-2669056,A,Proteaceae,,Banksia,,"cuneata",,"","A.S.George",Accepted,,M,WCSP (in review),792558,897041-1,"Nuytsia","3: 457","","1981"
kew-2669062,A,Proteaceae,,Banksia,,"dentata",,"","L.f.",Accepted,,M,WCSP (in review),792564,703089-1,"Suppl. Pl.","127","","1782"
kew-2669067,A,Proteaceae,,Banksia,,"dolichostyla",,"","(A.S.George) K.R.Thiele",Accepted,,M,WCSP (in review),792569,992551-1,"Austral. Syst. Bot.","9: 719","","1996"
kew-2669069,A,Proteaceae,,Banksia,,"dryandroides",,"","Baxter ex Sweet",Accepted,,M,WCSP (in review),792571,150128-3,"Fl. Australas.","t. 56","","1828"
kew-2669072,A,Proteaceae,,Banksia,,"elderiana",,"","F.Muell. & Tate",Accepted,,M,WCSP (in review),792574,703096-1,"Bot. Centralbl.","57: 317","","1893"
kew-2669073,A,Proteaceae,,Banksia,,"elegans",,"","Meisn.",Accepted,,M,WCSP (in review),792575,703097-1,"Hooker's J. Bot. Kew Gard. Misc.","7: 119","","1855"
kew-2669074,A,Proteaceae,,Banksia,,"epica",,"","A.S.George",Accepted,,M,WCSP (in review),792576,936267-1,"Nuytsia","6: 310","","1988"
kew-2669075,A,Proteaceae,,Banksia,,"ericifolia",,"","L.f.",Accepted,,M,WCSP (in review),792577,703098-1,"Suppl. Pl.","127","","1782"
kew-2669086,A,Proteaceae,,Banksia,,"gardneri",,"","A.S.George",Accepted,,M,WCSP (in review),792588,907345-1,"Nuytsia","3: 369","","1981"
kew-2669093,A,Proteaceae,,Banksia,,"goodii",,"","R.Br.",Accepted,,M,WCSP (in review),792595,150569-3,"Prot. Nov.","36","","1830"
kew-2669095,A,Proteaceae,,Banksia,,"grandis",,"","Willd.",Accepted,,M,WCSP (in review),792597,703105-1,"Sp. Pl.","1: 535","","1798"
kew-2669096,A,Proteaceae,,Banksia,,"grossa",,"","A.S.George",Accepted,,M,WCSP (in review),792598,897042-1,"Nuytsia","3: 426","","1981"
kew-2669101,A,Proteaceae,,Banksia,,"hiemalis",,"","(A.S.George) K.R.Thiele",Accepted,,M,WCSP (in review),792603,992550-1,"Austral. Syst. Bot.","9: 719","","1996"
kew-2669105,A,Proteaceae,,Banksia,,"hookeriana",,"","Meisn.",Accepted,,M,WCSP (in review),792607,703110-1,"Hooker's J. Bot. Kew Gard. Misc.","7: 119","","1855"
kew-2669109,A,Proteaceae,,Banksia,,"ilicifolia",,"","R.Br.",Accepted,,M,WCSP (in review),792611,703113-1,"Trans. Linn. Soc. London","10: 211","","1811"
kew-2669112,A,Proteaceae,,Banksia,,"incana",,"","A.S.George",Accepted,,M,WCSP (in review),792614,897043-1,"Nuytsia","3: 441","","1981"
kew-2669116,A,Proteaceae,,Banksia,,"integrifolia",,"","L.f.",Accepted,,M,WCSP (in review),792618,703118-1,"Suppl. Pl.","127","","1782"
kew-2669119,A,Proteaceae,,Banksia,,"integrifolia",subsp.,"aquilonia","(A.S.George) K.R.Thiele",Accepted,,L,WCSP (in review),792621,979097-1,"Austral. Syst. Bot.","7: 406","","1994"
kew-2669121,A,Proteaceae,,Banksia,,"integrifolia",subsp.,"compar","(R.Br.) K.R.Thiele",Accepted,,L,WCSP (in review),792623,979096-1,"Austral. Syst. Bot.","7: 406","","1994"
kew-2669130,A,Proteaceae,,Banksia,,"laevigata",,"","Meisn.",Accepted,,M,WCSP (in review),792632,703120-1,"Hooker's J. Bot. Kew Gard. Misc.","4: 210","","1852"
kew-2669133,A,Proteaceae,,Banksia,,"lanata",,"","A.S.George",Accepted,,M,WCSP (in review),792635,897044-1,"Nuytsia","3: 432","","1981"
kew-2669134,A,Proteaceae,,Banksia,,"laricina",,"","C.A.Gardner",Accepted,,M,WCSP (in review),792636,703121-1,"J. Roy. Soc. Western Australia","47: 57","","1964"
