ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-64776,A,Putranjivaceae,,Drypetes,,"acuminata",,"","P.I.Forst.",Accepted,,H,WCSP,64776,994120-1,"Austrobaileya","4: 483","","1997"
kew-64777,A,Putranjivaceae,,Drypetes,,"aetoxyloides",,"","Airy Shaw",Accepted,,H,WCSP,64777,344950-1,"Kew Bull.","23: 58","","1969"
kew-64779,A,Putranjivaceae,,Drypetes,,"aframensis",,"","Hutch.",Accepted,,H,WCSP,64779,344952-1,"Fl. Trop. Afr.","6(1): 682","","1912"
kew-64780,A,Putranjivaceae,,Drypetes,,"afzelii",,"","(Pax) Hutch.",Accepted,,H,WCSP,64780,344953-1,"Fl. Trop. Afr.","6(1): 685","","1912"
kew-64781,A,Putranjivaceae,,Drypetes,,"alba",,"","Poit.",Accepted,,H,WCSP,64781,344954-1,"Mém. Mus. Hist. Nat.","1: 157","","1815"
kew-64783,A,Putranjivaceae,,Drypetes,,"amazonica",,"","Steyerm.",Accepted,,H,WCSP,64783,85485-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","17: 414","","1938"
kew-64784,A,Putranjivaceae,,Drypetes,,"ambigua",,"","Leandri",Accepted,,H,WCSP,64784,344956-1,"Mém. Inst. Sci. Madagascar, Sér. B, Biol. Vég.","8: 245","","1957"
kew-64785,A,Putranjivaceae,,Drypetes,,"andamanica",,"","(Kurz) Pax & K.Hoffm.",Accepted,,H,WCSP,64785,344957-1,"Pflanzenr.","IV, 147, XV: 266","","1922"
kew-64786,A,Putranjivaceae,,Drypetes,,"angustifolia",,"","Pax & K.Hoffm.",Accepted,,H,WCSP,64786,344958-1,"Pflanzenr.","IV, 147, XV: 261","","1922"
kew-64789,A,Putranjivaceae,,Drypetes,,"arcuatinervia",,"","Merr. & Chun",Accepted,,H,WCSP,64789,344961-1,"Sunyatsenia","5: 95","","1940"
kew-64790,A,Putranjivaceae,,Drypetes,,"arguta",,"","(Müll.Arg.) Hutch.",Accepted,,H,WCSP,64790,344962-1,"Fl. Cap.","5(2): 404","","1920"
kew-64793,A,Putranjivaceae,,Drypetes,,"assamica",,"","(Hook.f.) Pax & K.Hoffm.",Accepted,,H,WCSP,64793,344964-1,"Pflanzenr.","IV, 147, XV: 241","","1922"
kew-64794,A,Putranjivaceae,,Drypetes,,"aubrevillei",,"","Leandri",Accepted,,H,WCSP,64794,344965-1,"Bull. Soc. Bot. France","81: 458","","1934"
kew-64796,A,Putranjivaceae,,Drypetes,,"australis",,"","Hutch. ex Pax & K.Hoffm.",Accepted,,H,WCSP,64796,344967-1,"Pflanzenr.","IV, 147, XV: 252","","1922"
kew-64797,A,Putranjivaceae,,Drypetes,,"aylmeri",,"","Hutch. & Dalziel",Accepted,,H,WCSP,64797,344968-1,"Fl. W. Trop. Afr.","1: 288","","1928"
