ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2869157,A,Rafflesiaceae,,Rafflesia,,"arnoldii",,"","R.Br.",Accepted,,M,WCSP (in review),987696,316069-1,"Rafflesia","7, tt. XV-XXII","","1821"
kew-2524488,A,Rafflesiaceae,,Rafflesia,,"baletei",,"","Barcelona & Cajano",Accepted,,M,WCSP (in review),651673,77074685-1,"Kew Bull.","61: 232","","2006"
kew-2869159,A,Rafflesiaceae,,Rafflesia,,"borneensis",,"","Koord.",Accepted,,M,WCSP (in review),987698,707085-1,"Bot. Overz. Raffles.","47","","1918"
kew-2869160,A,Rafflesiaceae,,Rafflesia,,"cantleyi",,"","Solms",Accepted,,M,WCSP (in review),987699,707086-1,"Ann. Jard. Bot. Buitenzorg, Suppl.","3: 2","","1910"
kew-2869163,A,Rafflesiaceae,,Rafflesia,,"gadutensis",,"","Meijer",Accepted,,M,WCSP (in review),987702,905073-1,"Blumea","30: 211","","1984"
kew-2869164,A,Rafflesiaceae,,Rafflesia,,"hasseltii",,"","Suringar",Accepted,,M,WCSP (in review),987703,,"Verslagen Meded. Afd. Natuurk. Kon. Akad. Wetensch.","II, 1879-1880(4): 5","","1879"
kew-2869165,A,Rafflesiaceae,,Rafflesia,,"horsfieldii",,"","R.Br.",Accepted,,M,WCSP (in review),987704,316072-1,"Rafflesia","25","","1821"
kew-2869166,A,Rafflesiaceae,,Rafflesia,,"keithii",,"","Meijer",Accepted,,M,WCSP (in review),987705,905074-1,"Blumea","30: 211","","1984"
kew-2869167,A,Rafflesiaceae,,Rafflesia,,"kerrii",,"","Meijer",Accepted,,M,WCSP (in review),987706,905075-1,"Blumea","30: 212","","1984"
kew-2608428,A,Rafflesiaceae,,Rafflesia,,"leonardii",,"","Barcelona & Pelser",Accepted,,M,WCSP (in review),732822,77091703-1,"Blumea","53: 224","","2008"
kew-2869168,A,Rafflesiaceae,,Rafflesia,,"manillana",,"","Teschenm.",Accepted,,M,WCSP (in review),987707,,"Boston J. Nat. Hist.","4: 63","","1844"
kew-2869169,A,Rafflesiaceae,,Rafflesia,,"micropylora",,"","Meijer",Accepted,,M,WCSP (in review),987708,905076-1,"Blumea","30: 213","","1984"
kew-2605319,A,Rafflesiaceae,,Rafflesia,,"mira",,"","Fernando & Ong",Accepted,,M,WCSP (in review),729913,77081289-1,"Asia Life Sci.","14: 267","","2005"
kew-2869171,A,Rafflesiaceae,,Rafflesia,,"philippensis",,"","Blanco",Accepted,,M,WCSP (in review),987710,316076-1,"Fl. Filip., ed. 2","565","","1845"
kew-2869172,A,Rafflesiaceae,,Rafflesia,,"pricei",,"","Meijer",Accepted,,M,WCSP (in review),987711,905077-1,"Blumea","30: 214","","1984"
kew-2869173,A,Rafflesiaceae,,Rafflesia,,"rochussenii",,"","Teijsm. & Binn.",Accepted,,M,WCSP (in review),987712,316077-1,"Natuurk. Tijdschr. Ned.-Indië","1: 425","","1850"
kew-2869174,A,Rafflesiaceae,,Rafflesia,,"schadenbergiana",,"","Göpp. ex Hieron.",Accepted,,M,WCSP (in review),987713,316078-1,"Gartenflora","34: 3","","1885"
kew-2524486,A,Rafflesiaceae,,Rafflesia,,"speciosa",,"","Barcelona & Fernando",Accepted,,M,WCSP (in review),651671,20007987-1,"Kew Bull.","57: 648","","2002"
kew-2869175,A,Rafflesiaceae,,Rafflesia,,"tengkuadlinii",,"","Salleh & Latiff",Accepted,,M,WCSP (in review),987714,937226-1,"Blumea","34: 112","","1989"
tro-100355736,A,Rafflesiaceae,,Rhizanthes,,"zippelii",,"","(Blume) Spach",Accepted,,M,TRO,100355736,707092-1,"Hist. Nat. Veg.","10: 554","554","1841"
tro-27000036,A,Rafflesiaceae,,Sapria,,"himalayana",,"","Griff.",Accepted,,M,TRO,27000036,316082-1,"Proc. Linn. Soc. Lond.","1: 216-217","216","1844"
