ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2618326,A,Ranunculaceae,,Aconitum,,"abietetorum",,"","W.T.Wang & L.Q.Li",Accepted,,M,WCSP (in review),742311,931759-1,"Acta Phytotax. Sin.","25: 32","","1987"
kew-2618332,A,Ranunculaceae,,Aconitum,,"acutiusculum",,"","H.R.Fletcher & Lauener",Accepted,,M,WCSP (in review),742317,707125-1,"Notes Roy. Bot. Gard. Edinburgh","20: 198","","1950"
kew-2618333,A,Ranunculaceae,,Aconitum,,"acutiusculum",var.,"aureopilosum","W.T.Wang",Accepted,,L,WCSP (in review),742318,,"Acta Phytotax. Sin., Addit.","1: 85","","1965"
kew-2618340,A,Ranunculaceae,,Aconitum,,"ajanense",,"","Steinb.",Accepted,,M,WCSP (in review),742325,707132-1,"Fl. URSS","7: 727","","1937"
kew-2618345,A,Ranunculaceae,,Aconitum,,"alboflavidum",,"","W.T.Wang",Accepted,,M,WCSP (in review),742330,901341-1,"Acta Bot. Yunnan.","5: 153","","1983"
kew-2618346,A,Ranunculaceae,,Aconitum,,"alboviolaceum",,"","Kom.",Accepted,,M,WCSP (in review),742331,707137-1,"Trudy Imp. S.-Peterburgsk. Bot. Sada","18: 439","","1901"
tro-50042404,A,Ranunculaceae,,Aconitum,,"alboviolaceum",var.,"alboviolaceum","",Accepted,,L,TRO,50042404,,"","","",""
kew-2618354,A,Ranunculaceae,,Aconitum,,"alpinonepalense",,"","Tamura",Accepted,,M,WCSP (in review),742339,707141-1,"Acta Phytotax. Geobot.","23: 100","","1968"
kew-2618356,A,Ranunculaceae,,Aconitum,,"altaicum",,"","Steinb.",Accepted,,M,WCSP (in review),742341,707144-1,"Fl. URSS","7: 731","","1937"
kew-2618360,A,Ranunculaceae,,Aconitum,,"ambiguum",,"","Rchb.",Accepted,,M,WCSP (in review),742345,707147-1,"Uebers. Aconitum","43","","1819"
kew-2618365,A,Ranunculaceae,,Aconitum,,"amplexicaule",,"","Lauener",Accepted,,M,WCSP (in review),742350,707149-1,"Notes Roy. Bot. Gard. Edinburgh","26: 7","","1964"
kew-2618369,A,Ranunculaceae,,Aconitum,,"angulatum",,"","Tamura",Accepted,,M,WCSP (in review),742354,707153-1,"Acta Phytotax. Geobot.","23: 100","","1968"
kew-2618370,A,Ranunculaceae,,Aconitum,,"angusticassidatum",,"","Steinb.",Accepted,,M,WCSP (in review),742355,707154-1,"Fl. URSS","7: 734","","1937"
